	source	target	weight	edge_sample	edcolor
141	Granulicatella elegans	Haemophilus influenzae	1.0	Intertype	#cccccc
142	Haemophilus influenzae	Haemophilus haemolyticus	1.0	Intertype	#cccccc
143	Haemophilus haemolyticus	Haemophilus influenzae	1.0	Intertype	#cccccc
144	Haemophilus parainfluenzae	Alloprevotella tannerae	1.0	Intertype	#cccccc
145	Alloprevotella tannerae	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
146	Haemophilus parainfluenzae	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
147	Candidatus Saccharibacteria oral taxon TM7x	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
148	Haemophilus parainfluenzae	Capnocytophaga sp. oral taxon 329	1.0	Intertype	#cccccc
149	Capnocytophaga sp. oral taxon 329	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
150	Haemophilus parainfluenzae	Chlamydia trachomatis	1.0	Intertype	#cccccc
151	Chlamydia trachomatis	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
152	Haemophilus parainfluenzae	Gemella haemolysans	1.0	Intertype	#cccccc
153	Gemella haemolysans	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
154	Haemophilus parainfluenzae	Gemella sanguinis	1.0	Tongue_dorsum	#ff0000
155	Gemella sanguinis	Haemophilus parainfluenzae	1.0	Tongue_dorsum	#ff0000
156	Haemophilus parainfluenzae	Granulicatella elegans	1.0	Intertype	#cccccc
157	Granulicatella elegans	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
158	Haemophilus parainfluenzae	Haemophilus haemolyticus	1.0	Intertype	#cccccc
159	Haemophilus haemolyticus	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
160	Haemophilus parainfluenzae	Haemophilus influenzae	1.0	Intertype	#cccccc
161	Haemophilus influenzae	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
162	Haemophilus sp. oral taxon 851	Alloprevotella tannerae	1.0	Intertype	#cccccc
163	Alloprevotella tannerae	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
164	Haemophilus sp. oral taxon 851	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
165	Candidatus Saccharibacteria oral taxon TM7x	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
166	Haemophilus sp. oral taxon 851	Capnocytophaga sp. oral taxon 329	1.0	Intertype	#cccccc
167	Capnocytophaga sp. oral taxon 329	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
168	Haemophilus sp. oral taxon 851	Chlamydia trachomatis	1.0	Attached	#4e4dfc
169	Chlamydia trachomatis	Haemophilus sp. oral taxon 851	1.0	Attached	#4e4dfc
170	Haemophilus sp. oral taxon 851	Gemella haemolysans	1.0	Intertype	#cccccc
171	Gemella haemolysans	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
172	Haemophilus sp. oral taxon 851	Gemella sanguinis	1.0	Intertype	#cccccc
173	Gemella sanguinis	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
174	Haemophilus sp. oral taxon 851	Granulicatella elegans	1.0	Attached	#4e4dfc
175	Granulicatella elegans	Haemophilus sp. oral taxon 851	1.0	Attached	#4e4dfc
176	Haemophilus sp. oral taxon 851	Haemophilus haemolyticus	1.0	Attached	#4e4dfc
177	Haemophilus haemolyticus	Haemophilus sp. oral taxon 851	1.0	Attached	#4e4dfc
178	Haemophilus sp. oral taxon 851	Haemophilus influenzae	1.0	Intertype	#cccccc
179	Haemophilus influenzae	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
180	Haemophilus sp. oral taxon 851	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
181	Haemophilus parainfluenzae	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
182	Haemophilus sputorum	Alloprevotella tannerae	1.0	Intertype	#cccccc
183	Alloprevotella tannerae	Haemophilus sputorum	1.0	Intertype	#cccccc
184	Haemophilus sputorum	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
185	Candidatus Saccharibacteria oral taxon TM7x	Haemophilus sputorum	1.0	Intertype	#cccccc
186	Haemophilus sputorum	Capnocytophaga sp. oral taxon 329	1.0	Intertype	#cccccc
187	Capnocytophaga sp. oral taxon 329	Haemophilus sputorum	1.0	Intertype	#cccccc
188	Haemophilus sputorum	Chlamydia trachomatis	1.0	Intertype	#cccccc
189	Chlamydia trachomatis	Haemophilus sputorum	1.0	Intertype	#cccccc
190	Haemophilus sputorum	Gemella haemolysans	1.0	Buccal_mucosa	#1996f3
191	Gemella haemolysans	Haemophilus sputorum	1.0	Buccal_mucosa	#1996f3
192	Haemophilus sputorum	Gemella sanguinis	1.0	Intertype	#cccccc
193	Gemella sanguinis	Haemophilus sputorum	1.0	Intertype	#cccccc
194	Haemophilus sputorum	Granulicatella elegans	1.0	Intertype	#cccccc
195	Granulicatella elegans	Haemophilus sputorum	1.0	Intertype	#cccccc
196	Haemophilus sputorum	Haemophilus haemolyticus	1.0	Intertype	#cccccc
197	Haemophilus haemolyticus	Haemophilus sputorum	1.0	Intertype	#cccccc
198	Haemophilus sputorum	Haemophilus influenzae	1.0	Buccal_mucosa	#1996f3
199	Haemophilus influenzae	Haemophilus sputorum	1.0	Buccal_mucosa	#1996f3
200	Haemophilus sputorum	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
201	Haemophilus parainfluenzae	Haemophilus sputorum	1.0	Intertype	#cccccc
202	Haemophilus sputorum	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
203	Haemophilus sp. oral taxon 851	Haemophilus sputorum	1.0	Intertype	#cccccc
204	Leptotrichia shahii	Alloprevotella tannerae	1.0	Intertype	#cccccc
205	Alloprevotella tannerae	Leptotrichia shahii	1.0	Intertype	#cccccc
206	Leptotrichia shahii	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
207	Candidatus Saccharibacteria oral taxon TM7x	Leptotrichia shahii	1.0	Intertype	#cccccc
208	Leptotrichia shahii	Capnocytophaga sp. oral taxon 329	1.0	Intertype	#cccccc
209	Capnocytophaga sp. oral taxon 329	Leptotrichia shahii	1.0	Intertype	#cccccc
210	Leptotrichia shahii	Chlamydia trachomatis	1.0	Intertype	#cccccc
211	Chlamydia trachomatis	Leptotrichia shahii	1.0	Intertype	#cccccc
212	Leptotrichia shahii	Gemella haemolysans	1.0	Intertype	#cccccc
213	Gemella haemolysans	Leptotrichia shahii	1.0	Intertype	#cccccc
214	Leptotrichia shahii	Gemella sanguinis	1.0	Tongue_dorsum	#ff0000
215	Gemella sanguinis	Leptotrichia shahii	1.0	Tongue_dorsum	#ff0000
216	Leptotrichia shahii	Granulicatella elegans	1.0	Intertype	#cccccc
217	Granulicatella elegans	Leptotrichia shahii	1.0	Intertype	#cccccc
218	Leptotrichia shahii	Haemophilus haemolyticus	1.0	Intertype	#cccccc
219	Haemophilus haemolyticus	Leptotrichia shahii	1.0	Intertype	#cccccc
220	Leptotrichia shahii	Haemophilus influenzae	1.0	Intertype	#cccccc
221	Haemophilus influenzae	Leptotrichia shahii	1.0	Intertype	#cccccc
222	Leptotrichia shahii	Haemophilus parainfluenzae	1.0	Tongue_dorsum	#ff0000
223	Haemophilus parainfluenzae	Leptotrichia shahii	1.0	Tongue_dorsum	#ff0000
224	Leptotrichia shahii	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
225	Haemophilus sp. oral taxon 851	Leptotrichia shahii	1.0	Intertype	#cccccc
226	Leptotrichia shahii	Haemophilus sputorum	1.0	Intertype	#cccccc
227	Haemophilus sputorum	Leptotrichia shahii	1.0	Intertype	#cccccc
228	Neisseria cinerea	Actinomyces naeslundii	1.0	Intertype	#cccccc
229	Actinomyces naeslundii	Neisseria cinerea	1.0	Intertype	#cccccc
230	Neisseria cinerea	Actinomyces oris	1.0	Intertype	#cccccc
231	Actinomyces oris	Neisseria cinerea	1.0	Intertype	#cccccc
232	Neisseria cinerea	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
233	Actinomyces sp. ICM47	Neisseria cinerea	1.0	Intertype	#cccccc
234	Neisseria cinerea	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
235	Actinomyces sp. oral taxon 170	Neisseria cinerea	1.0	Intertype	#cccccc
236	Neisseria cinerea	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
237	Actinomyces sp. oral taxon 171	Neisseria cinerea	1.0	Intertype	#cccccc
238	Neisseria cinerea	Capnocytophaga sp. oral taxon 332	1.0	Intertype	#cccccc
239	Capnocytophaga sp. oral taxon 332	Neisseria cinerea	1.0	Intertype	#cccccc
240	Neisseria cinerea	Capnocytophaga sputigena	1.0	Intertype	#cccccc
241	Capnocytophaga sputigena	Neisseria cinerea	1.0	Intertype	#cccccc
242	Neisseria cinerea	Corynebacterium durum	1.0	Intertype	#cccccc
243	Corynebacterium durum	Neisseria cinerea	1.0	Intertype	#cccccc
244	Neisseria cinerea	Corynebacterium matruchotii	1.0	Intertype	#cccccc
245	Corynebacterium matruchotii	Neisseria cinerea	1.0	Intertype	#cccccc
246	Neisseria meningitidis	Actinomyces naeslundii	1.0	Intertype	#cccccc
247	Actinomyces naeslundii	Neisseria meningitidis	1.0	Intertype	#cccccc
248	Neisseria meningitidis	Actinomyces oris	1.0	Intertype	#cccccc
249	Actinomyces oris	Neisseria meningitidis	1.0	Intertype	#cccccc
250	Neisseria meningitidis	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
251	Actinomyces sp. ICM47	Neisseria meningitidis	1.0	Intertype	#cccccc
252	Neisseria meningitidis	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
253	Actinomyces sp. oral taxon 170	Neisseria meningitidis	1.0	Intertype	#cccccc
254	Neisseria meningitidis	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
255	Actinomyces sp. oral taxon 171	Neisseria meningitidis	1.0	Intertype	#cccccc
256	Neisseria meningitidis	Capnocytophaga sp. oral taxon 332	1.0	Intertype	#cccccc
257	Capnocytophaga sp. oral taxon 332	Neisseria meningitidis	1.0	Intertype	#cccccc
258	Neisseria meningitidis	Capnocytophaga sputigena	1.0	Intertype	#cccccc
259	Capnocytophaga sputigena	Neisseria meningitidis	1.0	Intertype	#cccccc
260	Neisseria meningitidis	Corynebacterium durum	1.0	Intertype	#cccccc
261	Corynebacterium durum	Neisseria meningitidis	1.0	Intertype	#cccccc
262	Neisseria meningitidis	Corynebacterium matruchotii	1.0	Intertype	#cccccc
