	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
882	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
883	Fusobacterium necrophorum	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
884	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
885	Fusobacterium sp. CM21	7	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
886	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
887	Fusobacterium sp. oral taxon 370	5	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
888	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
889	Kytococcus sedentarius	7	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
890	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
891	Lachnoanaerobaculum saburreum	2	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
892	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
893	Leptotrichia hofstadii	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
894	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
895	Olsenella uli	5	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
896	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
897	Parvimonas micra	4	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
898	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
899	Peptostreptococcaceae bacterium ACC19a	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
900	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
901	Peptostreptococcaceae bacterium OBRC8	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
902	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
903	Peptostreptococcus stomatis	1	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
904	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
905	Actinomyces johnsonii	8	Subgingival_plaque	#e4cf74	0.0	3.0	#8000ff	#3febd5
906	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
907	Actinomyces massiliensis	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
908	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
909	Alloprevotella rava	6	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
910	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
911	Anaeroglobus geminatus	4	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
912	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
913	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
914	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
915	Atopobium rimae	3	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
916	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
917	Capnocytophaga sp. oral taxon 323	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
918	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
919	Capnocytophaga sp. oral taxon 324	7	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
920	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
921	Capnocytophaga sp. oral taxon 326	6	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
922	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
923	Capnocytophaga sp. oral taxon 335	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
924	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
925	Capnocytophaga sp. oral taxon 380	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
926	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
927	Capnocytophaga sp. oral taxon 412	8	Subgingival_plaque	#e4cf74	0.0	4.0	#8000ff	#7effb5
928	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
929	Cardiobacterium hominis	8	Subgingival_plaque	#e4cf74	0.0	4.0	#8000ff	#7effb5
930	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
931	Dialister invisus	8	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
932	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
933	Dialister micraerophilus	2	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
934	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
935	Eubacterium brachy	1	Subgingival_plaque	#e4cf74	0.0	4.0	#8000ff	#7effb5
936	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
937	Porphyromonas bennonis	1	Posterior_fornix	#4df3ce	0.0	4.0	#8000ff	#7effb5
938	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
939	Porphyromonas endodontalis	4	Subgingival_plaque	#e4cf74	0.0	4.0	#8000ff	#7effb5
940	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
941	Prevotella amnii	6	Tongue_dorsum	#ff0000	0.0	4.0	#8000ff	#7effb5
942	Prevotella bivia	6	Tongue_dorsum	#ff0000	9.0	4.0	#ff0000	#7effb5
943	[Eubacterium] infirmum	3	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
944	Prevotella bivia	6	Tongue_dorsum	#ff0000	9.0	4.0	#ff0000	#7effb5
945	Cryptobacterium curtum	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
946	Prevotella bivia	6	Tongue_dorsum	#ff0000	9.0	4.0	#ff0000	#7effb5
