	source	target	weight	edge_sample	edcolor
14588	Streptococcus pneumoniae	Peptostreptococcaceae bacterium AS15	1.0	Intertype	#cccccc
14589	Peptostreptococcaceae bacterium AS15	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14590	Streptococcus pneumoniae	Peptostreptococcaceae bacterium CM5	1.0	Intertype	#cccccc
14591	Peptostreptococcaceae bacterium CM5	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14592	Streptococcus pneumoniae	Peptostreptococcaceae bacterium OBRC8	1.0	Intertype	#cccccc
14593	Peptostreptococcaceae bacterium OBRC8	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14594	Streptococcus pneumoniae	Peptostreptococcaceae bacterium oral taxon 113	1.0	Intertype	#cccccc
14595	Peptostreptococcaceae bacterium oral taxon 113	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14596	Streptococcus pneumoniae	Porphyromonas gulae	1.0	Attached	#4e4dfc
14597	Porphyromonas gulae	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14598	Streptococcus pneumoniae	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
14599	Porphyromonas sp. oral taxon 278	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14600	Streptococcus pneumoniae	Prevotella aurantiaca	1.0	Intertype	#cccccc
14601	Prevotella aurantiaca	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14602	Streptococcus pneumoniae	Prevotella buccae	1.0	Intertype	#cccccc
14603	Prevotella buccae	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14604	Streptococcus pneumoniae	Prevotella disiens	1.0	Intertype	#cccccc
14605	Prevotella disiens	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14606	Streptococcus pneumoniae	Prevotella falsenii	1.0	Intertype	#cccccc
14607	Prevotella falsenii	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14608	Streptococcus pneumoniae	Prevotella melaninogenica	1.0	Intertype	#cccccc
14609	Prevotella melaninogenica	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14610	Streptococcus pneumoniae	Prevotella multiformis	1.0	Intertype	#cccccc
14611	Prevotella multiformis	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14612	Streptococcus pneumoniae	Prevotella nigrescens	1.0	Intertype	#cccccc
14613	Prevotella nigrescens	Streptococcus pneumoniae	1.0	Intertype	#cccccc
