TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinomyces	Aggregatibacter	Akkermansia	Alicycliphilus	Alistipes	Anaeroglobus	Avibacterium	Bacillus	Bacteroides	Basfia	Bibersteinia	Bifidobacterium	Blautia	Brochothrix	Bulleidia	Butyrivibrio	Cardiobacterium	Cellulomonas	Centipeda	Chlamydia	Clostridium	Comamonas	Conchiformibius	Coprococcus	Cryptobacterium	Dechloromonas	Dehalobacter	Dialister	Dorea	Echinicola	Elizabethkingia	Enterococcus	Escherichia	Faecalibacterium	Filifactor	Gallibacterium	Intestinimonas	Isoptericola	Kytococcus	Lactobacillus	Leptotrichia	Leucobacter	Leuconostoc	Mangrovimonas	Mannheimia	Mogibacterium	Mycobacterium	Mycoplasma	Necropsobacter	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paracoccus	Parvimonas	Pasteurella	Porphyromonas	Proteiniphilum	Pseudomonas	Psychrobacter	Riemerella	Roseburia	Ruminococcus	Sanguibacter	Scardovia	Serratia	Slackia	Sneathia	Sphingomonas	Stenotrophomonas	Stomatobaculum	Streptobacillus	Subdoligranulum	Tannerella	Thermus	Trueperella	Veillonella	Vibrio	Xylanimonas
Bacillus	0.0	0.0	0.8563488385776752	0.0	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0	0.8703882797784894	0.8122955416108236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8563488385776754	0.0	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0	0.8703882797784894	0.0	0.8703882797784894	0.0	0.0	0.0	0.8480669144409477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8500399497811908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0	0.0	0.8703882797784892	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9244827508231278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9244827508231278	0.9244827508231278	0.0	0.0	0.0	0.9244827508231278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9244827508231278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9244827508231278	0.9244827508231278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9244827508231278	0.0	0.0	0.0	0.0
Basfia	0.0	0.0	0.9441175904999113	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.8703882797784894	0.0	0.0	0.933256525257383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	1.0000000000000002	0.0	1.0000000000000002	0.0	0.0	0.0	0.9743547036924465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.8783100656536798	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8256462368368753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bibersteinia	0.0	0.0	0.8192720491762973	0.0	0.0	0.0	0.0	0.0	0.0	0.933256525257383	0.8122955416108236	0.0	0.933256525257383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.933256525257383	0.0	0.0	0.933256525257383	0.0	0.933256525257383	0.0	0.0	0.0	0.9901515860371948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.933256525257383	0.8196885999705371	0.0	0.0	0.0	0.933256525257383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88249750329277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.933256525257383	0.0	0.0	0.0	0.9332565252573828	0.88249750329277	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.88249750329277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9332565252573829	0.0	0.0	0.8824975032927699	0.0	0.0	0.0	0.0	0.927753785512912	0.0	0.0	0.88249750329277	0.88249750329277	0.0	0.0	0.0	0.88249750329277	0.0	0.0	0.0	0.8571008777197459	0.9210127781671381	0.0	0.0	0.88249750329277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8824975032927699	0.0	0.0	0.0	0.0	0.88249750329277	0.88249750329277	0.8659317074098085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9485249713431855	0.9803549365350226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88249750329277	0.0	0.0	0.0	0.0
Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9332565252573829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8001322641986389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9413273354305667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8030722747997849	0.0	0.0
Brochothrix	0.0	0.9872673851728523	0.0	0.8580779891224639	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9938143736381274	0.0	0.9064183200369755	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9686196045011369	0.0	0.0	0.0	0.0	0.9683296637314887	0.0	0.0	1.0000000000000002	0.0	0.0	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.9921593040474269	0.8569608078115039	0.0	0.0	0.0	0.8757549764126293	1.0000000000000004	0.0	0.0	0.0	0.9747317349608244	0.0	1.0000000000000002	1.0000000000000002	0.0	0.0	1.0000000000000002	0.9226386620921088	0.0	0.0	0.9072647087265551	0.0	0.0	0.0	0.0	0.0
Bulleidia	0.0	0.9872673851728524	0.0	0.8580779891224641	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.9938143736381276	0.0	0.9064183200369758	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.968619604501137	0.0	0.0	0.0	0.0	0.968329663731489	0.0	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.992159304047427	0.856960807811504	0.0	0.0	0.0	0.8757549764126294	1.0000000000000004	0.0	0.0	0.0	0.9747317349608247	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.9226386620921089	0.0	0.0	0.9072647087265552	0.0	0.0	0.0	0.0	0.0
Butyrivibrio	0.0	0.0	0.0	0.0	0.9127101629292935	1.0000000000000002	0.0	0.9990352860356835	0.0	0.0	0.0	0.9244827508231278	0.0	0.0	0.8824975032927699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9047619047619047	0.0	0.0	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9860214439999576	0.9945045819099847	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.8924632198306471	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.9998586405930031	0.0	0.9368194550239903	1.0000000000000002	1.0000000000000002	0.9949880651765477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9860214439999576	0.8305889243390772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0
Cardiobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8359173188630293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8359173188630293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
