	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
313	Neisseria meningitidis	Porphyromonas gingivalis	1.0	2	2	Throat	Attached	Intertype	#ff5029	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
314	Porphyromonas sp. oral taxon 278	Actinomyces naeslundii	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
315	Actinomyces naeslundii	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
316	Porphyromonas sp. oral taxon 278	Actinomyces oris	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
317	Actinomyces oris	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
318	Porphyromonas sp. oral taxon 278	Actinomyces sp. ICM47	1.0	2	2	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	0.0	0.0	#8000ff	#8000ff
319	Actinomyces sp. ICM47	Porphyromonas sp. oral taxon 278	1.0	2	2	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
320	Porphyromonas sp. oral taxon 278	Actinomyces sp. oral taxon 170	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
321	Actinomyces sp. oral taxon 170	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
322	Porphyromonas sp. oral taxon 278	Actinomyces sp. oral taxon 171	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
323	Actinomyces sp. oral taxon 171	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
324	Porphyromonas sp. oral taxon 278	Capnocytophaga sp. oral taxon 332	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
325	Capnocytophaga sp. oral taxon 332	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
326	Porphyromonas sp. oral taxon 278	Capnocytophaga sputigena	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
327	Capnocytophaga sputigena	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
328	Porphyromonas sp. oral taxon 278	Corynebacterium durum	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
329	Corynebacterium durum	Porphyromonas sp. oral taxon 278	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
330	Porphyromonas sp. oral taxon 278	Corynebacterium matruchotii	1.0	2	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
331	Corynebacterium matruchotii	Porphyromonas sp. oral taxon 278	1.0	1	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
332	Porphyromonas sp. oral taxon 278	Neisseria cinerea	1.0	2	2	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
333	Neisseria cinerea	Porphyromonas sp. oral taxon 278	1.0	2	2	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
334	Porphyromonas sp. oral taxon 278	Neisseria meningitidis	1.0	2	2	Subgingival_plaque	Throat	Intertype	#e4cf74	#ff5029	#cccccc	0.0	0.0	#8000ff	#8000ff
335	Neisseria meningitidis	Porphyromonas sp. oral taxon 278	1.0	2	2	Throat	Subgingival_plaque	Intertype	#ff5029	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
336	Porphyromonas sp. oral taxon 278	Porphyromonas gingivalis	1.0	2	2	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
337	Porphyromonas gingivalis	Porphyromonas sp. oral taxon 278	1.0	2	2	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
338	Prevotella sp. oral taxon 473	Actinomyces naeslundii	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
339	Actinomyces naeslundii	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
340	Prevotella sp. oral taxon 473	Actinomyces oris	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
341	Actinomyces oris	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
342	Prevotella sp. oral taxon 473	Actinomyces sp. ICM47	1.0	2	2	Attached	Tongue_dorsum	Intertype	#4e4dfc	#ff0000	#cccccc	0.0	0.0	#8000ff	#8000ff
343	Actinomyces sp. ICM47	Prevotella sp. oral taxon 473	1.0	2	2	Tongue_dorsum	Attached	Intertype	#ff0000	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
344	Prevotella sp. oral taxon 473	Actinomyces sp. oral taxon 170	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
345	Actinomyces sp. oral taxon 170	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
346	Prevotella sp. oral taxon 473	Actinomyces sp. oral taxon 171	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
347	Actinomyces sp. oral taxon 171	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
348	Prevotella sp. oral taxon 473	Capnocytophaga sp. oral taxon 332	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
349	Capnocytophaga sp. oral taxon 332	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
350	Prevotella sp. oral taxon 473	Capnocytophaga sputigena	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
351	Capnocytophaga sputigena	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
352	Prevotella sp. oral taxon 473	Corynebacterium durum	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
353	Corynebacterium durum	Prevotella sp. oral taxon 473	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
354	Prevotella sp. oral taxon 473	Corynebacterium matruchotii	1.0	2	1	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
355	Corynebacterium matruchotii	Prevotella sp. oral taxon 473	1.0	1	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
356	Prevotella sp. oral taxon 473	Neisseria cinerea	1.0	2	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	0.0	0.0	#8000ff	#8000ff
357	Neisseria cinerea	Prevotella sp. oral taxon 473	1.0	2	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	0.0	0.0	#8000ff	#8000ff
358	Prevotella sp. oral taxon 473	Neisseria meningitidis	1.0	2	2	Attached	Throat	Intertype	#4e4dfc	#ff5029	#cccccc	0.0	0.0	#8000ff	#8000ff
359	Neisseria meningitidis	Prevotella sp. oral taxon 473	1.0	2	2	Throat	Attached	Intertype	#ff5029	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
360	Prevotella sp. oral taxon 473	Porphyromonas gingivalis	1.0	2	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	0.0	0.0	#8000ff	#8000ff
361	Porphyromonas gingivalis	Prevotella sp. oral taxon 473	1.0	2	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	0.0	0.0	#8000ff	#8000ff
362	Prevotella sp. oral taxon 473	Porphyromonas sp. oral taxon 278	1.0	2	2	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
363	Porphyromonas sp. oral taxon 278	Prevotella sp. oral taxon 473	1.0	2	2	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	0.0	0.0	#8000ff	#8000ff
364	Rothia mucilaginosa	Alloprevotella tannerae	1.0	2	2	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	4.0	1.0	#ff0000	#ff0000
365	Alloprevotella tannerae	Rothia mucilaginosa	1.0	2	2	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	3.0	1.0	#feb562	#ff0000
366	Rothia mucilaginosa	Candidatus Saccharibacteria oral taxon TM7x	1.0	2	2	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	4.0	1.0	#ff0000	#ff0000
367	Candidatus Saccharibacteria oral taxon TM7x	Rothia mucilaginosa	1.0	2	2	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	3.0	1.0	#feb562	#ff0000
368	Rothia mucilaginosa	Capnocytophaga sp. oral taxon 329	1.0	2	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	4.0	1.0	#ff0000	#ff0000
369	Capnocytophaga sp. oral taxon 329	Rothia mucilaginosa	1.0	2	2	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	3.0	1.0	#feb562	#ff0000
370	Rothia mucilaginosa	Chlamydia trachomatis	1.0	2	2	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	4.0	1.0	#ff0000	#ff0000
371	Chlamydia trachomatis	Rothia mucilaginosa	1.0	2	2	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	3.0	1.0	#feb562	#ff0000
372	Rothia mucilaginosa	Gemella haemolysans	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	4.0	1.0	#ff0000	#ff0000
