	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
43	Bacilli	Coriobacteriia	4.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
44	Coriobacteriia	Bacteroidia	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc
45	Bacteroidia	Coriobacteriia	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc
46	Coriobacteriia	Betaproteobacteria	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
47	Betaproteobacteria	Coriobacteriia	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
48	Coriobacteriia	Chlamydiia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
49	Chlamydiia	Coriobacteriia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
50	Coriobacteriia	Clostridia	6.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc
51	Clostridia	Coriobacteriia	6.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc
52	Cytophagia	Actinobacteria	4.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
53	Actinobacteria	Cytophagia	4.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
54	Cytophagia	Alphaproteobacteria	2.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
55	Alphaproteobacteria	Cytophagia	2.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
56	Cytophagia	Bacilli	2.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc
57	Bacilli	Cytophagia	2.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc
58	Cytophagia	Bacteroidia	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
59	Bacteroidia	Cytophagia	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
60	Cytophagia	Betaproteobacteria	3.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
61	Betaproteobacteria	Cytophagia	3.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
62	Cytophagia	Clostridia	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
63	Clostridia	Cytophagia	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
64	Cytophagia	Coriobacteriia	1.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc
