	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
34	Erythrobacteraceae	Cellvibrionaceae	1.0	13	6	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
35	Cellvibrionaceae	Erythrobacteraceae	1.0	1	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
36	Eubacteriaceae	Eggerthellaceae	7.0	19	8	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	61
37	Eggerthellaceae	Eubacteriaceae	7.0	19	41	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	61
38	Flavobacteriaceae	Actinomycetaceae	6.0	27	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
39	Actinomycetaceae	Flavobacteriaceae	6.0	44	35	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
40	Flavobacteriaceae	Campylobacteraceae	8.0	27	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61
41	Campylobacteraceae	Flavobacteriaceae	8.0	37	35	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61
42	Flavobacteriaceae	Erythrobacteraceae	3.0	27	13	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61
43	Erythrobacteraceae	Flavobacteriaceae	3.0	13	35	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61
44	Fusobacteriaceae	Aerococcaceae	4.0	17	33	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	61
45	Aerococcaceae	Fusobacteriaceae	4.0	33	29	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	61
46	Fusobacteriaceae	Cellulomonadaceae	4.0	17	2	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	61
47	Cellulomonadaceae	Fusobacteriaceae	4.0	6	29	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	61
48	Geodermatophilaceae	Alcaligenaceae	1.0	41	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
49	Alcaligenaceae	Geodermatophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
50	Geodermatophilaceae	Bacillaceae	1.0	41	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
51	Bacillaceae	Geodermatophilaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
52	Geodermatophilaceae	Bradyrhizobiaceae	1.0	41	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
53	Bradyrhizobiaceae	Geodermatophilaceae	1.0	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
54	Geodermatophilaceae	Chromatiaceae	1.0	41	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
55	Chromatiaceae	Geodermatophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
