TAXA	Acholeplasmatales	Acidaminococcales	Actinomycetales	Alteromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Geodermatophilales	Hydrogenophilales	Lactobacillales	Micrococcales	Mycoplasmatales	Neisseriales	Nostocales	Oceanospirillales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thermales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Sphingomonadales	0.0	0.0	0.0	0.0	0.13004794587815208	0.0	0.0	0.26632802395865085	0.0	0.0	0.21738593057704184	0.4714250513451974	0.0	0.7077186267934858	0.022467257993444022	0.0	0.0	0.0	0.6831195344623756	0.0	0.0	0.0	0.0	0.025405174995969778	0.0	0.7077186267934864	0.7077186267934858	0.1356150801362775	0.0993681091104321	0.019488112575000643	0.026770141259239325	0.0	0.0	0.10249075775609018	0.7077186267934864	0.6207660482374273	0.04836020381204025	0.5132225517271335	0.0	0.0	0.0	0.0	0.0	0.0	0.02246725799344404	0.0	0.04609661553827315	0.0	0.0	0.0	0.0	0.7119656731212975	0.7154116791243023
Spirochaetales	0.0	0.0	0.36952134866370046	0.2066791515123131	0.0	0.0	0.0	0.03266988148386231	0.4807183729421644	0.5879298278536234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2232065668658638	0.0	0.0	0.0	0.0	0.04268554920386805	0.2435393297567314	0.07330478005894968	0.0	0.0	0.0	0.029933398413872388	0.5566787536585143	0.011360356755139028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40099499208255357	0.0	0.0	0.0	0.0	0.6646677793672985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptomycetales	0.0	0.0	0.0	0.0	0.36063557226370485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000024	0.0	0.0	0.2175987488439721	0.0	0.0	0.0	0.06856594629670555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3271415165414371	0.5186539531456202	0.33328202985453426	0.014935634361887015	0.0	0.0	0.0	0.02246725799344404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12432584145177336
Synergistales	0.0	0.0	0.10445160289887515	0.0	0.0	0.0	0.0	0.0	0.14713362531308485	0.418777424952005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06848105520269683	0.0	0.0	0.0	0.0	0.0	0.1346999011265389	0.0	0.0	0.0	0.0	0.10082053008383858	0.5995326749832246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10886682207131783	0.0	0.0	0.6646677793672985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermales	0.0	0.0	0.05472267517466765	0.0	0.16844440982451336	0.0	0.0	0.1592289643706796	0.2276848304342086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07491447634859986	0.0	0.0	0.0	0.08414102442119957	0.2067600752627118	0.07883472779058413	0.0	0.0	0.2490843216024836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04609661553827315	0.0	0.0	0.0	0.0	0.0	0.0	0.02786328194431611	0.0	0.0	0.0
Thiotrichales	0.0	0.0	0.0	0.47389478915307875	0.17619353398719032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37204580241691265	0.0	0.0	0.0	0.0	0.0	0.12288862676227214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043064763581551806	0.0	0.0	0.8169822639940145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tissierellales	0.0	0.0	0.0	0.0	0.025160526007650008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18139122701787785	0.0	0.0	0.0	0.2866000220908927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14621065059448363	0.02932743352464552	0.35325220206364055	0.9794687646138294	0.0	0.0	0.7007913666439851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Veillonellales	0.0	0.0	0.1748028326303812	0.047851291759818254	0.33571748011990876	0.05301213890393995	0.0	0.0	0.4169971205175203	0.0	0.0	0.0	0.15072917244206774	0.0	0.0	0.018354358626896827	0.1088379523184869	0.0	0.0	0.0	0.0	0.07017597888485451	0.17104156568938347	0.0	0.5288369126452024	0.0	0.0	0.0	0.08746098027405787	0.0	0.24947115893605787	0.0	0.42625331360585017	0.19038229905712184	0.0	0.0	0.0	0.0	0.0	0.0	0.19784844436989568	0.0	0.0	0.0	0.0	0.0	0.02786328194431611	0.0	0.0	0.0	0.04286729629920139	0.0	0.0
Verrucomicrobiales	0.2195961815844626	0.03721733435481559	0.0	0.0	0.0	0.3516435665001552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1155277381359993	0.0	0.0	0.046989566871713614	0.10969932513984317	0.06407413209708947	0.8577800167096471	0.07630250858520954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30912186337059505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04286729629920139	0.0	0.0	0.0
Vibrionales	0.0	0.0	0.0	0.0	0.013761672714657778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119221	0.0	0.0	0.0	0.0	0.9826929140173206	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119229	0.9997654415119221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119229	0.8916350582582614	0.06773297711712045	0.6896666479445771	0.0	0.0	0.0	0.0	0.7119656731212975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9880447875785485
Xanthomonadales	0.0	0.0	0.0	0.0	0.05666035328533637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9884647378532219	0.12432584145177325	0.0	0.0	0.03254459319190162	0.9672099652468165	0.0	0.0	0.01365661964351346	0.0	0.0	0.0	0.9884647378532225	0.9884647378532219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9884647378532225	0.9291913313270835	0.17624362263787335	0.7321878451370335	0.0	0.0	0.0	0.0	0.7154116791243023	0.0	0.12432584145177336	0.0	0.0	0.0	0.0	0.0	0.0	0.9880447875785485	0.0
