	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
42	Spirochaetes	Candidatus Saccharibacteria	4.0	33	28	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc
43	Candidatus Saccharibacteria	Spirochaetes	4.0	28	33	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc
44	Spirochaetes	Firmicutes	4.0	33	61	Subgingival_plaque	Mid_vagina	Intertype	#e4cf74	#18cde4	#cccccc
45	Firmicutes	Spirochaetes	4.0	61	33	Mid_vagina	Subgingival_plaque	Intertype	#18cde4	#e4cf74	#cccccc
46	Spirochaetes	Fusobacteria	1.0	33	33	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc
47	Fusobacteria	Spirochaetes	1.0	33	33	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc
48	Spirochaetes	Proteobacteria	2.0	33	60	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc
49	Proteobacteria	Spirochaetes	2.0	60	33	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc
50	Synergistetes	Spirochaetes	1.0	1	33	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74
51	Spirochaetes	Synergistetes	1.0	33	1	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74
52	Tenericutes	Actinobacteria	5.0	21	61	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc
53	Actinobacteria	Tenericutes	5.0	61	21	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc
54	Tenericutes	Bacteroidetes	3.0	21	60	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc
55	Bacteroidetes	Tenericutes	3.0	60	21	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc
56	Tenericutes	Candidatus Saccharibacteria	3.0	21	28	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc
57	Candidatus Saccharibacteria	Tenericutes	3.0	28	21	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc
58	Tenericutes	Chlamydiae	1.0	21	8	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc
59	Chlamydiae	Tenericutes	1.0	8	21	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc
60	Tenericutes	Firmicutes	8.0	21	61	Subgingival_plaque	Mid_vagina	Intertype	#e4cf74	#18cde4	#cccccc
61	Firmicutes	Tenericutes	8.0	61	21	Mid_vagina	Subgingival_plaque	Intertype	#18cde4	#e4cf74	#cccccc
62	Tenericutes	Fusobacteria	4.0	21	33	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc
63	Fusobacteria	Tenericutes	4.0	33	21	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc
64	Tenericutes	Proteobacteria	5.0	21	60	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc
65	Proteobacteria	Tenericutes	5.0	60	21	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc
66	Tenericutes	Spirochaetes	3.0	21	33	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74
67	Spirochaetes	Tenericutes	3.0	33	21	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74
68	Tenericutes	Synergistetes	1.0	21	1	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74
69	Synergistetes	Tenericutes	1.0	1	21	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74
70	Verrucomicrobia	Bacteroidetes	2.0	21	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
71	Bacteroidetes	Verrucomicrobia	2.0	60	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
72	Verrucomicrobia	Firmicutes	7.0	21	61	Stool	Mid_vagina	Intertype	#b2f396	#18cde4	#cccccc
73	Firmicutes	Verrucomicrobia	7.0	61	21	Mid_vagina	Stool	Intertype	#18cde4	#b2f396	#cccccc
74	Verrucomicrobia	Tenericutes	2.0	21	21	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc
75	Tenericutes	Verrucomicrobia	2.0	21	21	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc
