TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	4	14.0	0.0	#5efac6	#8000ff
[Eubacterium] rectale	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Faecalibacterium prausnitzii	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Fusobacterium hwasookii	Supragingival_plaque	#ff8646	17	30.0	10.0	#ff3219	#3dead5
Fusobacterium periodonticum	Throat	#ff5c2f	17	9.0	10.0	#0fc4e7	#3dead5
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	15	31.0	9.0	#ff190d	#2adddd
Fusobacterium sp. oral taxon 370	Tongue_dorsum	#ff2f18	2	12.0	6.0	#3febd5	#10a2f0
Gemella sanguinis	Tongue_dorsum	#ff2f18	4	14.0	0.0	#5efac6	#8000ff
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	13	21.0	7.0	#cee184	#04b9ea
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	3	25.0	4.0	#ffa256	#3670f8
Hallella seregens	Subgingival_plaque	#ffac5c	4	2.0	0.0	#622ffe	#8000ff
Johnsonella ignava	Subgingival_plaque	#ffac5c	10	12.0	1.0	#3febd5	#6e1cff
Kineosphaera limosa	Subgingival_plaque	#ffac5c	5	19.0	18.0	#aef498	#d4dd80
Kytococcus sedentarius	Throat	#ff5c2f	7	8.0	16.0	#01b3ec	#aef498
Lachnoanaerobaculum sp. ICM7	Tongue_dorsum	#ff2f18	2	6.0	2.0	#218cf4	#5c38fd
Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff2f18	2	6.0	2.0	#218cf4	#5c38fd
Lachnoanaerobaculum sp. OBRC5-5	Tongue_dorsum	#ff2f18	2	6.0	2.0	#218cf4	#5c38fd
Lachnospiraceae bacterium oral taxon 082	Tongue_dorsum	#ff2f18	4	14.0	0.0	#5efac6	#8000ff
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8646	17	9.0	10.0	#0fc4e7	#3dead5
Lautropia mirabilis	Supragingival_plaque	#ff8646	19	28.0	13.0	#ff6232	#74feba
Leptotrichia hofstadii	Supragingival_plaque	#ff8646	17	9.0	10.0	#0fc4e7	#3dead5
Leptotrichia sp. oral taxon 215	Throat	#ff5c2f	17	9.0	10.0	#0fc4e7	#3dead5
Leptotrichia sp. oral taxon 879	Subgingival_plaque	#ffac5c	12	20.0	3.0	#beec8e	#4856fb
Leptotrichia trevisanii	Palatine_Tonsils	#70febc	17	30.0	10.0	#ff3219	#3dead5
Leptotrichia wadei	Tongue_dorsum	#ff2f18	17	9.0	10.0	#0fc4e7	#3dead5
Megasphaera micronuciformis	Saliva	#cbe486	5	7.0	0.0	#11a0f1	#8000ff
Mogibacterium sp. CM50	Subgingival_plaque	#ffac5c	6	23.0	0.0	#eec66d	#8000ff
Mogibacterium timidum	Palatine_Tonsils	#70febc	6	23.0	0.0	#eec66d	#8000ff
Mycoplasma salivarium	Subgingival_plaque	#ffac5c	15	10.0	11.0	#1fd3e1	#4ef3cd
Neisseria elongata	Supragingival_plaque	#ff8646	15	16.0	5.0	#7effb5	#218cf4
Neisseria flavescens	Throat	#ff5c2f	6	19.0	18.0	#aef498	#d4dd80
Neisseria lactamica	Keratinized_gingiva	#17cbe4	15	16.0	5.0	#7effb5	#218cf4
Neisseria macacae	Saliva	#cbe486	10	12.0	1.0	#3febd5	#6e1cff
Neisseria sicca	Buccal_mucosa	#445cfb	15	16.0	5.0	#7effb5	#218cf4
Neisseria sp. GT4A_CT1	Supragingival_plaque	#ff8646	4	13.0	22.0	#4ef3cd	#ff8e4a
Neisseria sp. HMSC06F02	Saliva	#cbe486	8	12.0	1.0	#3febd5	#6e1cff
Neisseria sp. oral taxon 014	Supragingival_plaque	#ff8646	15	16.0	5.0	#7effb5	#218cf4
Neisseria subflava	Tongue_dorsum	#ff2f18	2	22.0	15.0	#ded579	#9bfba5
Olsenella profusa	Subgingival_plaque	#ffac5c	4	29.0	14.0	#ff4a26	#88ffaf
Olsenella sp. SIT9	Subgingival_plaque	#ffac5c	3	29.0	14.0	#ff4a26	#88ffaf
Oscillibacter sp. ER4	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Ottowia sp. oral taxon 894	Supragingival_plaque	#ff8646	11	24.0	23.0	#feb562	#ff733b
Parabacteroides johnsonii	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Parabacteroides merdae	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Parasutterella excrementihominis	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Parvimonas micra	Subgingival_plaque	#ffac5c	14	10.0	12.0	#1fd3e1	#62fbc4
Parvimonas sp. oral taxon 110	Subgingival_plaque	#ffac5c	12	17.0	3.0	#8efeac	#4856fb
Parvimonas sp. oral taxon 393	Palatine_Tonsils	#70febc	12	15.0	3.0	#6efebe	#4856fb
Pasteurella multocida	Keratinized_gingiva	#17cbe4	2	22.0	15.0	#ded579	#9bfba5
[Pasteurella] pneumotropica	Buccal_mucosa	#445cfb	2	22.0	15.0	#ded579	#9bfba5
Peptostreptococcaceae bacterium ACC19a	Throat	#ff5c2f	6	23.0	0.0	#eec66d	#8000ff
Peptostreptococcaceae bacterium CM2	Hard_palate	#08acee	2	6.0	2.0	#218cf4	#5c38fd
Peptostreptococcaceae bacterium OBRC8	Subgingival_plaque	#ffac5c	8	17.0	3.0	#8efeac	#4856fb
Peptostreptococcaceae bacterium oral taxon 113	Palatine_Tonsils	#70febc	10	17.0	3.0	#8efeac	#4856fb
