	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
94	Acinetobacter baumannii	13	Attached	Anterior_nares	#4e4dfc	1.0	2.0	#ff0000	#7effb5
96	Acinetobacter junii	6	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
101	Acinetobacter johnsonii	3	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
102	Acinetobacter lwoffii	1	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
108	Acinetobacter sp. MDS7A	1	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
114	Acinetobacter towneri	2	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
122	Actinobacillus minor	5	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
125	[Eubacterium] sulci	14	Tongue_dorsum	Buccal_mucosa	#ff0000	0.0	3.0	#8000ff	#feb562
130	Actinobacillus pleuropneumoniae	3	Buccal_mucosa	Buccal_mucosa	#1996f3	1.0	0.0	#ff0000	#8000ff
134	Actinobacillus ureae	5	Buccal_mucosa	Buccal_mucosa	#1996f3	1.0	0.0	#ff0000	#8000ff
142	Actinomyces georgiae	9	Subgingival_plaque	Subgingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
143	[Eubacterium] infirmum	14	Subgingival_plaque	Subgingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
144	Actinomyces graevenitzii	19	Tongue_dorsum	Subgingival_plaque	#ff0000	1.0	3.0	#ff0000	#feb562
146	Actinomyces johnsonii	19	Subgingival_plaque	Supragingival_plaque	#e4cf74	0.0	3.0	#8000ff	#feb562
147	Actinobaculum sp. oral taxon 183	22	Supragingival_plaque	Subgingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
148	Actinomyces massiliensis	26	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
151	Actinomyces dentalis	14	Subgingival_plaque	Supragingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
154	Actinomyces oris	25	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
155	Actinomyces meyeri	15	Subgingival_plaque	Supragingival_plaque	#e4cf74	0.0	3.0	#8000ff	#feb562
156	Actinomyces sp. HPA0247	9	Tongue_dorsum	Tongue_dorsum	#ff0000	0.0	3.0	#8000ff	#feb562
158	Actinomyces sp. ICM47	17	Tongue_dorsum	Tongue_dorsum	#ff0000	0.0	3.0	#8000ff	#feb562
159	Actinomyces odontolyticus	25	Tongue_dorsum	Tongue_dorsum	#ff0000	0.0	3.0	#8000ff	#feb562
160	Actinomyces sp. ICM54	9	Tongue_dorsum	Tongue_dorsum	#ff0000	0.0	3.0	#8000ff	#feb562
164	Actinomyces sp. ICM58	10	Tongue_dorsum	Tongue_dorsum	#ff0000	0.0	3.0	#8000ff	#feb562
170	Actinomyces sp. oral taxon 171	26	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
173	Actinomyces gerencseriae	16	Subgingival_plaque	Supragingival_plaque	#e4cf74	0.0	3.0	#8000ff	#feb562
178	Actinomyces sp. oral taxon 172	10	Tongue_dorsum	Tongue_dorsum	#ff0000	1.0	3.0	#ff0000	#feb562
183	Actinomyces sp. ICM39	12	Tongue_dorsum	Tongue_dorsum	#ff0000	1.0	3.0	#ff0000	#feb562
188	Actinomyces sp. oral taxon 175	23	Supragingival_plaque	Buccal_mucosa	#ff964f	0.0	3.0	#8000ff	#feb562
196	Actinomyces sp. oral taxon 178	6	Supragingival_plaque	Buccal_mucosa	#ff964f	1.0	3.0	#ff0000	#feb562
208	Actinomyces sp. oral taxon 180	6	Saliva	Tongue_dorsum	#7effb5	1.0	4.0	#ff0000	#ff0000
210	Actinomyces sp. oral taxon 181	10	Saliva	Tongue_dorsum	#7effb5	1.0	3.0	#ff0000	#feb562
218	Actinomyces sp. oral taxon 414	12	Subgingival_plaque	Subgingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
226	Actinomyces sp. oral taxon 448	11	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
228	Actinomyces sp. oral taxon 848	9	Supragingival_plaque	Subgingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
238	Actinomyces sp. oral taxon 849	14	Supragingival_plaque	Buccal_mucosa	#ff964f	0.0	3.0	#8000ff	#feb562
250	Actinomyces sp. oral taxon 877	5	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
254	Actinomyces sp. ph3	10	Saliva	Tongue_dorsum	#7effb5	1.0	3.0	#ff0000	#feb562
260	Actinomyces sp. S6-Spd3	19	Tongue_dorsum	Buccal_mucosa	#ff0000	0.0	3.0	#8000ff	#feb562
272	Actinomyces timonensis	12	Subgingival_plaque	Supragingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
282	Actinomyces viscosus	23	Supragingival_plaque	Buccal_mucosa	#ff964f	0.0	3.0	#8000ff	#feb562
290	Adlercreutzia equolifaciens	6	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
294	Aggregatibacter actinomycetemcomitans	22	Buccal_mucosa	Subgingival_plaque	#1996f3	0.0	3.0	#8000ff	#feb562
308	Aggregatibacter aphrophilus	28	Anterior_nares	Subgingival_plaque	#8000ff	0.0	3.0	#8000ff	#feb562
320	Aggregatibacter segnis	21	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	3.0	#8000ff	#feb562
340	Aggregatibacter sp. oral taxon 458	21	Buccal_mucosa	Subgingival_plaque	#1996f3	0.0	3.0	#8000ff	#feb562
356	Akkermansia muciniphila	21	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
364	Alistipes finegoldii	11	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
372	Alistipes indistinctus	8	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
380	Alistipes obesi	12	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
382	Alistipes onderdonkii	13	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
398	Alistipes putredinis	23	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
406	Alistipes senegalensis	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
412	Alistipes shahii	15	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
414	Alistipes sp. AL-1	11	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
428	Alistipes sp. HGB5	11	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
440	Alistipes timonensis	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
453	Alistipes inops	7	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
458	Aliterella atlantica	1	Anterior_nares	Anterior_nares	#8000ff	1.0	2.0	#ff0000	#7effb5
466	Alloprevotella rava	20	Saliva	Supragingival_plaque	#7effb5	0.0	3.0	#8000ff	#feb562
468	Alloprevotella tannerae	21	Subgingival_plaque	Subgingival_plaque	#e4cf74	0.0	3.0	#8000ff	#feb562
472	alpha proteobacterium LLX12A	1	Anterior_nares	Anterior_nares	#8000ff	1.0	2.0	#ff0000	#7effb5
480	Alysiella crassa	2	Attached	Attached	#4e4dfc	1.0	0.0	#ff0000	#8000ff
481	Actinobacillus succinogenes	2	Attached	Attached	#4e4dfc	1.0	0.0	#ff0000	#8000ff
482	Anaerococcus prevotii	2	Posterior_fornix	Throat	#4df3ce	0.0	2.0	#8000ff	#7effb5
483	Afipia broomeae	1	Throat	Posterior_fornix	#ff5029	0.0	2.0	#8000ff	#7effb5
485	Anaerococcus lactolyticus	1	Posterior_fornix	Posterior_fornix	#4df3ce	0.0	2.0	#8000ff	#7effb5
486	Anaerococcus sp. PH9	1	Posterior_fornix	Posterior_fornix	#4df3ce	0.0	2.0	#8000ff	#7effb5
488	Anaerococcus tetradius	2	Posterior_fornix	Posterior_fornix	#4df3ce	0.0	2.0	#8000ff	#7effb5
489	Actinomyces neuii	1	Posterior_fornix	Posterior_fornix	#4df3ce	1.0	2.0	#ff0000	#7effb5
490	Anaerococcus vaginalis	1	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
494	Anaerofustis stercorihominis	1	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
502	Anaeroglobus geminatus	9	Saliva	Buccal_mucosa	#7effb5	1.0	3.0	#ff0000	#feb562
512	Anaerostipes caccae	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
514	Anaerostipes hadrus	7	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
520	Anaerostipes sp. 3_2_56FAA	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
524	Anaerotruncus colihominis	11	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
534	Arcanobacterium haemolyticum	1	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	4.0	#ff0000	#ff0000
535	Actinomyces israelii	12	Subgingival_plaque	Supragingival_plaque	#e4cf74	0.0	3.0	#8000ff	#feb562
536	Arcanobacterium sp. S3PF19	1	Anterior_nares	Throat	#8000ff	0.0	2.0	#8000ff	#7effb5
537	Afipia birgiae	2	Throat	Anterior_nares	#ff5029	0.0	2.0	#8000ff	#7effb5
538	Atopobacter phocae	1	Anterior_nares	Anterior_nares	#8000ff	1.0	2.0	#ff0000	#7effb5
539	Aerococcus viridans	2	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
540	Atopobium parvulum	18	Saliva	Tongue_dorsum	#7effb5	1.0	3.0	#ff0000	#feb562
542	Atopobium rimae	14	Saliva	Tongue_dorsum	#7effb5	1.0	3.0	#ff0000	#feb562
554	Atopobium sp. BS2	11	Saliva	Subgingival_plaque	#7effb5	0.0	4.0	#8000ff	#ff0000
562	Atopobium sp. ICM42b	12	Saliva	Tongue_dorsum	#7effb5	1.0	3.0	#ff0000	#feb562
576	Atopobium sp. oral taxon 199	2	Saliva	Saliva	#7effb5	1.0	4.0	#ff0000	#ff0000
584	Atopobium vaginae	1	Posterior_fornix	Posterior_fornix	#4df3ce	1.0	2.0	#ff0000	#7effb5
586	Aureimonas altamirensis	1	Anterior_nares	Throat	#8000ff	0.0	2.0	#8000ff	#7effb5
588	Avibacterium paragallinarum	3	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
594	Azohydromonas australica	1	Anterior_nares	Anterior_nares	#8000ff	1.0	2.0	#ff0000	#7effb5
602	Bacillus cereus	2	Anterior_nares	Throat	#8000ff	0.0	2.0	#8000ff	#7effb5
604	Bacillus thermoamylovorans	1	Anterior_nares	Anterior_nares	#8000ff	1.0	2.0	#ff0000	#7effb5
612	bacterium LF-3	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
616	Bacteroidaceae bacterium MS4	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
622	Bacteroides acidifaciens	15	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
630	Bacteroides barnesiae	8	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
640	Bacteroides caccae	19	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
646	Bacteroides cellulosilyticus	16	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
648	Bacteroides clarus	8	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
656	Bacteroides coprocola	18	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
662	Bacteroides coprophilus	14	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
666	Bacteroides coprosuis	2	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
680	Bacteroides dorei	20	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
698	Bacteroides eggerthii	13	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
700	Bacteroides faecichinchillae	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
704	Bacteroides faecis	18	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
710	Bacteroides finegoldii	19	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
722	Bacteroides fluxus	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
728	Bacteroides fragilis	21	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
764	Bacteroides gallinarum	15	Subgingival_plaque	Stool	#e4cf74	1.0	1.0	#ff0000	#01b3ec
788	Bacteroides graminisolvens	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
796	Bacteroides helcogenes	7	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
806	Bacteroides intestinalis	17	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
820	Bacteroides massiliensis	18	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
828	Bacteroides nordii	9	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
836	Bacteroides oleiciplenus	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
860	Bacteroides ovatus	21	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
868	Bacteroides paurosaccharolyticus	3	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
869	[Pasteurella] pneumotropica	10	Buccal_mucosa	Buccal_mucosa	#1996f3	1.0	0.0	#ff0000	#8000ff
870	Bacteroides pyogenes	8	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
874	Bacteroides reticulotermitis	3	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
880	Bacteroides salanitronis	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
886	Bacteroides salyersiae	6	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
896	Bacteroides sartorii	13	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
912	Bacteroides sp. 1_1_30	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
924	Bacteroides sp. 1_1_6	15	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
934	Bacteroides sp. 14(A)	10	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
942	Bacteroides sp. 2_1_33B	10	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
952	Bacteroides sp. 2_1_56FAA	1	Stool	Buccal_mucosa	#b2f396	1.0	4.0	#ff0000	#ff0000
954	Bacteroides sp. 3_1_13	13	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
968	Bacteroides sp. 3_1_19	11	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1002	Bacteroides sp. 3_1_23	12	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1004	Bacteroides sp. 3_1_33FAA	14	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1028	Bacteroides sp. 3_1_40A	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1042	Bacteroides sp. 4_1_36	9	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1064	Bacteroides sp. 4_3_47FAA	13	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1082	Bacteroides sp. 9_1_42FAA	14	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1112	Bacteroides sp. D2	13	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1120	Bacteroides sp. D20	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1123	[Eubacterium] dolichum	5	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1138	Bacteroides sp. D22	11	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1142	Bacteroides sp. HPS0048	6	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1162	Bacteroides stercorirosoris	13	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1186	Bacteroides stercoris	14	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1194	Bacteroides thetaiotaomicron	18	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1224	Bacteroides uniformis	22	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1244	Bacteroides vulgatus	20	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1257	Bacteroides sp. 2_2_4	14	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1262	Bacteroides xylanisolvens	11	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1272	Bacteroidetes oral taxon 274	21	Subgingival_plaque	Supragingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
1280	Barnesiella intestinihominis	8	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1288	Barnesiella viscericola	7	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1306	Bibersteinia trehalosi	2	Buccal_mucosa	Buccal_mucosa	#1996f3	1.0	0.0	#ff0000	#8000ff
1312	Bifidobacterium adolescentis	14	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1324	Bifidobacterium bifidum	2	Anterior_nares	Stool	#8000ff	0.0	2.0	#8000ff	#7effb5
1334	Bifidobacterium breve	1	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1336	Bifidobacterium kashiwanohense	1	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1338	Bifidobacterium longum	14	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1388	Bifidobacterium pseudocatenulatum	3	Stool	Stool	#b2f396	1.0	4.0	#ff0000	#ff0000
1394	Bifidobacterium ruminantium	1	Stool	Stool	#b2f396	0.0	4.0	#8000ff	#ff0000
1398	Bifidobacterium saeculare	1	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1404	Bifidobacterium subtile	1	Tongue_dorsum	Saliva	#ff0000	1.0	4.0	#ff0000	#ff0000
1408	Bilophila sp. 4_1_30	6	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1444	Bilophila wadsworthia	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1476	Blautia hansenii	1	Stool	Stool	#b2f396	0.0	4.0	#8000ff	#ff0000
1480	Blautia hydrogenotrophica	3	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1484	Blautia obeum	14	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1512	Blautia producta	8	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1518	Blautia schinkii	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1531	Bacteroides plebeius	8	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1532	Blautia sp. GD9	9	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1560	Blautia sp. KLE 1732	11	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1592	Blautia wexlerae	16	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1608	Brevundimonas diminuta	1	Anterior_nares	Anterior_nares	#8000ff	0.0	2.0	#8000ff	#7effb5
1612	Brochothrix thermosphacta	4	Saliva	Saliva	#7effb5	0.0	4.0	#8000ff	#ff0000
1622	Burkholderiales bacterium 1_1_47	10	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1636	Butyricicoccus pullicaecorum	10	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1654	Butyricimonas synergistica	7	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1682	Butyricimonas virosa	9	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1716	Butyrivibrio sp. NC3005	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1728	Calothrix sp. PCC 7103	2	Anterior_nares	Anterior_nares	#8000ff	1.0	2.0	#ff0000	#7effb5
1734	Campylobacter concisus	27	Saliva	Subgingival_plaque	#7effb5	0.0	3.0	#8000ff	#feb562
1754	Campylobacter curvus	5	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
1755	[Eubacterium] yurii	8	Subgingival_plaque	Supragingival_plaque	#e4cf74	0.0	3.0	#8000ff	#feb562
1756	Campylobacter fetus	2	Attached	Attached	#4e4dfc	1.0	0.0	#ff0000	#8000ff
1760	Campylobacter gracilis	24	Subgingival_plaque	Buccal_mucosa	#e4cf74	1.0	3.0	#ff0000	#feb562
1782	Campylobacter hominis	5	Attached	Saliva	#4e4dfc	0.0	3.0	#8000ff	#feb562
1784	Campylobacter mucosalis	2	Attached	Attached	#4e4dfc	0.0	0.0	#8000ff	#8000ff
1790	Campylobacter rectus	19	Subgingival_plaque	Subgingival_plaque	#e4cf74	1.0	3.0	#ff0000	#feb562
1795	Bulleidia extructa	5	Throat	Subgingival_plaque	#ff5029	0.0	4.0	#8000ff	#ff0000
1796	Campylobacter showae	27	Supragingival_plaque	Subgingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
1809	Bergeyella zoohelcum	3	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
1810	Campylobacter sp. 10_1_50	11	Saliva	Buccal_mucosa	#7effb5	1.0	0.0	#ff0000	#8000ff
1812	Campylobacter sp. FOBRC14	2	Attached	Attached	#4e4dfc	1.0	0.0	#ff0000	#8000ff
1820	candidate division SR1 bacterium RAAC1_SR1_1	2	Tongue_dorsum	Saliva	#ff0000	0.0	4.0	#8000ff	#ff0000
1822	Candidatus Alistipes marseilloanorexicus	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1836	Candidatus Bacteroides timonensis	10	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
1854	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	2	Saliva	Saliva	#7effb5	1.0	4.0	#ff0000	#ff0000
1860	Candidatus Saccharibacteria oral taxon TM7x	25	Saliva	Subgingival_plaque	#7effb5	1.0	3.0	#ff0000	#feb562
1884	Capnocytophaga cynodegmi	3	Supragingival_plaque	Supragingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
1885	Actinomyces slackii	1	Supragingival_plaque	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#ff0000
1888	Capnocytophaga gingivalis	27	Supragingival_plaque	Subgingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
1904	Capnocytophaga granulosa	14	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
1905	Actinomyces sp. oral taxon 170	24	Supragingival_plaque	Supragingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
1918	Capnocytophaga ochracea	12	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
1926	Capnocytophaga sp. CM59	17	Supragingival_plaque	Buccal_mucosa	#ff964f	1.0	3.0	#ff0000	#feb562
1940	Capnocytophaga sp. oral taxon 323	10	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
1962	Capnocytophaga sp. oral taxon 324	9	Supragingival_plaque	Subgingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
2000	Capnocytophaga sp. oral taxon 326	25	Supragingival_plaque	Supragingival_plaque	#ff964f	0.0	3.0	#8000ff	#feb562
2014	Capnocytophaga sp. oral taxon 329	26	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
2028	Capnocytophaga sp. oral taxon 332	24	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
2032	Capnocytophaga sp. oral taxon 335	7	Supragingival_plaque	Supragingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
2038	Capnocytophaga sp. oral taxon 336	11	Supragingival_plaque	Subgingival_plaque	#ff964f	1.0	3.0	#ff0000	#feb562
