	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
1854	Porphyromonas	2	Tongue_dorsum	#ff0000	2.0	0.0	#7effb5	#8000ff
1855	Paraprevotella	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
1856	Porphyromonas	2	Tongue_dorsum	#ff0000	2.0	0.0	#7effb5	#8000ff
1857	Pasteurella	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
1858	Porphyromonas	2	Tongue_dorsum	#ff0000	2.0	0.0	#7effb5	#8000ff
1859	Peptoniphilus	2	Anterior_nares	#8000ff	2.0	0.0	#7effb5	#8000ff
1860	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1861	Anaeroglobus	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
1862	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1863	Bacteroides	2	Stool	#b2f396	3.0	1.0	#feb562	#ff0000
1864	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1865	Brochothrix	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
1866	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1867	Campylobacter	2	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
1868	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1869	Centipeda	1	Subgingival_plaque	#e4cf74	3.0	1.0	#feb562	#ff0000
1870	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1871	Dolosigranulum	1	Anterior_nares	#8000ff	3.0	1.0	#feb562	#ff0000
1872	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1873	Eggerthia	1	Subgingival_plaque	#e4cf74	3.0	1.0	#feb562	#ff0000
1874	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1875	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#feb562	#ff0000
1876	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1877	Johnsonella	1	Subgingival_plaque	#e4cf74	3.0	1.0	#feb562	#ff0000
1878	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1879	Mogibacterium	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1880	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
