	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
420	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
421	Kytococcus	1	Tongue_dorsum	#ff0000	7.0	0.0	#ffa558	#8000ff
422	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
423	Lachnoanaerobaculum	2	Tongue_dorsum	#ff0000	8.0	0.0	#ff592d	#8000ff
424	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
425	Lautropia	2	Supragingival_plaque	#ff964f	7.0	0.0	#ffa558	#8000ff
426	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
427	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
428	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
429	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
430	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
431	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
432	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
433	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
434	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
435	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
436	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
437	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
438	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
439	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
440	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
441	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
442	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
443	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
444	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
445	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
446	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
447	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
448	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
449	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
450	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
451	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
452	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
453	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
454	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
455	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
456	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
457	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
458	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
459	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
460	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
461	Kingella	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
462	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
463	Lactobacillus	1	Mid_vagina	#18cde4	4.0	1.0	#62fbc4	#ff0000
464	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
465	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
466	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
467	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
468	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
469	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
470	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
471	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
472	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
473	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
474	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
475	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
476	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
477	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
478	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
479	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
480	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
481	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
482	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
483	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
484	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
485	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
486	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
487	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
488	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
489	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
490	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
491	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
492	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
493	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
494	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
