TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Campylobacter concisus	Attached	#622ffe	269	36.0	20.0	#ff703a	#62fbc4
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	269	40.0	22.0	#ff2914	#78ffb8
Afipia birgiae	Throat	#ff5c2f	2	4.0	6.0	#504afc	#3c68f9
Corynebacterium aurimucosum	Anterior_nares	#8000ff	2	32.0	24.0	#ffae5e	#90feab
Gordonia polyisoprenivorans	L_Retroauricular_crease	#34e4d9	2	25.0	28.0	#aef498	#bced8f
Kocuria palustris	L_Retroauricular_crease	#34e4d9	2	28.0	31.0	#d4dd80	#ded579
Bacteroides clarus	Stool	#e8cb72	1	28.0	12.0	#d4dd80	#08bee9
Gemella cuniculi	Attached	#622ffe	2	3.0	27.0	#5c38fd	#b2f396
Moraxella bovis	Anterior_nares	#8000ff	2	24.0	34.0	#a2f9a0	#ffb360
Gallibacterium anatis	Keratinized_gingiva	#17cbe4	3	7.0	26.0	#2c7ef7	#a6f89d
Mannheimia sp. MG13	Tongue_dorsum	#ff2f18	3	25.0	32.0	#aef498	#ebca70
Oribacterium asaccharolyticum	Saliva	#cbe486	6	34.0	2.0	#ff914c	#6a22fe
Bacteroides thetaiotaomicron	Stool	#e8cb72	4	0.0	17.0	#8000ff	#40ecd4
Megasphaera sp. UPII 135-E	L_Retroauricular_crease	#34e4d9	1	12.0	33.0	#10c6e6	#f6be68
[Eubacterium] yurii	Subgingival_plaque	#ffac5c	168	31.0	25.0	#f9bb66	#9bfba5
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	193	28.0	35.0	#d4dd80	#ffa558
Actinotignum schaalii	Buccal_mucosa	#445cfb	2	13.0	5.0	#1dd1e2	#4856fb
Bacteroidetes bacterium oral taxon 272	Supragingival_plaque	#ff8646	1	28.0	18.0	#d4dd80	#4df3ce
Prevotella conceptionensis	Subgingival_plaque	#ffac5c	184	28.0	36.0	#d4dd80	#ff964f
Prevotella loescheii	Subgingival_plaque	#ffac5c	207	41.0	37.0	#ff160b	#ff8947
Alysiella crassa	Keratinized_gingiva	#17cbe4	2	14.0	9.0	#2adddd	#1996f3
[Eubacterium] eligens	Stool	#e8cb72	4	10.0	13.0	#08acee	#12c8e6
Butyricimonas virosa	Stool	#e8cb72	1	19.0	19.0	#66fcc2	#56f7ca
Selenomonas sp. FOBRC6	Attached	#622ffe	151	38.0	40.0	#ff4d27	#ff592d
Selenomonas sp. CM52	Subgingival_plaque	#ffac5c	150	38.0	39.0	#ff4d27	#ff6835
Rothia aeria	Supragingival_plaque	#ff8646	269	27.0	38.0	#c6e789	#ff793e
Streptococcus sp. 1171_SSPC	Palatine_Tonsils	#70febc	20	38.0	42.0	#ff4d27	#ff351b
Streptococcus sp. 343_SSPC	Palatine_Tonsils	#70febc	17	38.0	42.0	#ff4d27	#ff351b
Streptococcus peroris	Throat	#ff5c2f	8	38.0	41.0	#ff4d27	#ff4724
Streptococcus sp. I-G2	Tongue_dorsum	#ff2f18	6	6.0	2.0	#386df9	#6a22fe
Granulicatella adiacens	Attached	#622ffe	259	19.0	29.0	#66fcc2	#c8e688
Treponema denticola	Subgingival_plaque	#ffac5c	139	38.0	43.0	#ff4d27	#ff2613
Treponema pedis	Subgingival_plaque	#ffac5c	37	38.0	44.0	#ff4d27	#ff1309
Veillonella dispar	Throat	#ff5c2f	250	38.0	45.0	#ff4d27	#ff0000
Haemophilus sp. FF7	Buccal_mucosa	#445cfb	1	20.0	30.0	#72febb	#d4dd80
