TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Mannheimia haemolytica	Keratinized_gingiva	#17cbe4	3	20.0	4.0	#84ffb2	#4659fb
Megasphaera micronuciformis	Saliva	#cbe486	15	7.0	32.0	#2686f5	#ff4422
Megasphaera sp. BV3C16-1	Saliva	#cbe486	1	28.0	1.0	#eec66d	#7216ff
Mitsuokella sp. oral taxon 131	Subgingival_plaque	#ffac5c	2	13.0	17.0	#2adddd	#76ffb9
Mogibacterium sp. CM50	Subgingival_plaque	#ffac5c	6	5.0	12.0	#4062fa	#2fe0db
Mogibacterium timidum	Palatine_Tonsils	#70febc	3	15.0	15.0	#44eed2	#5af8c8
Morococcus cerebrosus	Palatine_Tonsils	#70febc	7	18.0	4.0	#6afdc0	#4659fb
Mycobacterium mucogenicum	L_Retroauricular_crease	#34e4d9	1	22.0	11.0	#9efaa2	#20d5e1
Mycobacterium obuense	Anterior_nares	#8000ff	1	22.0	11.0	#9efaa2	#20d5e1
Mycoplasma salivarium	Subgingival_plaque	#ffac5c	4	15.0	15.0	#44eed2	#5af8c8
Neisseria elongata	Supragingival_plaque	#ff8646	9	6.0	4.0	#3176f8	#4659fb
Neisseria flavescens	Throat	#ff5c2f	9	0.0	3.0	#8000ff	#5641fd
Neisseria gonorrhoeae	Keratinized_gingiva	#17cbe4	9	0.0	3.0	#8000ff	#5641fd
Neisseria lactamica	Keratinized_gingiva	#17cbe4	11	29.0	3.0	#fbb965	#5641fd
Neisseria macacae	Saliva	#cbe486	9	0.0	3.0	#8000ff	#5641fd
Neisseria meningitidis	Throat	#ff5c2f	13	29.0	3.0	#fbb965	#5641fd
Neisseria mucosa	Throat	#ff5c2f	10	4.0	3.0	#4c50fc	#5641fd
Neisseria polysaccharea	Keratinized_gingiva	#17cbe4	9	0.0	3.0	#8000ff	#5641fd
Neisseria sicca	Buccal_mucosa	#445cfb	11	29.0	3.0	#fbb965	#5641fd
Neisseria sp. 74A18	R_Retroauricular_crease	#acf59a	1	22.0	11.0	#9efaa2	#20d5e1
Neisseria sp. GT4A_CT1	Supragingival_plaque	#ff8646	2	36.0	2.0	#ff3e1f	#642cfe
Neisseria sp. KH1503	Throat	#ff5c2f	4	18.0	4.0	#6afdc0	#4659fb
Neisseria sp. oral taxon 014	Supragingival_plaque	#ff8646	10	4.0	3.0	#4c50fc	#5641fd
Neisseria sp. oral taxon 020	Throat	#ff5c2f	4	15.0	15.0	#44eed2	#5af8c8
Neisseria subflava	Tongue_dorsum	#ff2f18	9	0.0	3.0	#8000ff	#5641fd
Novosphingobium subterraneum	Throat	#ff5c2f	2	36.0	2.0	#ff3e1f	#642cfe
Olsenella uli	Palatine_Tonsils	#70febc	3	15.0	15.0	#44eed2	#5af8c8
