TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Xanthomonas albilineans	Anterior_nares	#8000ff	2	10.0	120.0	#5641fd	#ff2211
Xanthomonas sp. Mitacek01	L_Retroauricular_crease	#34e4d9	1	17.0	98.0	#3670f8	#ffa256
Acinetobacter bereziniae	R_Retroauricular_crease	#acf59a	3	98.0	6.0	#ff7e41	#6826fe
Acinetobacter sp. NIPH 284	L_Retroauricular_crease	#34e4d9	3	98.0	6.0	#ff7e41	#6826fe
Acinetobacter sp. MII	Anterior_nares	#8000ff	1	43.0	13.0	#3ae8d6	#4c50fc
Acinetobacter sp. 243_ASPC	Anterior_nares	#8000ff	1	72.0	10.0	#b9ef92	#583efd
Acinetobacter sp. CIP 101966	R_Retroauricular_crease	#acf59a	2	112.0	11.0	#ff2211	#5444fd
Acinetobacter sp. NIPH 817	Anterior_nares	#8000ff	1	29.0	15.0	#01b3ec	#445cfb
Acidithiobacillus caldus	Buccal_mucosa	#445cfb	1	91.0	3.0	#ffa558	#7413ff
Aerococcus urinae	Anterior_nares	#8000ff	1	45.0	27.0	#44eed2	#11a0f1
Acinetobacter tjernbergiae	Anterior_nares	#8000ff	1	66.0	17.0	#9efaa2	#3c68f9
Actinobacteria bacterium UC5.1-1B11	Anterior_nares	#8000ff	1	86.0	19.0	#f6be68	#3473f8
Afipia clevelandensis	Anterior_nares	#8000ff	3	47.0	28.0	#4df3ce	#0ea5ef
Actinoplanes rectilineatus	Anterior_nares	#8000ff	1	61.0	25.0	#88ffaf	#1996f3
Acinetobacter radioresistens	L_Retroauricular_crease	#34e4d9	1	97.0	8.0	#ff8444	#6032fe
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	1	36.0	24.0	#1dd1e2	#208ef4
Acinetobacter sp. NIPH 899	Anterior_nares	#8000ff	1	27.0	16.0	#0ca7ef	#4062fa
Arthrobacter castelli	Anterior_nares	#8000ff	3	44.0	38.0	#3febd5	#1acfe3
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	18	82.0	21.0	#e4cf74	#2c7ef7
Bacillaceae bacterium MTCC 8252	Anterior_nares	#8000ff	1	31.0	47.0	#07bbea	#3febd5
