TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Mycobacterium chimaera	R_Retroauricular_crease	#acf59a	1	0.0	23.0	#8000ff	#24d8df
Mycobacterium fortuitum	R_Retroauricular_crease	#acf59a	1	15.0	30.0	#169bf2	#56f7ca
Mycobacterium gilvum	R_Retroauricular_crease	#acf59a	1	62.0	4.0	#ff6533	#642cfe
Mycobacterium haemophilum	R_Retroauricular_crease	#acf59a	2	12.0	20.0	#2981f6	#0fc4e7
Mycobacterium kansasii	R_Retroauricular_crease	#acf59a	2	12.0	20.0	#2981f6	#0fc4e7
Mycobacterium sp. Root135	R_Retroauricular_crease	#acf59a	2	48.0	19.0	#d9da7d	#08bee9
Mycobacterium sp. UNC410CL29Cvi84	R_Retroauricular_crease	#acf59a	1	64.0	12.0	#ff5029	#2981f6
Mycoplasma canis	R_Retroauricular_crease	#acf59a	1	60.0	60.0	#ff793e	#ff793e
Mycoplasma cynos	R_Retroauricular_crease	#acf59a	2	18.0	15.0	#00b5eb	#169bf2
Nakamurella multipartita	L_Retroauricular_crease	#34e4d9	1	62.0	4.0	#ff6533	#642cfe
Neisseria bacilliformis	Throat	#ff5c2f	1	31.0	41.0	#5efac6	#a6f89d
Neisseria flavescens	Throat	#ff5c2f	4	11.0	39.0	#3176f8	#99fca6
Neisseria gonorrhoeae	Keratinized_gingiva	#17cbe4	3	66.0	1.0	#ff381c	#7a09ff
Neisseria meningitidis	Throat	#ff5c2f	20	13.0	7.0	#2489f5	#4e4dfc
Neisseria mucosa	Throat	#ff5c2f	4	48.0	19.0	#d9da7d	#08bee9
Neisseria shayeganii	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Neisseria sp. 74A18	R_Retroauricular_crease	#acf59a	5	18.0	15.0	#00b5eb	#169bf2
Neisseria sp. 83E34	R_Retroauricular_crease	#acf59a	1	60.0	60.0	#ff793e	#ff793e
Neisseria sp. HMSC06F02	Saliva	#cbe486	2	17.0	39.0	#06aeed	#99fca6
Neisseria wadsworthii	R_Retroauricular_crease	#acf59a	2	18.0	15.0	#00b5eb	#169bf2
Neisseria weaveri	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Nesterenkonia sp. NP1	R_Retroauricular_crease	#acf59a	1	15.0	30.0	#169bf2	#56f7ca
Nitrosomonas sp. AL212	L_Retroauricular_crease	#34e4d9	2	28.0	11.0	#48f1d0	#3176f8
Niveispirillum irakense	Anterior_nares	#8000ff	1	43.0	23.0	#b4f295	#24d8df
Nocardia sp. 348MFTsu5.1	R_Retroauricular_crease	#acf59a	1	26.0	4.0	#3ae8d6	#642cfe
Nosocomiicoccus massiliensis	Anterior_nares	#8000ff	2	47.0	50.0	#d0e082	#e6cd73
Ochrobactrum anthropi	R_Retroauricular_crease	#acf59a	4	66.0	1.0	#ff381c	#7a09ff
Ochrobactrum rhizosphaerae	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Ochrobactrum sp. CDB2	Anterior_nares	#8000ff	2	46.0	51.0	#cbe486	#eec66d
Odoribacter laneus	Stool	#e8cb72	3	16.0	34.0	#0ea5ef	#74feba
Oribacterium asaccharolyticum	Saliva	#cbe486	3	12.0	20.0	#2981f6	#0fc4e7
Oribacterium parvum	Throat	#ff5c2f	5	12.0	20.0	#2981f6	#0fc4e7
Oribacterium sp. FC2011	R_Retroauricular_crease	#acf59a	1	6.0	27.0	#5641fd	#40ecd4
Oribacterium sp. oral taxon 108	Saliva	#cbe486	3	12.0	20.0	#2981f6	#0fc4e7
Ornithinimicrobium pekingense	R_Retroauricular_crease	#acf59a	1	62.0	4.0	#ff6533	#642cfe
Oscillatoria acuminata	R_Retroauricular_crease	#acf59a	2	32.0	0.0	#64fbc3	#8000ff
Oscillibacter ruminantium	Stool	#e8cb72	1	55.0	10.0	#ffa759	#396bf9
Oscillibacter sp. 1-3	Stool	#e8cb72	1	64.0	12.0	#ff5029	#2981f6
Oscillibacter sp. ER4	Stool	#e8cb72	11	63.0	24.0	#ff592d	#2ddedc
Oscillibacter valericigenes	Stool	#e8cb72	1	64.0	12.0	#ff5029	#2981f6
Oscillospiraceae bacterium VE202-24	Stool	#e8cb72	1	44.0	3.0	#bced8f	#6c1fff
Pantoea agglomerans	R_Retroauricular_crease	#acf59a	1	71.0	14.0	#ff0000	#1c93f3
Pantoea ananatis	R_Retroauricular_crease	#acf59a	10	66.0	1.0	#ff381c	#7a09ff
Pantoea sp. A4	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Pantoea sp. NGS-ED-1003	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Pantoea sp. PSNIH2	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Pantoea stewartii	R_Retroauricular_crease	#acf59a	1	62.0	4.0	#ff6533	#642cfe
Pantoea vagans	R_Retroauricular_crease	#acf59a	6	66.0	1.0	#ff381c	#7a09ff
Parabacteroides distasonis	Stool	#e8cb72	2	32.0	0.0	#64fbc3	#8000ff
Parabacteroides goldsteinii	Stool	#e8cb72	1	44.0	3.0	#bced8f	#6c1fff
Parabacteroides merdae	Stool	#e8cb72	20	56.0	31.0	#ff9d53	#5efac6
Paraburkholderia andropogonis	Anterior_nares	#8000ff	3	52.0	0.0	#f4c069	#8000ff
Paraburkholderia ferrariae	L_Retroauricular_crease	#34e4d9	1	55.0	10.0	#ffa759	#396bf9
Paraburkholderia sordidicola	R_Retroauricular_crease	#acf59a	1	43.0	23.0	#b4f295	#24d8df
Paracoccus halophilus	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Paracoccus sanguinis	R_Retroauricular_crease	#acf59a	5	66.0	1.0	#ff381c	#7a09ff
Paracoccus sp. MKU1	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Paracoccus sp. N5	R_Retroauricular_crease	#acf59a	1	5.0	16.0	#5e35fe	#0ea5ef
Paracoccus sp. TRP	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Paracoccus versutus	Buccal_mucosa	#445cfb	2	32.0	0.0	#64fbc3	#8000ff
Paraprevotella xylaniphila	Stool	#e8cb72	2	19.0	24.0	#08bee9	#2ddedc
Parasutterella excrementihominis	Stool	#e8cb72	4	29.0	0.0	#50f4cc	#8000ff
Parvimonas micra	Subgingival_plaque	#ffac5c	4	12.0	20.0	#2981f6	#0fc4e7
Pasteurella dagmatis	R_Retroauricular_crease	#acf59a	5	71.0	46.0	#ff0000	#cbe486
Pasteurella multocida	Keratinized_gingiva	#17cbe4	5	37.0	37.0	#88ffaf	#88ffaf
Pectobacterium carotovorum	Anterior_nares	#8000ff	5	30.0	40.0	#56f7ca	#9efaa2
Pedobacter agri	Anterior_nares	#8000ff	6	37.0	48.0	#88ffaf	#d9da7d
Pedobacter sp. Leaf194	L_Retroauricular_crease	#34e4d9	1	0.0	23.0	#8000ff	#24d8df
Pedobacter sp. R20-19	R_Retroauricular_crease	#acf59a	1	41.0	18.0	#a6f89d	#00b5eb
Peptoclostridium difficile	L_Retroauricular_crease	#34e4d9	2	17.0	39.0	#06aeed	#99fca6
Peptoniphilaceae bacterium SIT14	R_Retroauricular_crease	#acf59a	9	54.0	49.0	#ffb05f	#ded579
Peptoniphilus duerdenii	R_Retroauricular_crease	#acf59a	6	10.0	28.0	#396bf9	#48f1d0
Peptoniphilus grossensis	R_Retroauricular_crease	#acf59a	13	6.0	45.0	#5641fd	#c2ea8c
Peptoniphilus lacrimalis	Hard_palate	#08acee	13	42.0	28.0	#acf59a	#48f1d0
Peptoniphilus obesi	R_Retroauricular_crease	#acf59a	8	10.0	28.0	#396bf9	#48f1d0
Peptoniphilus rhinitidis	Anterior_nares	#8000ff	35	42.0	28.0	#acf59a	#48f1d0
Peptoniphilus senegalensis	R_Retroauricular_crease	#acf59a	8	10.0	28.0	#396bf9	#48f1d0
Peptoniphilus sp. 1-1	L_Retroauricular_crease	#34e4d9	5	10.0	28.0	#396bf9	#48f1d0
Peptoniphilus sp. BV3AC2	Posterior_fornix	#8efeac	8	58.0	61.0	#ff8c49	#ff6d38
Peptoniphilus sp. BV3C26	Vaginal_introitus	#ff0000	2	47.0	50.0	#d0e082	#e6cd73
Peptoniphilus sp. oral taxon 375	L_Retroauricular_crease	#34e4d9	6	10.0	28.0	#396bf9	#48f1d0
Peptoniphilus sp. oral taxon 386	R_Retroauricular_crease	#acf59a	1	37.0	57.0	#88ffaf	#ff964f
Peptostreptococcaceae bacterium OBRC8	Subgingival_plaque	#ffac5c	1	2.0	4.0	#7216ff	#642cfe
Peptostreptococcaceae bacterium oral taxon 113	Palatine_Tonsils	#70febc	3	18.0	15.0	#00b5eb	#169bf2
Peptostreptococcus stomatis	Throat	#ff5c2f	4	12.0	20.0	#2981f6	#0fc4e7
Phascolarctobacterium succinatutens	Stool	#e8cb72	1	41.0	18.0	#a6f89d	#00b5eb
Phenylobacterium zucineum	R_Retroauricular_crease	#acf59a	2	66.0	1.0	#ff381c	#7a09ff
Photobacterium iliopiscarium	L_Retroauricular_crease	#34e4d9	2	48.0	19.0	#d9da7d	#08bee9
Pontibacter sp. BAB1700	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Porphyrobacter cryptus	L_Retroauricular_crease	#34e4d9	1	34.0	36.0	#74feba	#82ffb3
Porphyromonadaceae bacterium COT-184 OH4590	Subgingival_plaque	#ffac5c	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas asaccharolytica	Posterior_fornix	#8efeac	1	8.0	12.0	#4856fb	#2981f6
Porphyromonas cangingivalis	R_Retroauricular_crease	#acf59a	6	37.0	37.0	#88ffaf	#88ffaf
Porphyromonas canoris	Keratinized_gingiva	#17cbe4	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas crevioricanis	R_Retroauricular_crease	#acf59a	6	18.0	15.0	#00b5eb	#169bf2
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas gingivicanis	R_Retroauricular_crease	#acf59a	6	37.0	37.0	#88ffaf	#88ffaf
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas macacae	Attached	#622ffe	5	37.0	37.0	#88ffaf	#88ffaf
Porphyromonas sp. COT-108 OH1349	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas sp. COT-108 OH2963	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas sp. COT-239 OH1446	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas sp. COT-290 OH3588	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas sp. COT-290 OH860	R_Retroauricular_crease	#acf59a	3	18.0	15.0	#00b5eb	#169bf2
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	5	9.0	39.0	#4062fa	#99fca6
Porphyromonas uenonis	Posterior_fornix	#8efeac	2	32.0	0.0	#64fbc3	#8000ff
Prevotella amnii	L_Retroauricular_crease	#34e4d9	4	12.0	20.0	#2981f6	#0fc4e7
Prevotella bergensis	Stool	#e8cb72	4	32.0	0.0	#64fbc3	#8000ff
Prevotella bivia	Saliva	#cbe486	7	34.0	62.0	#74feba	#ff6533
Prevotella fusca	Palatine_Tonsils	#70febc	2	12.0	20.0	#2981f6	#0fc4e7
Prevotella intermedia	Palatine_Tonsils	#70febc	4	11.0	39.0	#3176f8	#99fca6
Prevotella loescheii	Subgingival_plaque	#ffac5c	3	17.0	39.0	#06aeed	#99fca6
Prevotella marshii	Subgingival_plaque	#ffac5c	2	12.0	20.0	#2981f6	#0fc4e7
Prevotella micans	Subgingival_plaque	#ffac5c	2	32.0	0.0	#64fbc3	#8000ff
Prevotella nanceiensis	Hard_palate	#08acee	22	33.0	59.0	#6dfdbf	#ff8444
Prevotella oralis	Subgingival_plaque	#ffac5c	2	48.0	19.0	#d9da7d	#08bee9
Prevotella oris	Subgingival_plaque	#ffac5c	20	13.0	7.0	#2489f5	#4e4dfc
