	TAXA	sample_type	sample_color	frequency
5542	Pseudomonas sp. 313	Buccal_mucosa	#1996f3	1
5546	Pseudomonas sp. Ag1	Mid_vagina	#18cde4	2
5566	Pseudomonas sp. DSM 28140	Posterior_fornix	#4df3ce	1
5574	Pseudomonas sp. DSM 28142	Posterior_fornix	#4df3ce	1
5582	Pseudomonas sp. DSM 29164	Posterior_fornix	#4df3ce	1
5590	Pseudomonas sp. DSM 29167	Mid_vagina	#18cde4	2
5611	Pseudomonas sp. Eur1 9.41	Mid_vagina	#18cde4	3
5633	Pseudomonas sp. FH1	Mid_vagina	#18cde4	2
5655	Pseudomonas sp. L10.10	Saliva	#7effb5	1
5657	Pseudomonas sp. NBRC 111132	Mid_vagina	#18cde4	3
5681	Pseudomonas sp. NBRC 111134	Mid_vagina	#18cde4	2
5706	Pseudomonas sp. NBRC 111137	Saliva	#7effb5	1
5714	Pseudomonas sp. Root9	Mid_vagina	#18cde4	2
5740	Pseudomonas stutzeri	Anterior_nares	#8000ff	1
5747	Pseudomonas synxantha	Mid_vagina	#18cde4	2
5774	Pseudomonas thermotolerans	Buccal_mucosa	#1996f3	1
5776	Pseudomonas tolaasii	Posterior_fornix	#4df3ce	1
5784	Pseudoramibacter alactolyticus	Supragingival_plaque	#ff964f	1
5791	Psychrobacter lutiphocae	Anterior_nares	#8000ff	1
5792	Psychrobacter sp. 1501(2011)	Saliva	#7effb5	2
5796	Psychrobacter sp. ENNN9_III	Throat	#ff5029	1
5805	Psychrobacter sp. P11F6	Saliva	#7effb5	1
5807	Psychrobacter sp. PAMC 21119	Saliva	#7effb5	1
5809	Rhodopseudomonas sp. AAP120	Posterior_fornix	#4df3ce	1
5817	Riemerella anatipestifer	Buccal_mucosa	#1996f3	3
5840	Rikenella microfusus	Stool	#b2f396	6
5848	Risungbinella massiliensis	Anterior_nares	#8000ff	1
5853	Roseburia faecis	Stool	#b2f396	17
5873	Roseburia hominis	Stool	#b2f396	15
5898	Roseburia intestinalis	Stool	#b2f396	16
5934	Roseburia inulinivorans	Stool	#b2f396	15
5950	Rothia aeria	Supragingival_plaque	#ff964f	20
5972	Rothia dentocariosa	Supragingival_plaque	#ff964f	35
5993	Rothia mucilaginosa	Buccal_mucosa	#1996f3	35
6003	Ruminococcaceae bacterium 585-1	Stool	#b2f396	14
6036	Ruminococcaceae bacterium 668	Stool	#b2f396	12
6071	Ruminococcaceae bacterium AM2	Stool	#b2f396	11
6083	Ruminococcaceae bacterium cv2	Stool	#b2f396	11
6113	Ruminococcaceae bacterium D16	Stool	#b2f396	15
6136	Ruminococcaceae bacterium GD6	Stool	#b2f396	1
6140	Ruminococcus albus	Stool	#b2f396	10
6146	Ruminococcus bicirculans	Stool	#b2f396	18
6150	Ruminococcus callidus	Stool	#b2f396	12
6182	Ruminococcus champanellensis	Stool	#b2f396	10
6199	Ruminococcus faecis	Stool	#b2f396	17
6223	Ruminococcus flavefaciens	Stool	#b2f396	13
6241	Ruminococcus lactaris	Stool	#b2f396	16
6264	Ruminococcus sp. 5_1_39BFAA	Stool	#b2f396	17
6293	Ruminococcus sp. AT10	Stool	#b2f396	5
6327	Ruminococcus sp. FC2018	Stool	#b2f396	2
6349	Ruminococcus sp. HUN007	Stool	#b2f396	3
6367	Ruminococcus sp. JC304	Stool	#b2f396	14
6391	Ruminococcus sp. NK3A76	Stool	#b2f396	4
6400	Salmonella enterica	Anterior_nares	#8000ff	8
6409	Sanguibacter keddieii	Saliva	#7effb5	15
6426	Sanguibacteroides justesenii	Stool	#b2f396	2
6438	Scardovia wiggsiae	Supragingival_plaque	#ff964f	3
6443	Selenomonas artemidis	Subgingival_plaque	#e4cf74	12
6461	Selenomonas flueggei	Saliva	#7effb5	14
6493	Selenomonas infelix	Attached	#4e4dfc	17
6507	Selenomonas noxia	Supragingival_plaque	#ff964f	21
6522	Selenomonas sp. CM52	Subgingival_plaque	#e4cf74	16
6554	Selenomonas sp. F0473	Supragingival_plaque	#ff964f	3
6559	Selenomonas sp. FOBRC6	Attached	#4e4dfc	11
6579	Selenomonas sp. FOBRC9	Subgingival_plaque	#e4cf74	6
6584	Selenomonas sp. oral taxon 137	Supragingival_plaque	#ff964f	5
6608	Selenomonas sp. oral taxon 138	Attached	#4e4dfc	12
6641	Selenomonas sp. oral taxon 149	Saliva	#7effb5	14
6685	Selenomonas sp. oral taxon 478	Saliva	#7effb5	8
6690	Selenomonas sp. oral taxon 892	Supragingival_plaque	#ff964f	16
6718	Selenomonas sputigena	Subgingival_plaque	#e4cf74	16
6735	Senegalimassilia anaerobia	Stool	#b2f396	2
6751	Shuttleworthia sp. MSX8B	Subgingival_plaque	#e4cf74	2
6755	Simonsiella muelleri	Attached	#4e4dfc	7
6770	Sinorhizobium sp. GL28	Stool	#b2f396	2
6785	Slackia exigua	Throat	#ff5029	1
6794	Slackia piriformis	Stool	#b2f396	2
6818	Slackia sp. CM382	Throat	#ff5029	1
6827	Sneathia amnii	Posterior_fornix	#4df3ce	3
6829	Solobacterium moorei	Tongue_dorsum	#ff0000	22
6846	Sphingobacterium sp. IITKGP-BTPF85	Anterior_nares	#8000ff	1
6858	Sphingobium yanoikuyae	Mid_vagina	#18cde4	5
6872	Sphingomonas sanxanigenens	Posterior_fornix	#4df3ce	1
6880	Sphingomonas sp. Ag1	Anterior_nares	#8000ff	1
6885	Sphingomonas sp. Ant H11	Buccal_mucosa	#1996f3	1
6889	Sphingomonas sp. MEA3-1	Posterior_fornix	#4df3ce	1
6897	Sphingopyxis fribergensis	Posterior_fornix	#4df3ce	1
6905	Sphingopyxis macrogoltabida	Mid_vagina	#18cde4	2
6933	Sphingopyxis sp. H050	Mid_vagina	#18cde4	1
6935	Sphingopyxis sp. H115	Posterior_fornix	#4df3ce	1
6943	Sphingopyxis sp. LC363	Posterior_fornix	#4df3ce	1
6951	Sphingopyxis sp. LC81	Mid_vagina	#18cde4	1
6953	Sphingopyxis sp. Root1497	Mid_vagina	#18cde4	1
6955	Staphylococcus aureus	Anterior_nares	#8000ff	6
6976	Staphylococcus auricularis	Anterior_nares	#8000ff	2
6980	Staphylococcus capitis	Anterior_nares	#8000ff	1
6981	Staphylococcus epidermidis	Anterior_nares	#8000ff	10
6990	Staphylococcus haemolyticus	Anterior_nares	#8000ff	1
6996	Staphylococcus pasteuri	Attached	#4e4dfc	19
7001	Stenotrophomonas maltophilia	Anterior_nares	#8000ff	6
7013	Stomatobaculum longum	Saliva	#7effb5	20
7035	Streptobacillus moniliformis	Buccal_mucosa	#1996f3	2
7056	Streptococcus agalactiae	Buccal_mucosa	#1996f3	17
7086	Streptococcus anginosus	Mixed	#cccccc	16
7113	Streptococcus australis	Tongue_dorsum	#ff0000	12
7127	Streptococcus constellatus	Subgingival_plaque	#e4cf74	11
7145	Streptococcus cristatus	Attached	#4e4dfc	13
7169	Streptococcus dentisani	Buccal_mucosa	#1996f3	10
7206	Streptococcus equi	Anterior_nares	#8000ff	1
7218	Streptococcus equinus	Buccal_mucosa	#1996f3	1
7220	Streptococcus gordonii	Attached	#4e4dfc	16
7236	Streptococcus infantis	Tongue_dorsum	#ff0000	18
7243	Streptococcus intermedius	Anterior_nares	#8000ff	13
7264	Streptococcus macedonicus	Anterior_nares	#8000ff	3
7273	Streptococcus marimammalium	Buccal_mucosa	#1996f3	1
7283	Streptococcus massiliensis	Supragingival_plaque	#ff964f	1
7290	Streptococcus merionis	Buccal_mucosa	#1996f3	3
7307	Streptococcus mitis	Attached	#4e4dfc	31
7308	Streptococcus mutans	Buccal_mucosa	#1996f3	14
7341	Streptococcus oligofermentans	Attached	#4e4dfc	23
7393	Streptococcus oralis	Attached	#4e4dfc	27
7449	Streptococcus parasanguinis	Tongue_dorsum	#ff0000	36
7471	Streptococcus peroris	Tongue_dorsum	#ff0000	9
7479	Streptococcus pneumoniae	Attached	#4e4dfc	29
7482	Streptococcus pseudopneumoniae	Attached	#4e4dfc	28
7495	Streptococcus pyogenes	Buccal_mucosa	#1996f3	1
7497	Streptococcus salivarius	Tongue_dorsum	#ff0000	19
7509	Streptococcus sanguinis	Supragingival_plaque	#ff964f	30
7543	Streptococcus sinensis	Buccal_mucosa	#1996f3	2
7548	Streptococcus sobrinus	Buccal_mucosa	#1996f3	4
7556	Streptococcus sp. 1171_SSPC	Tongue_dorsum	#ff0000	13
7574	Streptococcus sp. 2_1_36FAA	Buccal_mucosa	#1996f3	4
7593	Streptococcus sp. 263_SSPC	Tongue_dorsum	#ff0000	19
7608	Streptococcus sp. 343_SSPC	Buccal_mucosa	#1996f3	13
7626	Streptococcus sp. 400_SSPC	Buccal_mucosa	#1996f3	14
7652	Streptococcus sp. 449_SSPC	Tongue_dorsum	#ff0000	5
7663	Streptococcus sp. ACS2	Buccal_mucosa	#1996f3	8
7684	Streptococcus sp. AS14	Throat	#ff5029	3
7698	Streptococcus sp. AS20	Buccal_mucosa	#1996f3	1
7700	Streptococcus sp. C300	Buccal_mucosa	#1996f3	6
7703	Streptococcus sp. CCH5-D3	Tongue_dorsum	#ff0000	5
7711	Streptococcus sp. CCH8-C6	Buccal_mucosa	#1996f3	1
7716	Streptococcus sp. CCH8-G7	Supragingival_plaque	#ff964f	1
7717	Streptococcus sp. CCH8-H5	Tongue_dorsum	#ff0000	5
7729	Streptococcus sp. F0441	Buccal_mucosa	#1996f3	5
7743	Streptococcus sp. F0442	Tongue_dorsum	#ff0000	16
7768	Streptococcus sp. HPH0090	Tongue_dorsum	#ff0000	9
7794	Streptococcus sp. I-G2	Tongue_dorsum	#ff0000	12
7814	Streptococcus sp. I-P16	Tongue_dorsum	#ff0000	8
7837	Streptococcus sp. M143	Attached	#4e4dfc	4
7856	Streptococcus sp. M334	Buccal_mucosa	#1996f3	11
7865	Streptococcus sp. oral taxon 056	Attached	#4e4dfc	5
7876	Streptococcus sp. oral taxon 058	Buccal_mucosa	#1996f3	10
7881	Streptococcus sp. oral taxon 071	Buccal_mucosa	#1996f3	2
7906	Streptococcus sp. oral taxon 431	Tongue_dorsum	#ff0000	14
7922	Streptococcus sp. SK140	Saliva	#7effb5	5
7932	Streptococcus sp. SK643	Attached	#4e4dfc	12
7960	Streptococcus sp. SR1	Attached	#4e4dfc	7
7974	Streptococcus sp. SR4	Tongue_dorsum	#ff0000	1
7977	Streptococcus sp. VT 162	Throat	#ff5029	2
7984	Streptococcus sp. X13SY08	Attached	#4e4dfc	2
8004	Streptococcus suis	Buccal_mucosa	#1996f3	21
8046	Streptococcus thermophilus	Anterior_nares	#8000ff	32
8055	Streptococcus tigurinus	Buccal_mucosa	#1996f3	6
8059	Streptococcus urinalis	Tongue_dorsum	#ff0000	1
8060	Streptococcus vestibularis	Buccal_mucosa	#1996f3	7
8067	Streptomyces sp. MUSC119T	Anterior_nares	#8000ff	1
8073	Subdoligranulum sp. 4_3_54A2FAA	Stool	#b2f396	14
8100	Subdoligranulum variabile	Stool	#b2f396	12
8129	Sutterella wadsworthensis	Stool	#b2f396	8
