	TAXA	sample_type	sample_color	frequency
8406	Treponema succinifaciens	Subgingival_plaque	#e4cf74	2
8416	Treponema vincentii	Subgingival_plaque	#e4cf74	13
8432	Trueperella pyogenes	Saliva	#7effb5	10
8460	Turicibacter sanguinis	Stool	#b2f396	1
8470	Turicibacter sp. HGF1	Stool	#b2f396	1
8480	Tyzzerella nexilis	Stool	#b2f396	15
8510	Ureaplasma parvum	Mid_vagina	#18cde4	4
8515	Varibaculum cambriense	Posterior_fornix	#4df3ce	5
8538	Veillonella atypica	Saliva	#7effb5	16
8564	Veillonella dispar	Saliva	#7effb5	32
8569	Veillonella magna	Attached	#4e4dfc	2
8590	Veillonella montpellierensis	Attached	#4e4dfc	4
8605	Veillonella parvula	Buccal_mucosa	#1996f3	33
8638	Veillonella seminalis	Attached	#4e4dfc	1
8644	Veillonella sp. 3_1_44	Saliva	#7effb5	17
8672	Veillonella sp. 6_1_27	Tongue_dorsum	#ff0000	17
8693	Veillonella sp. ACP1	Saliva	#7effb5	9
8704	Veillonella sp. AS16	Tongue_dorsum	#ff0000	10
8708	Veillonella sp. HPA0037	Saliva	#7effb5	8
8716	Veillonella sp. ICM51a	Saliva	#7effb5	10
8737	Veillonella sp. oral taxon 158	Tongue_dorsum	#ff0000	26
8764	Veillonella sp. oral taxon 780	Attached	#4e4dfc	20
8787	Veillonella tobetsuensis	Tongue_dorsum	#ff0000	12
8793	Vibrio cholerae	Buccal_mucosa	#1996f3	1
8798	Vibrio vulnificus	Anterior_nares	#8000ff	1
8807	Xanthomonas campestris	Anterior_nares	#8000ff	2
8816	Xylanimonas cellulosilytica	Tongue_dorsum	#ff0000	10
8837	[Bacteroides] pectinophilus	Stool	#b2f396	12
8840	[Clostridium] aminophilum	Stool	#b2f396	1
8841	[Clostridium] innocuum	Stool	#b2f396	1
8842	[Clostridium] citroniae	Stool	#b2f396	2
8845	[Clostridium] asparagiforme	Stool	#b2f396	10
8859	[Actinobacillus] muris	Buccal_mucosa	#1996f3	2
8869	Acidaminococcus intestini	Stool	#b2f396	2
8883	[Haemophilus] parasuis	Buccal_mucosa	#1996f3	6
8885	Actinobacillus minor	Buccal_mucosa	#1996f3	5
8886	[Eubacterium] infirmum	Subgingival_plaque	#e4cf74	13
8887	Actinomyces dentalis	Subgingival_plaque	#e4cf74	13
8888	[Eubacterium] sulci	Tongue_dorsum	#ff0000	14
8890	Actinobaculum sp. oral taxon 183	Supragingival_plaque	#ff964f	22
8891	Acidovorax caeni	Anterior_nares	#8000ff	3
8895	Abiotrophia defectiva	Buccal_mucosa	#1996f3	27
8899	[Eubacterium] yurii	Subgingival_plaque	#e4cf74	8
8905	Actinomyces sp. HPA0247	Tongue_dorsum	#ff0000	9
8909	Actinomyces odontolyticus	Tongue_dorsum	#ff0000	25
8950	Actinomyces slackii	Supragingival_plaque	#ff964f	1
9053	Actinobacillus succinogenes	Attached	#4e4dfc	2
9054	Afipia broomeae	Throat	#ff5029	2
9055	Anaerococcus lactolyticus	Posterior_fornix	#4df3ce	2
9070	Anaerostipes caccae	Stool	#b2f396	2
9071	[Clostridium] glycyrrhizinilyticum	Stool	#b2f396	4
9073	Acetivibrio ethanolgignens	Stool	#b2f396	13
9103	Afipia birgiae	Throat	#ff5029	3
9104	Anaerococcus tetradius	Posterior_fornix	#4df3ce	2
9251	[Eubacterium] dolichum	Stool	#b2f396	5
9255	[Pasteurella] pneumotropica	Buccal_mucosa	#1996f3	11
9413	Bacteroides sp. 2_2_4	Stool	#b2f396	14
9476	Bacteroides sp. 3_1_23	Stool	#b2f396	12
9514	Aerococcus viridans	Anterior_nares	#8000ff	2
9616	Acidovorax delafieldii	Buccal_mucosa	#1996f3	1
9617	Acidovorax ebreus	Buccal_mucosa	#1996f3	1
9618	Acidovorax sp. JS42	Buccal_mucosa	#1996f3	1
9619	Atopobium sp. oral taxon 810	Buccal_mucosa	#1996f3	1
9696	Bulleidia extructa	Throat	#ff5029	5
9806	Bergeyella zoohelcum	Supragingival_plaque	#ff964f	3
9921	Actinomyces sp. oral taxon 180	Saliva	#7effb5	6
9923	Bifidobacterium subtile	Tongue_dorsum	#ff0000	1
10198	Anaerococcus hydrogenalis	Posterior_fornix	#4df3ce	1
10244	[Clostridium] sordellii	Stool	#b2f396	1
10248	Clostridium dakarense	Stool	#b2f396	1
10249	Clostridium sp. JCC	Stool	#b2f396	3
10352	Acidovorax temperans	Anterior_nares	#8000ff	8
10353	Anaerococcus provenciensis	Anterior_nares	#8000ff	5
10354	Arcanobacterium sp. S3PF19	Anterior_nares	#8000ff	1
10355	Aureimonas altamirensis	Anterior_nares	#8000ff	1
10356	Bacillus cereus	Anterior_nares	#8000ff	2
10403	Aerococcus christensenii	Posterior_fornix	#4df3ce	3
10406	Brevibacterium massiliense	Posterior_fornix	#4df3ce	1
10407	Burkholderia cepacia	Posterior_fornix	#4df3ce	1
10408	Chryseobacterium haifense	Posterior_fornix	#4df3ce	1
10409	Clostridiales bacterium S5-A14a	Posterior_fornix	#4df3ce	1
10410	Clostridium colicanis	Posterior_fornix	#4df3ce	1
10413	Coriobacteriaceae bacterium BV3Ac1	Posterior_fornix	#4df3ce	1
10414	Corynebacterium riegelii	Posterior_fornix	#4df3ce	2
10450	Butyrivibrio crossotus	Stool	#b2f396	13
10451	Catenibacterium mitsuokai	Stool	#b2f396	7
10467	Atopobacter phocae	Anterior_nares	#8000ff	1
10469	Brevundimonas diminuta	Anterior_nares	#8000ff	1
10471	Corynebacterium genitalium	Anterior_nares	#8000ff	1
10473	Corynebacterium massiliense	Anterior_nares	#8000ff	1
10474	Corynebacterium renale	Anterior_nares	#8000ff	1
10963	Actinomyces neuii	Posterior_fornix	#4df3ce	1
10966	Dialister micraerophilus	Saliva	#7effb5	6
11637	Lactobacillus crispatus	Mid_vagina	#18cde4	8
12056	Moraxella boevrei	Anterior_nares	#8000ff	2
12059	Corynebacterium casei	Anterior_nares	#8000ff	1
12060	Enterobacter aerogenes	Anterior_nares	#8000ff	1
12824	Campylobacter ureolyticus	Anterior_nares	#8000ff	7
12834	Neisseria sicca	Buccal_mucosa	#1996f3	24
12839	Fusobacterium sp. CM22	Supragingival_plaque	#ff964f	14
13020	Fusobacterium sp. CM1	Subgingival_plaque	#e4cf74	1
13762	Mannheimia sp. MG13	Tongue_dorsum	#ff0000	1
13763	Mycoplasma orale	Tongue_dorsum	#ff0000	1
14089	Peptoniphilus duerdenii	Tongue_dorsum	#ff0000	1
15394	Leucobacter chironomi	Buccal_mucosa	#1996f3	2
16494	Mycoplasma ovipneumoniae	Tongue_dorsum	#ff0000	1
