	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
34	Basfia	2	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
38	Bibersteinia	2	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
42	Bifidobacterium	22	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
44	Bilophila	10	Stool	Stool	#b2f396	0.0	2.0	#8000ff	#10c6e6
48	Blautia	19	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
49	Acetivibrio	13	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
52	Bradyrhizobium	1	Throat	Throat	#ff5029	3.0	5.0	#5af8c8	#ecc86f
53	Afipia	4	Throat	Throat	#ff5029	3.0	5.0	#5af8c8	#ecc86f
54	Butyricicoccus	10	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
60	Butyricimonas	11	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
62	Butyrivibrio	14	Stool	Stool	#b2f396	0.0	2.0	#8000ff	#10c6e6
64	Campylobacter	35	Saliva	Saliva	#7effb5	5.0	0.0	#ecc86f	#8000ff
65	Brochothrix	3	Saliva	Saliva	#7effb5	5.0	7.0	#ecc86f	#ff0000
66	Catenibacterium	7	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
68	Catonella	23	Subgingival_plaque	Supragingival_plaque	#e4cf74	5.0	0.0	#ecc86f	#8000ff
76	Centipeda	14	Subgingival_plaque	Supragingival_plaque	#e4cf74	5.0	0.0	#ecc86f	#8000ff
80	Chlamydia	7	Attached	Buccal_mucosa	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
82	Chryseobacterium	12	Attached	Buccal_mucosa	#4e4dfc	7.0	4.0	#ff0000	#a2f9a0
87	Bergeyella	3	Supragingival_plaque	Attached	#ff964f	7.0	4.0	#ff0000	#a2f9a0
88	Citrobacter	1	Throat	Throat	#ff5029	3.0	5.0	#5af8c8	#ecc86f
90	Clostridium	28	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
93	Catabacter	1	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
94	Comamonas	3	Mid_vagina	Buccal_mucosa	#18cde4	0.0	6.0	#8000ff	#ff703a
95	Alicycliphilus	1	Buccal_mucosa	Mid_vagina	#1996f3	0.0	6.0	#8000ff	#ff703a
97	Bosea	1	Posterior_fornix	Mid_vagina	#4df3ce	0.0	6.0	#8000ff	#ff703a
98	Coprobacillus	10	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
104	Coprobacter	5	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
110	Coprococcus	18	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
124	Corynebacterium	35	Supragingival_plaque	Supragingival_plaque	#ff964f	5.0	0.0	#ecc86f	#8000ff
125	Capnocytophaga	31	Supragingival_plaque	Supragingival_plaque	#ff964f	5.0	0.0	#ecc86f	#8000ff
126	Cupriavidus	5	Mid_vagina	Posterior_fornix	#18cde4	0.0	6.0	#8000ff	#ff703a
128	Dechloromonas	2	Buccal_mucosa	Mid_vagina	#1996f3	0.0	3.0	#8000ff	#5af8c8
130	Dehalobacter	2	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
140	Delftia	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
142	Dialister	41	Stool	Stool	#b2f396	5.0	0.0	#ecc86f	#8000ff
144	Dielma	5	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
148	Dorea	17	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
153	Collinsella	11	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
156	Echinicola	2	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
168	Eggerthella	3	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
172	Eikenella	18	Subgingival_plaque	Subgingival_plaque	#e4cf74	5.0	0.0	#ecc86f	#8000ff
173	Cardiobacterium	20	Subgingival_plaque	Subgingival_plaque	#e4cf74	5.0	0.0	#ecc86f	#8000ff
174	Elizabethkingia	1	Buccal_mucosa	Mid_vagina	#1996f3	0.0	6.0	#8000ff	#ff703a
176	Enhydrobacter	2	Posterior_fornix	Mid_vagina	#4df3ce	0.0	6.0	#8000ff	#ff703a
178	Enterococcus	14	Attached	Stool	#4e4dfc	6.0	2.0	#ff703a	#10c6e6
182	Erysipelatoclostridium	10	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
196	Eubacterium	40	Subgingival_plaque	Stool	#e4cf74	6.0	1.0	#ff703a	#386df9
208	Exiguobacterium	2	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
209	Arcanobacterium	2	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
210	Faecalibacterium	27	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
222	Faecalicoccus	1	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
228	Faecalitalea	4	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
236	Fenollaria	1	Posterior_fornix	Mid_vagina	#4df3ce	0.0	6.0	#8000ff	#ff703a
240	Filifactor	10	Throat	Saliva	#ff5029	5.0	7.0	#ecc86f	#ff0000
244	Flavobacterium	1	Throat	Throat	#ff5029	3.0	5.0	#5af8c8	#ecc86f
246	Flavonifractor	15	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
264	Fusobacterium	27	Tongue_dorsum	Buccal_mucosa	#ff0000	5.0	0.0	#ecc86f	#8000ff
271	Cellulomonas	6	Stool	Tongue_dorsum	#b2f396	5.0	0.0	#ecc86f	#8000ff
272	Gallibacterium	4	Attached	Attached	#4e4dfc	7.0	4.0	#ff0000	#a2f9a0
273	Alloprevotella	30	Attached	Attached	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
274	Gardnerella	13	Posterior_fornix	Saliva	#4df3ce	5.0	7.0	#ecc86f	#ff0000
275	Atopobium	23	Saliva	Posterior_fornix	#7effb5	5.0	0.0	#ecc86f	#8000ff
276	Gordonibacter	6	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
294	Granulicatella	28	Attached	Attached	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
297	Alysiella	1	Attached	Attached	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
298	Haemophilus	38	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
305	Cryptobacterium	4	Supragingival_plaque	Buccal_mucosa	#ff964f	7.0	4.0	#ff0000	#a2f9a0
313	Gemella	35	Buccal_mucosa	Buccal_mucosa	#1996f3	5.0	0.0	#ecc86f	#8000ff
