	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
32	Neisseria	Alloprevotella	0.000537489922064	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc
33	Alloprevotella	Neisseria	0.000537489922064	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc
34	Peptoniphilus	Corynebacterium	0.000268744961032	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
35	Corynebacterium	Peptoniphilus	0.000268744961032	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
36	Prevotella	Actinomyces	0.000537489922064	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
37	Actinomyces	Prevotella	0.000537489922064	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
38	Prevotella	Alistipes	0.000268744961032	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
39	Alistipes	Prevotella	0.000268744961032	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
40	Prevotella	Alloprevotella	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
41	Alloprevotella	Prevotella	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
42	Prevotella	Bacteroides	0.000268744961032	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
43	Bacteroides	Prevotella	0.000268744961032	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
44	Prevotella	Butyrivibrio	0.000268744961032	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
45	Butyrivibrio	Prevotella	0.000268744961032	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
46	Prevotella	Capnocytophaga	0.000268744961032	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
47	Capnocytophaga	Prevotella	0.000268744961032	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
48	Prevotella	Corynebacterium	0.000537489922064	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
49	Corynebacterium	Prevotella	0.000537489922064	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
50	Prevotella	Faecalibacterium	0.000268744961032	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
51	Faecalibacterium	Prevotella	0.000268744961032	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
52	Prevotella	Haemophilus	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
53	Haemophilus	Prevotella	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
54	Prevotella	Neisseria	0.000268744961032	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc
55	Neisseria	Prevotella	0.000268744961032	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc
56	Prevotella	Oribacterium	0.000268744961032	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000
57	Oribacterium	Prevotella	0.000268744961032	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000
58	Propionibacterium	Corynebacterium	0.000268744961032	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
59	Corynebacterium	Propionibacterium	0.000268744961032	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
60	Roseburia	Bacteroides	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
61	Bacteroides	Roseburia	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
62	Roseburia	Clostridium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
63	Clostridium	Roseburia	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
64	Roseburia	Faecalibacterium	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
65	Faecalibacterium	Roseburia	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
66	Rothia	Actinomyces	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
67	Actinomyces	Rothia	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
68	Rothia	Capnocytophaga	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
69	Capnocytophaga	Rothia	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
70	Rothia	Corynebacterium	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
71	Corynebacterium	Rothia	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
72	Rothia	Gemella	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
73	Gemella	Rothia	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
74	Rothia	Haemophilus	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
75	Haemophilus	Rothia	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
76	Rothia	Oribacterium	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
77	Oribacterium	Rothia	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
