	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
19	Bacillales	Burkholderiales	5.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
20	Burkholderiales	Bacteroidales	4.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
21	Bacteroidales	Burkholderiales	4.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
22	Campylobacterales	Actinomycetales	9.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
23	Actinomycetales	Campylobacterales	9.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
24	Campylobacterales	Alteromonadales	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
25	Alteromonadales	Campylobacterales	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
26	Campylobacterales	Bacillales	5.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
27	Bacillales	Campylobacterales	5.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
28	Campylobacterales	Bacteroidales	10.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
29	Bacteroidales	Campylobacterales	10.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
30	Campylobacterales	Burkholderiales	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
31	Burkholderiales	Campylobacterales	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
32	Cardiobacteriales	Actinomycetales	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
33	Actinomycetales	Cardiobacteriales	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
34	Cardiobacteriales	Bacillales	2.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
35	Bacillales	Cardiobacteriales	2.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
36	Cardiobacteriales	Bacteroidales	2.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
37	Bacteroidales	Cardiobacteriales	2.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
38	Cardiobacteriales	Burkholderiales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
39	Burkholderiales	Cardiobacteriales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
40	Cardiobacteriales	Campylobacterales	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
41	Campylobacterales	Cardiobacteriales	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
42	Cellvibrionales	Burkholderiales	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
