source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Alcaligenaceae	49	Alcaligenaceae	Geodermatophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Geodermatophilaceae	50	Geodermatophilaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bacillaceae	51	Bacillaceae	Geodermatophilaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Geodermatophilaceae	52	Geodermatophilaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bradyrhizobiaceae	53	Bradyrhizobiaceae	Geodermatophilaceae	1.0	5	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Geodermatophilaceae	54	Geodermatophilaceae	Chromatiaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Chromatiaceae	55	Chromatiaceae	Geodermatophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Helicobacteraceae	56	Helicobacteraceae	Aurantimonadaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Aurantimonadaceae	57	Aurantimonadaceae	Helicobacteraceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Helicobacteraceae	58	Helicobacteraceae	Chromobacteriaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Chromobacteriaceae	59	Chromobacteriaceae	Helicobacteraceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Hydrogenophilaceae	60	Hydrogenophilaceae	Alcaligenaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Alcaligenaceae	61	Alcaligenaceae	Hydrogenophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Hydrogenophilaceae	62	Hydrogenophilaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bacillaceae	63	Bacillaceae	Hydrogenophilaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Hydrogenophilaceae	64	Hydrogenophilaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bradyrhizobiaceae	65	Bradyrhizobiaceae	Hydrogenophilaceae	1.0	5	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Hydrogenophilaceae	66	Hydrogenophilaceae	Chromatiaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Chromatiaceae	67	Chromatiaceae	Hydrogenophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Hydrogenophilaceae	68	Hydrogenophilaceae	Geodermatophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Geodermatophilaceae	69	Geodermatophilaceae	Hydrogenophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	70	Intrasporangiaceae	Alcaligenaceae	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Alcaligenaceae	71	Alcaligenaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	72	Intrasporangiaceae	Bacillaceae	1.0	2	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bacillaceae	73	Bacillaceae	Intrasporangiaceae	1.0	22	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	74	Intrasporangiaceae	Bradyrhizobiaceae	1.0	2	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bradyrhizobiaceae	75	Bradyrhizobiaceae	Intrasporangiaceae	1.0	5	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	76	Intrasporangiaceae	Chromatiaceae	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Chromatiaceae	77	Chromatiaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	78	Intrasporangiaceae	Geodermatophilaceae	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Geodermatophilaceae	79	Geodermatophilaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	80	Intrasporangiaceae	Hydrogenophilaceae	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Hydrogenophilaceae	81	Hydrogenophilaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Lachnospiraceae	82	Lachnospiraceae	Atopobiaceae	5.0	53	24	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Atopobiaceae	83	Atopobiaceae	Lachnospiraceae	5.0	24	53	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	61	16.0	6.0	#ff0000	#d4dd80
Lachnospiraceae	84	Lachnospiraceae	Dermacoccaceae	6.0	53	12	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Dermacoccaceae	85	Dermacoccaceae	Lachnospiraceae	6.0	12	53	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Lachnospiraceae	86	Lachnospiraceae	Erysipelotrichaceae	6.0	53	41	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Erysipelotrichaceae	87	Erysipelotrichaceae	Lachnospiraceae	6.0	41	53	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Leptotrichiaceae	88	Leptotrichiaceae	Burkholderiaceae	5.0	31	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Burkholderiaceae	89	Burkholderiaceae	Leptotrichiaceae	5.0	37	31	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	2.0	1.0	#425ffa	#4856fb
Leptotrichiaceae	90	Leptotrichiaceae	Campylobacteraceae	10.0	31	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Campylobacteraceae	91	Campylobacteraceae	Leptotrichiaceae	10.0	37	31	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Leptotrichiaceae	92	Leptotrichiaceae	Clostridiales Family XIII. Incertae Sedis	5.0	31	27	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	61	11.0	1.0	#ded579	#4856fb
Clostridiales Family XIII. Incertae Sedis	93	Clostridiales Family XIII. Incertae Sedis	Leptotrichiaceae	5.0	27	31	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Listeriaceae	94	Listeriaceae	Campylobacteraceae	2.0	4	37	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61	10.0	1.0	#beec8e	#4856fb
Campylobacteraceae	95	Campylobacteraceae	Listeriaceae	2.0	37	4	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61	11.0	1.0	#ded579	#4856fb
Listeriaceae	96	Listeriaceae	Leuconostocaceae	2.0	4	3	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61	10.0	1.0	#beec8e	#4856fb
Leuconostocaceae	97	Leuconostocaceae	Listeriaceae	2.0	3	4	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61	10.0	1.0	#beec8e	#4856fb
Microbacteriaceae	98	Microbacteriaceae	Aurantimonadaceae	1.0	4	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Aurantimonadaceae	99	Aurantimonadaceae	Microbacteriaceae	1.0	1	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Microbacteriaceae	100	Microbacteriaceae	Chromobacteriaceae	1.0	4	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Chromobacteriaceae	101	Chromobacteriaceae	Microbacteriaceae	1.0	1	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
