source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Actinomycetales	17	Actinomycetales	Burkholderiales	2.0	44	54	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#2c7ef7	#01b3ec
Burkholderiales	18	Burkholderiales	Bacillales	5.0	54	53	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	6.0	1.0	#ff0000	#01b3ec
Bacillales	19	Bacillales	Burkholderiales	5.0	53	54	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Burkholderiales	20	Burkholderiales	Bacteroidales	4.0	54	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	6.0	1.0	#ff0000	#01b3ec
Bacteroidales	21	Bacteroidales	Burkholderiales	4.0	60	54	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	22	Campylobacterales	Actinomycetales	9.0	37	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Actinomycetales	23	Actinomycetales	Campylobacterales	9.0	44	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Campylobacterales	24	Campylobacterales	Alteromonadales	1.0	37	8	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Alteromonadales	25	Alteromonadales	Campylobacterales	1.0	8	37	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	5.0	2.0	#ff8143	#7effb5
Campylobacterales	26	Campylobacterales	Bacillales	5.0	37	53	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacillales	27	Bacillales	Campylobacterales	5.0	53	37	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	28	Campylobacterales	Bacteroidales	10.0	37	60	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacteroidales	29	Bacteroidales	Campylobacterales	10.0	60	37	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	30	Campylobacterales	Burkholderiales	4.0	37	54	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Burkholderiales	31	Burkholderiales	Campylobacterales	4.0	54	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	6.0	1.0	#ff0000	#01b3ec
Cardiobacteriales	32	Cardiobacteriales	Actinomycetales	2.0	20	44	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Actinomycetales	33	Actinomycetales	Cardiobacteriales	2.0	44	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Cardiobacteriales	34	Cardiobacteriales	Bacillales	2.0	20	53	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacillales	35	Bacillales	Cardiobacteriales	2.0	53	20	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cardiobacteriales	36	Cardiobacteriales	Bacteroidales	2.0	20	60	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacteroidales	37	Bacteroidales	Cardiobacteriales	2.0	60	20	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cardiobacteriales	38	Cardiobacteriales	Burkholderiales	6.0	20	54	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Burkholderiales	39	Burkholderiales	Cardiobacteriales	6.0	54	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	6.0	1.0	#ff0000	#01b3ec
Cardiobacteriales	40	Cardiobacteriales	Campylobacterales	3.0	20	37	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Campylobacterales	41	Campylobacterales	Cardiobacteriales	3.0	37	20	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Cellvibrionales	42	Cellvibrionales	Burkholderiales	1.0	1	54	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	6.0	1.0	#ff0000	#01b3ec
Burkholderiales	43	Burkholderiales	Cellvibrionales	1.0	54	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	6.0	1.0	#ff0000	#01b3ec
Chlamydiales	44	Chlamydiales	Actinomycetales	1.0	8	44	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Actinomycetales	45	Actinomycetales	Chlamydiales	1.0	44	8	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Chlamydiales	46	Chlamydiales	Bacillales	3.0	8	53	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	1.0	0.0	#2c7ef7	#8000ff
Bacillales	47	Bacillales	Chlamydiales	3.0	53	8	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	1.0	0.0	#2c7ef7	#8000ff
Chlamydiales	48	Chlamydiales	Bacteroidales	2.0	8	60	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	49	Bacteroidales	Chlamydiales	2.0	60	8	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Chlamydiales	50	Chlamydiales	Bifidobacteriales	1.0	8	33	Attached	Posterior_fornix	Intertype	#4e4dfc	#4df3ce	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bifidobacteriales	51	Bifidobacteriales	Chlamydiales	1.0	33	8	Posterior_fornix	Attached	Intertype	#4df3ce	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Chlamydiales	52	Chlamydiales	Campylobacterales	1.0	8	37	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	53	Campylobacterales	Chlamydiales	1.0	37	8	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Clostridiales	54	Clostridiales	Actinomycetales	4.0	58	44	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Actinomycetales	55	Actinomycetales	Clostridiales	4.0	44	58	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Clostridiales	56	Clostridiales	Bacillales	5.0	58	53	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bacillales	57	Bacillales	Clostridiales	5.0	53	58	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Clostridiales	58	Clostridiales	Bacteroidales	5.0	58	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	59	Bacteroidales	Clostridiales	5.0	60	58	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Clostridiales	60	Clostridiales	Burkholderiales	3.0	58	54	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Burkholderiales	61	Burkholderiales	Clostridiales	3.0	54	58	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	6.0	1.0	#ff0000	#01b3ec
Clostridiales	62	Clostridiales	Campylobacterales	1.0	58	37	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	63	Campylobacterales	Clostridiales	1.0	37	58	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Coriobacteriales	64	Coriobacteriales	Actinomycetales	1.0	40	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Actinomycetales	65	Actinomycetales	Coriobacteriales	1.0	44	40	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Coriobacteriales	66	Coriobacteriales	Bacillales	3.0	40	53	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bacillales	67	Bacillales	Coriobacteriales	3.0	53	40	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Coriobacteriales	68	Coriobacteriales	Bacteroidales	2.0	40	60	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	69	Bacteroidales	Coriobacteriales	2.0	60	40	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Coriobacteriales	70	Coriobacteriales	Bifidobacteriales	2.0	40	33	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bifidobacteriales	71	Bifidobacteriales	Coriobacteriales	2.0	33	40	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Coriobacteriales	72	Coriobacteriales	Campylobacterales	1.0	40	37	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	73	Campylobacterales	Coriobacteriales	1.0	37	40	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	1.0	1.0	#2c7ef7	#01b3ec
Coriobacteriales	74	Coriobacteriales	Chlamydiales	1.0	40	8	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Chlamydiales	75	Chlamydiales	Coriobacteriales	1.0	8	40	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Coriobacteriales	76	Coriobacteriales	Clostridiales	5.0	40	58	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Clostridiales	77	Clostridiales	Coriobacteriales	5.0	58	40	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Corynebacteriales	78	Corynebacteriales	Actinomycetales	6.0	43	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#2c7ef7	#01b3ec
Actinomycetales	79	Actinomycetales	Corynebacteriales	6.0	44	43	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#2c7ef7	#01b3ec
Corynebacteriales	80	Corynebacteriales	Bacillales	4.0	43	53	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacillales	81	Bacillales	Corynebacteriales	4.0	53	43	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Corynebacteriales	82	Corynebacteriales	Bacteroidales	4.0	43	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacteroidales	83	Bacteroidales	Corynebacteriales	4.0	60	43	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Corynebacteriales	84	Corynebacteriales	Burkholderiales	4.0	43	54	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#2c7ef7	#01b3ec
Burkholderiales	85	Burkholderiales	Corynebacteriales	4.0	54	43	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	6.0	1.0	#ff0000	#01b3ec
Corynebacteriales	86	Corynebacteriales	Campylobacterales	6.0	43	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Campylobacterales	87	Campylobacterales	Corynebacteriales	6.0	37	43	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Corynebacteriales	88	Corynebacteriales	Cardiobacteriales	4.0	43	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Cardiobacteriales	89	Cardiobacteriales	Corynebacteriales	4.0	20	43	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Corynebacteriales	90	Corynebacteriales	Clostridiales	1.0	43	58	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Clostridiales	91	Clostridiales	Corynebacteriales	1.0	58	43	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cytophagales	92	Cytophagales	Bacteroidales	3.0	9	60	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	2.0	0.0	#2adddd	#8000ff
Bacteroidales	93	Bacteroidales	Cytophagales	3.0	60	9	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cytophagales	94	Cytophagales	Campylobacterales	2.0	9	37	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	2.0	0.0	#2adddd	#8000ff
Campylobacterales	95	Campylobacterales	Cytophagales	2.0	37	9	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Cytophagales	96	Cytophagales	Chromatiales	1.0	9	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	0.0	#2adddd	#8000ff
Chromatiales	97	Chromatiales	Cytophagales	1.0	1	9	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	3.0	#2adddd	#feb562
Cytophagales	98	Cytophagales	Clostridiales	3.0	9	58	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	2.0	0.0	#2adddd	#8000ff
Clostridiales	99	Clostridiales	Cytophagales	3.0	58	9	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cytophagales	100	Cytophagales	Coriobacteriales	1.0	9	40	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	2.0	0.0	#2adddd	#8000ff
Coriobacteriales	101	Coriobacteriales	Cytophagales	1.0	40	9	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cytophagales	102	Cytophagales	Corynebacteriales	2.0	9	43	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	2.0	0.0	#2adddd	#8000ff
Corynebacteriales	103	Corynebacteriales	Cytophagales	2.0	43	9	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Desulfovibrionales	104	Desulfovibrionales	Acidaminococcales	1.0	13	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Acidaminococcales	105	Acidaminococcales	Desulfovibrionales	1.0	7	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Desulfovibrionales	106	Desulfovibrionales	Bacteroidales	3.0	13	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	107	Bacteroidales	Desulfovibrionales	3.0	60	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Desulfovibrionales	108	Desulfovibrionales	Chlamydiales	1.0	13	8	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Chlamydiales	109	Chlamydiales	Desulfovibrionales	1.0	8	13	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Desulfovibrionales	110	Desulfovibrionales	Clostridiales	2.0	13	58	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Clostridiales	111	Clostridiales	Desulfovibrionales	2.0	58	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Desulfovibrionales	112	Desulfovibrionales	Cytophagales	1.0	13	9	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cytophagales	113	Cytophagales	Desulfovibrionales	1.0	9	13	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	2.0	0.0	#2adddd	#8000ff
Eggerthellales	114	Eggerthellales	Acidaminococcales	1.0	19	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Acidaminococcales	115	Acidaminococcales	Eggerthellales	1.0	7	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Eggerthellales	116	Eggerthellales	Actinomycetales	3.0	19	44	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Actinomycetales	117	Actinomycetales	Eggerthellales	3.0	44	19	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Eggerthellales	118	Eggerthellales	Bacillales	3.0	19	53	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bacillales	119	Bacillales	Eggerthellales	3.0	53	19	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Eggerthellales	120	Eggerthellales	Bacteroidales	7.0	19	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	121	Bacteroidales	Eggerthellales	7.0	60	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Eggerthellales	122	Eggerthellales	Burkholderiales	3.0	19	54	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Burkholderiales	123	Burkholderiales	Eggerthellales	3.0	54	19	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	6.0	1.0	#ff0000	#01b3ec
Eggerthellales	124	Eggerthellales	Campylobacterales	2.0	19	37	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Campylobacterales	125	Campylobacterales	Eggerthellales	2.0	37	19	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Eggerthellales	126	Eggerthellales	Cardiobacteriales	1.0	19	20	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cardiobacteriales	127	Cardiobacteriales	Eggerthellales	1.0	20	19	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Eggerthellales	128	Eggerthellales	Clostridiales	8.0	19	58	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Clostridiales	129	Clostridiales	Eggerthellales	8.0	58	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Eggerthellales	130	Eggerthellales	Coriobacteriales	1.0	19	40	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Coriobacteriales	131	Coriobacteriales	Eggerthellales	1.0	40	19	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Eggerthellales	132	Eggerthellales	Corynebacteriales	1.0	19	43	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Corynebacteriales	133	Corynebacteriales	Eggerthellales	1.0	43	19	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Eggerthellales	134	Eggerthellales	Cytophagales	3.0	19	9	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Cytophagales	135	Cytophagales	Eggerthellales	3.0	9	19	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	2.0	0.0	#2adddd	#8000ff
Eggerthellales	136	Eggerthellales	Desulfovibrionales	2.0	19	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Desulfovibrionales	137	Desulfovibrionales	Eggerthellales	2.0	13	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Enterobacteriales	138	Enterobacteriales	Bacillales	2.0	27	53	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc	1.0	3.0	#2c7ef7	#feb562
Bacillales	139	Bacillales	Enterobacteriales	2.0	53	27	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Enterobacteriales	140	Enterobacteriales	Bacteroidales	2.0	27	60	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	1.0	3.0	#2c7ef7	#feb562
Bacteroidales	141	Bacteroidales	Enterobacteriales	2.0	60	27	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Enterobacteriales	142	Enterobacteriales	Campylobacterales	1.0	27	37	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	1.0	3.0	#2c7ef7	#feb562
Campylobacterales	143	Campylobacterales	Enterobacteriales	1.0	37	27	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Enterobacteriales	144	Enterobacteriales	Clostridiales	1.0	27	58	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	1.0	3.0	#2c7ef7	#feb562
Clostridiales	145	Clostridiales	Enterobacteriales	1.0	58	27	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Enterobacteriales	146	Enterobacteriales	Corynebacteriales	1.0	27	43	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	3.0	#2c7ef7	#feb562
Corynebacteriales	147	Corynebacteriales	Enterobacteriales	1.0	43	27	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Erysipelotrichales	148	Erysipelotrichales	Acidaminococcales	1.0	41	7	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
