TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Dysgonomonas capnocytophagoides	Stool	#e8cb72	1	1.0	3.0	#2c7ef7	#2adddd
Delftia lacustris	Anterior_nares	#8000ff	15	5.0	0.0	#ff8143	#8000ff
Bacillaceae bacterium MTCC 8252	Anterior_nares	#8000ff	1	6.0	1.0	#ff0000	#4856fb
Bacillus nealsonii	Anterior_nares	#8000ff	1	6.0	1.0	#ff0000	#4856fb
Acinetobacter sp. CIP 51.11	Anterior_nares	#8000ff	1	5.0	2.0	#ff8143	#10a2f0
Acidovorax caeni	Anterior_nares	#8000ff	29	5.0	2.0	#ff8143	#10a2f0
Fischerella sp. PCC 9339	Anterior_nares	#8000ff	1	1.0	1.0	#2c7ef7	#4856fb
Chryseobacterium soli	Anterior_nares	#8000ff	1	5.0	2.0	#ff8143	#10a2f0
Aeromonas caviae	L_Retroauricular_crease	#34e4d9	4	5.0	3.0	#ff8143	#2adddd
Idiomarina abyssalis	Anterior_nares	#8000ff	1	6.0	1.0	#ff0000	#4856fb
alpha proteobacterium L41A	R_Retroauricular_crease	#acf59a	2	6.0	1.0	#ff0000	#4856fb
Bacillus ginsengihumi	L_Retroauricular_crease	#34e4d9	1	5.0	3.0	#ff8143	#2adddd
Arthrobacter sp. TB 23	Anterior_nares	#8000ff	1	1.0	1.0	#2c7ef7	#4856fb
Erysipelotrichaceae bacterium 21_3	Stool	#e8cb72	1	1.0	1.0	#2c7ef7	#4856fb
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	1	6.0	1.0	#ff0000	#4856fb
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	1	6.0	1.0	#ff0000	#4856fb
Anaerotruncus sp. G3(2012)	Stool	#e8cb72	1	3.0	1.0	#7effb5	#4856fb
Brevibacillus borstelensis	Anterior_nares	#8000ff	1	6.0	1.0	#ff0000	#4856fb
Clostridium sp. ATCC 29733	Stool	#e8cb72	1	6.0	1.0	#ff0000	#4856fb
Lachnospiraceae bacterium A4	Stool	#e8cb72	1	3.0	1.0	#7effb5	#4856fb
Massilia alkalitolerans	R_Retroauricular_crease	#acf59a	1	3.0	1.0	#7effb5	#4856fb
Methylobacterium radiotolerans	Anterior_nares	#8000ff	1	3.0	1.0	#7effb5	#4856fb
Methyloversatilis thermotolerans	Anterior_nares	#8000ff	1	6.0	1.0	#ff0000	#4856fb
Geodermatophilus sp. Leaf369	Anterior_nares	#8000ff	1	5.0	1.0	#ff8143	#4856fb
Polaromonas sp. CF318	Anterior_nares	#8000ff	1	3.0	1.0	#7effb5	#4856fb
Acinetobacter schindleri	R_Retroauricular_crease	#acf59a	1	1.0	1.0	#2c7ef7	#4856fb
