TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Parvimonas micra	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Parvimonas sp. oral taxon 110	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Pasteurella dagmatis	R_Retroauricular_crease	#acf59a	2	5.0	3.0	#66fcc2	#18cde4
Peptoniphilus lacrimalis	Hard_palate	#08acee	6	11.0	0.0	#ff0000	#8000ff
Peptostreptococcus stomatis	Throat	#ff5c2f	2	7.0	2.0	#c4e88a	#1996f3
Phocaeicola abscessus	Attached	#622ffe	2	6.0	9.0	#96fca7	#ff5029
Porphyrobacter donghaensis	Saliva	#cbe486	2	10.0	1.0	#ff4a26	#4e4dfc
Porphyromonas catoniae	Subgingival_plaque	#ffac5c	8	8.0	0.0	#f2c26b	#8000ff
Porphyromonas crevioricanis	R_Retroauricular_crease	#acf59a	4	1.0	4.0	#5247fc	#4df3ce
Porphyromonas endodontalis	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	6	9.0	4.0	#ff8c49	#4df3ce
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	4	9.0	4.0	#ff8c49	#4df3ce
Porphyromonas macacae	Attached	#622ffe	2	4.0	4.0	#38e7d7	#4df3ce
Porphyromonas somerae	Palatine_Tonsils	#70febc	8	8.0	0.0	#f2c26b	#8000ff
Porphyromonas sp. COT-239 OH1446	R_Retroauricular_crease	#acf59a	2	4.0	4.0	#38e7d7	#4df3ce
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	8	8.0	0.0	#f2c26b	#8000ff
Porphyromonas sp. oral taxon 278	Saliva	#cbe486	6	8.0	0.0	#f2c26b	#8000ff
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	8	8.0	0.0	#f2c26b	#8000ff
Porphyromonas uenonis	Posterior_fornix	#8efeac	2	7.0	2.0	#c4e88a	#1996f3
Prevotella amnii	L_Retroauricular_crease	#34e4d9	3	4.0	4.0	#38e7d7	#4df3ce
Prevotella aurantiaca	Tongue_dorsum	#ff2f18	6	9.0	4.0	#ff8c49	#4df3ce
Prevotella baroniae	Palatine_Tonsils	#70febc	5	7.0	2.0	#c4e88a	#1996f3
Prevotella bivia	Saliva	#cbe486	4	8.0	0.0	#f2c26b	#8000ff
Prevotella brevis	Keratinized_gingiva	#17cbe4	2	6.0	9.0	#96fca7	#ff5029
Prevotella buccae	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Prevotella conceptionensis	Subgingival_plaque	#ffac5c	8	8.0	0.0	#f2c26b	#8000ff
Prevotella copri	Stool	#e8cb72	2	6.0	9.0	#96fca7	#ff5029
Prevotella denticola	Posterior_fornix	#8efeac	2	7.0	2.0	#c4e88a	#1996f3
Prevotella disiens	Palatine_Tonsils	#70febc	8	8.0	0.0	#f2c26b	#8000ff
Prevotella enoeca	Subgingival_plaque	#ffac5c	6	1.0	4.0	#5247fc	#4df3ce
Prevotella fusca	Palatine_Tonsils	#70febc	8	2.0	0.0	#2489f5	#8000ff
Prevotella histicola	Palatine_Tonsils	#70febc	8	2.0	0.0	#2489f5	#8000ff
Prevotella intermedia	Palatine_Tonsils	#70febc	7	1.0	4.0	#5247fc	#4df3ce
Prevotella loescheii	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Prevotella maculosa	Subgingival_plaque	#ffac5c	8	9.0	4.0	#ff8c49	#4df3ce
Prevotella marshii	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Prevotella melaninogenica	Palatine_Tonsils	#70febc	8	7.0	2.0	#c4e88a	#1996f3
Prevotella multiformis	Subgingival_plaque	#ffac5c	6	9.0	4.0	#ff8c49	#4df3ce
Prevotella nanceiensis	Hard_palate	#08acee	6	1.0	4.0	#5247fc	#4df3ce
Prevotella nigrescens	Subgingival_plaque	#ffac5c	6	7.0	2.0	#c4e88a	#1996f3
Prevotella oralis	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Prevotella oris	Subgingival_plaque	#ffac5c	7	7.0	2.0	#c4e88a	#1996f3
Prevotella oulorum	Subgingival_plaque	#ffac5c	8	8.0	0.0	#f2c26b	#8000ff
Prevotella pleuritidis	Subgingival_plaque	#ffac5c	6	8.0	0.0	#f2c26b	#8000ff
Prevotella salivae	Saliva	#cbe486	10	2.0	0.0	#2489f5	#8000ff
Prevotella scopos	Throat	#ff5c2f	6	8.0	0.0	#f2c26b	#8000ff
Prevotella sp. C561	Palatine_Tonsils	#70febc	10	7.0	2.0	#c4e88a	#1996f3
Prevotella sp. HJM029	Palatine_Tonsils	#70febc	2	6.0	8.0	#96fca7	#ff964f
Prevotella sp. ICM33	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Prevotella sp. oral taxon 299	Attached	#622ffe	6	1.0	4.0	#5247fc	#4df3ce
Prevotella sp. oral taxon 306	Throat	#ff5c2f	2	6.0	8.0	#96fca7	#ff964f
Prevotella sp. oral taxon 317	Subgingival_plaque	#ffac5c	4	8.0	0.0	#f2c26b	#8000ff
Prevotella sp. oral taxon 472	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Prevotella sp. oral taxon 473	Keratinized_gingiva	#17cbe4	10	9.0	4.0	#ff8c49	#4df3ce
Prevotella sp. P5-60	Attached	#622ffe	4	9.0	4.0	#ff8c49	#4df3ce
Prevotella sp. S7 MS 2	Keratinized_gingiva	#17cbe4	2	10.0	1.0	#ff4a26	#4e4dfc
Prevotella timonensis	Anterior_nares	#8000ff	6	9.0	4.0	#ff8c49	#4df3ce
Prevotella veroralis	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Propionibacterium propionicum	Subgingival_plaque	#ffac5c	4	0.0	4.0	#8000ff	#4df3ce
Pseudoramibacter alactolyticus	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Rothia aeria	Supragingival_plaque	#ff8646	4	0.0	4.0	#8000ff	#4df3ce
Rothia mucilaginosa	Hard_palate	#08acee	10	2.0	0.0	#2489f5	#8000ff
Sanguibacter keddieii	Throat	#ff5c2f	8	8.0	0.0	#f2c26b	#8000ff
Scardovia wiggsiae	Buccal_mucosa	#445cfb	2	7.0	2.0	#c4e88a	#1996f3
Selenomonas artemidis	Supragingival_plaque	#ff8646	7	9.0	4.0	#ff8c49	#4df3ce
Selenomonas infelix	Attached	#622ffe	8	9.0	4.0	#ff8c49	#4df3ce
Selenomonas noxia	Supragingival_plaque	#ff8646	8	2.0	0.0	#2489f5	#8000ff
