	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
63	Anaeroglobus geminatus	Capnocytophaga sp. oral taxon 324	4.0	4	6	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	8
64	Capnocytophaga sp. oral taxon 326	Actinomyces johnsonii	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
65	Actinomyces johnsonii	Capnocytophaga sp. oral taxon 326	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
66	Capnocytophaga sp. oral taxon 326	Capnocytophaga ochracea	5.0	8	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
67	Capnocytophaga ochracea	Capnocytophaga sp. oral taxon 326	5.0	7	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
68	Capnocytophaga sp. oral taxon 329	Aggregatibacter actinomycetemcomitans	5.0	8	7	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8
69	Aggregatibacter actinomycetemcomitans	Capnocytophaga sp. oral taxon 329	5.0	7	8	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8
70	Capnocytophaga sp. oral taxon 329	Capnocytophaga sp. CM59	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
71	Capnocytophaga sp. CM59	Capnocytophaga sp. oral taxon 329	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
72	Capnocytophaga sp. oral taxon 335	Capnocytophaga sp. oral taxon 326	5.0	6	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
73	Capnocytophaga sp. oral taxon 326	Capnocytophaga sp. oral taxon 335	5.0	8	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
