TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Ruminococcus	Stool	#e8cb72	23	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Selenomonas	Supragingival_plaque	#ff8646	6	1.0	0.0	#622ffe	#8000ff	Mixed	#cccccc
Sinorhizobium	Stool	#e8cb72	1	0.0	15.0	#8000ff	#ff0000	Mixed	#cccccc
Sphingobacterium	L_Retroauricular_crease	#34e4d9	1	9.0	6.0	#8efeac	#4df3ce	Mixed	#cccccc
Sphingobium	Vaginal_introitus	#ff0000	17	10.0	1.0	#acf59a	#5e35fe	Mixed	#cccccc
Sphingomonas	Anterior_nares	#8000ff	8	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Sphingopyxis	Vaginal_introitus	#ff0000	13	17.0	10.0	#ff0000	#d4dd80	Mixed	#cccccc
Staphylococcus	L_Retroauricular_crease	#34e4d9	18	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Subdoligranulum	Stool	#e8cb72	2	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Sutterella	Stool	#e8cb72	16	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Tannerella	Subgingival_plaque	#ffac5c	3	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Tepidiphilus	Anterior_nares	#8000ff	2	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Tyzzerella	Stool	#e8cb72	5	6.0	3.0	#34e4d9	#1996f3	Mixed	#cccccc
Ureaplasma	Vaginal_introitus	#ff0000	35	4.0	11.0	#08acee	#f6be68	Mixed	#cccccc
Veillonella	Attached	#622ffe	36	15.0	14.0	#ff5c2f	#ff351b	Mixed	#cccccc
Xanthomonas	Anterior_nares	#8000ff	4	15.0	14.0	#ff5c2f	#ff351b	Mixed	#cccccc
Acidovorax	L_Retroauricular_crease	#34e4d9	7	6.0	2.0	#34e4d9	#3c68f9	Mixed	#cccccc
Alcaligenes	Anterior_nares	#8000ff	1	9.0	6.0	#8efeac	#4df3ce	Mixed	#cccccc
Alistipes	Stool	#e8cb72	43	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	82	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Arcanobacterium	L_Retroauricular_crease	#34e4d9	1	5.0	8.0	#17cbe4	#90feab	Mixed	#cccccc
Abiotrophia	Buccal_mucosa	#445cfb	4	1.0	0.0	#622ffe	#8000ff	Mixed	#cccccc
Actinobaculum	Subgingival_plaque	#ffac5c	6	1.0	0.0	#622ffe	#8000ff	Mixed	#cccccc
Akkermansia	Stool	#e8cb72	14	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Achromobacter	L_Retroauricular_crease	#34e4d9	4	10.0	1.0	#acf59a	#5e35fe	Mixed	#cccccc
Aerococcus	Posterior_fornix	#8efeac	34	3.0	4.0	#2686f5	#08bee9	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	2	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Bosea	R_Retroauricular_crease	#acf59a	2	17.0	10.0	#ff0000	#d4dd80	Mixed	#cccccc
Butyricicoccus	Stool	#e8cb72	1	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
