	source	target	weight	edge_sample	edcolor
809	Photobacterium	Rheinheimera	1.0	Anterior_nares	#8000ff
810	Rhodopseudomonas	Bosea	1.0	Posterior_fornix	#4df3ce
811	Bosea	Rhodopseudomonas	1.0	Posterior_fornix	#4df3ce
812	Rhodopseudomonas	Cupriavidus	1.0	Intertype	#cccccc
813	Cupriavidus	Rhodopseudomonas	1.0	Intertype	#cccccc
814	Rhodopseudomonas	Fenollaria	1.0	Posterior_fornix	#4df3ce
815	Fenollaria	Rhodopseudomonas	1.0	Posterior_fornix	#4df3ce
816	Rhodopseudomonas	Pseudomonas	1.0	Intertype	#cccccc
817	Pseudomonas	Rhodopseudomonas	1.0	Intertype	#cccccc
818	Riemerella	Actinobacillus	2.0	Buccal_mucosa	#1996f3
819	Actinobacillus	Riemerella	2.0	Buccal_mucosa	#1996f3
820	Riemerella	Basfia	2.0	Buccal_mucosa	#1996f3
821	Basfia	Riemerella	2.0	Buccal_mucosa	#1996f3
822	Riemerella	Chryseobacterium	5.0	Intertype	#cccccc
823	Chryseobacterium	Riemerella	5.0	Intertype	#cccccc
824	Riemerella	Dehalobacter	2.0	Buccal_mucosa	#1996f3
825	Dehalobacter	Riemerella	2.0	Buccal_mucosa	#1996f3
826	Riemerella	Echinicola	2.0	Buccal_mucosa	#1996f3
827	Echinicola	Riemerella	2.0	Buccal_mucosa	#1996f3
828	Riemerella	Mangrovimonas	2.0	Buccal_mucosa	#1996f3
829	Mangrovimonas	Riemerella	2.0	Buccal_mucosa	#1996f3
830	Riemerella	Proteiniphilum	1.0	Buccal_mucosa	#1996f3
831	Proteiniphilum	Riemerella	1.0	Buccal_mucosa	#1996f3
832	Rikenella	Alistipes	4.0	Stool	#b2f396
833	Alistipes	Rikenella	4.0	Stool	#b2f396
834	Rikenella	Bilophila	2.0	Stool	#b2f396
835	Bilophila	Rikenella	2.0	Stool	#b2f396
836	Rikenella	Butyricimonas	2.0	Stool	#b2f396
837	Butyricimonas	Rikenella	2.0	Stool	#b2f396
838	Rikenella	Catenibacterium	1.0	Stool	#b2f396
839	Catenibacterium	Rikenella	1.0	Stool	#b2f396
840	Rikenella	Cupriavidus	2.0	Intertype	#cccccc
841	Cupriavidus	Rikenella	2.0	Intertype	#cccccc
842	Rikenella	Kandleria	1.0	Stool	#b2f396
843	Kandleria	Rikenella	1.0	Stool	#b2f396
844	Risungbinella	Aureimonas	1.0	Anterior_nares	#8000ff
845	Aureimonas	Risungbinella	1.0	Anterior_nares	#8000ff
846	Risungbinella	Crocosphaera	1.0	Anterior_nares	#8000ff
847	Crocosphaera	Risungbinella	1.0	Anterior_nares	#8000ff
848	Risungbinella	Gulbenkiania	1.0	Anterior_nares	#8000ff
849	Gulbenkiania	Risungbinella	1.0	Anterior_nares	#8000ff
850	Risungbinella	Helicobacter	1.0	Anterior_nares	#8000ff
851	Helicobacter	Risungbinella	1.0	Anterior_nares	#8000ff
852	Risungbinella	Lactococcus	1.0	Anterior_nares	#8000ff
853	Lactococcus	Risungbinella	1.0	Anterior_nares	#8000ff
854	Risungbinella	Microbacterium	1.0	Anterior_nares	#8000ff
855	Microbacterium	Risungbinella	1.0	Anterior_nares	#8000ff
856	Roseburia	Acetivibrio	3.0	Stool	#b2f396
857	Acetivibrio	Roseburia	3.0	Stool	#b2f396
858	Roseburia	Bifidobacterium	2.0	Stool	#b2f396
859	Bifidobacterium	Roseburia	2.0	Stool	#b2f396
860	Roseburia	Blautia	3.0	Stool	#b2f396
861	Blautia	Roseburia	3.0	Stool	#b2f396
862	Roseburia	Butyricimonas	2.0	Stool	#b2f396
863	Butyricimonas	Roseburia	2.0	Stool	#b2f396
864	Roseburia	Coprococcus	3.0	Stool	#b2f396
865	Coprococcus	Roseburia	3.0	Stool	#b2f396
866	Roseburia	Dielma	2.0	Stool	#b2f396
867	Dielma	Roseburia	2.0	Stool	#b2f396
868	Roseburia	Faecalibacterium	3.0	Stool	#b2f396
869	Faecalibacterium	Roseburia	3.0	Stool	#b2f396
870	Roseburia	Odoribacter	3.0	Stool	#b2f396
871	Odoribacter	Roseburia	3.0	Stool	#b2f396
872	Roseburia	Oxalobacter	2.0	Stool	#b2f396
873	Oxalobacter	Roseburia	2.0	Stool	#b2f396
874	Roseburia	Parasutterella	2.0	Stool	#b2f396
875	Parasutterella	Roseburia	2.0	Stool	#b2f396
876	Rothia	Aggregatibacter	10.0	Intertype	#cccccc
877	Aggregatibacter	Rothia	10.0	Intertype	#cccccc
878	Rothia	Atopobium	4.0	Intertype	#cccccc
879	Atopobium	Rothia	4.0	Intertype	#cccccc
880	Rothia	Catonella	8.0	Intertype	#cccccc
881	Catonella	Rothia	8.0	Intertype	#cccccc
882	Rothia	Cellulomonas	4.0	Intertype	#cccccc
883	Cellulomonas	Rothia	4.0	Intertype	#cccccc
884	Rothia	Leptotrichia	8.0	Intertype	#cccccc
885	Leptotrichia	Rothia	8.0	Intertype	#cccccc
886	Rothia	Neisseria	5.0	Intertype	#cccccc
887	Neisseria	Rothia	5.0	Intertype	#cccccc
888	Rothia	Parvimonas	4.0	Intertype	#cccccc
889	Parvimonas	Rothia	4.0	Intertype	#cccccc
890	Ruminiclostridium	Catabacter	1.0	Stool	#b2f396
891	Catabacter	Ruminiclostridium	1.0	Stool	#b2f396
892	Ruminiclostridium	Faecalicoccus	1.0	Stool	#b2f396
893	Faecalicoccus	Ruminiclostridium	1.0	Stool	#b2f396
894	Ruminiclostridium	Roseburia	2.0	Stool	#b2f396
895	Roseburia	Ruminiclostridium	2.0	Stool	#b2f396
896	Ruminococcus	Anaerostipes	2.0	Stool	#b2f396
897	Anaerostipes	Ruminococcus	2.0	Stool	#b2f396
898	Runella	Granulicatella	1.0	Attached	#4e4dfc
899	Granulicatella	Runella	1.0	Attached	#4e4dfc
