	TAXA	sample_type	sample_color	frequency
688	Carnobacterium	Saliva	#7effb5	22
696	Finegoldia	Anterior_nares	#8000ff	14
706	Aggregatibacter	Mixed	#cccccc	31
714	Brochothrix	Saliva	#7effb5	4
784	Eggerthia	Subgingival_plaque	#e4cf74	2
785	Enterobacter	Anterior_nares	#8000ff	3
811	Intestinimonas	Stool	#b2f396	16
819	Megamonas	Stool	#b2f396	1
855	Coprobacillus	Stool	#b2f396	10
862	Mycobacterium	Mid_vagina	#18cde4	10
907	Oxalobacter	Stool	#b2f396	5
910	Kytococcus	Tongue_dorsum	#ff0000	12
911	Megasphaera	Saliva	#7effb5	21
943	Lachnoanaerobaculum	Tongue_dorsum	#ff0000	31
1001	Gemella	Buccal_mucosa	#1996f3	38
1020	Mycoplasma	Subgingival_plaque	#e4cf74	12
1037	Scardovia	Supragingival_plaque	#ff964f	4
1038	Catonella	Subgingival_plaque	#e4cf74	25
