	Gender	Name
SRR063494	Male	unk
SRR063495	Male	unk
SRR063499	Male	unk
SRR063501	Male	unk
SRR063515	Male	unk
SRR063516	Male	unk
SRR063710	Male	unk
SRR066380	Male	unk
SRR066381	Male	unk
SRR066420	Male	unk
SRR346657	Male	unk
SRR346664	Male	unk
SRR346683	Male	unk
SRR353631	Male	unk
SRR060418	NA	unk
SRR060419	NA	unk
SRR062106	NA	unk
SRR062107	NA	unk
SRR059832	NA	unk
SRR059833	NA	unk
SRR061364	Male	unk
SRR061381	Male	unk
SRR062379	Female	unk
SRR062432	Female	unk
SRR059924	Male	unk
SRR059925	Male	unk
SRR061923	Male	unk
SRR061924	Male	unk
SRR061947	Male	unk
SRR061948	Male	unk
SRR061989	Male	unk
SRR061990	Male	unk
SRR062017	Male	unk
SRR062018	Male	unk
SRR062019	Male	unk
SRR062020	Male	unk
SRR062021	Male	unk
SRR062022	Male	unk
SRR062060	Male	unk
SRR062061	Male	unk
SRR062108	Male	unk
SRR062345	Male	unk
SRR062397	Male	unk
SRR062408	Male	unk
SRR062412	Male	unk
SRR063917	Male	unk
SRR346688	Male	unk
SRR062276	Female	unk
SRR062301	Female	unk
SRR062353	Female	unk
SRR062357	Female	unk
SRR061549	Female	unk
SRR061551	Female	unk
SRR062387	Female	unk
SRR062414	Female	unk
SRR062471	Female	unk
SRR062472	Female	unk
SRR062411	Male	unk
SRR062463	Male	unk
SRR062468	Male	unk
SRR062469	Male	unk
SRR062517	Male	unk
SRR062518	Male	unk
SRR059320	Female	unk
SRR059321	Female	unk
SRR059348	Female	unk
SRR059349	Female	unk
SRR059392	Female	unk
SRR059393	Female	unk
SRR059430	Female	unk
SRR059431	Female	unk
SRR059434	Female	unk
SRR059435	Female	unk
SRR059452	Female	unk
SRR059453	Female	unk
SRR059473	Female	unk
SRR059486	Female	unk
SRR059487	Female	unk
SRR059494	Female	unk
SRR059496	Female	unk
SRR059497	Female	unk
SRR059516	Female	unk
SRR059517	Female	unk
SRR059816	Female	unk
SRR059817	Female	unk
SRR059824	Female	unk
SRR059825	Female	unk
SRR059962	Female	unk
SRR059963	Female	unk
SRR059986	Female	unk
SRR059987	Female	unk
SRR060034	Female	unk
SRR060038	Female	unk
SRR060043	Female	unk
SRR060079	Female	unk
SRR060080	Female	unk
SRR060086	Female	unk
SRR060139	Female	unk
SRR060140	Female	unk
SRR060153	Female	unk
SRR060392	Female	unk
SRR060393	Female	unk
SRR060394	Female	unk
SRR060395	Female	unk
SRR060412	Female	unk
SRR060413	Female	unk
SRR060426	Female	unk
SRR060427	Female	unk
SRR060444	Female	unk
SRR060445	Female	unk
SRR061155	Female	unk
SRR061175	Female	unk
SRR061179	Female	unk
SRR061180	Female	unk
SRR061186	Female	unk
SRR061189	Female	unk
SRR061196	Female	unk
SRR061201	Female	unk
SRR061206	Female	unk
SRR061207	Female	unk
SRR061246	Female	unk
SRR061248	Female	unk
SRR061260	Female	unk
SRR061263	Female	unk
SRR061264	Female	unk
SRR061272	Female	unk
SRR061273	Female	unk
SRR061274	Female	unk
SRR061275	Female	unk
SRR061285	Female	unk
SRR061296	Female	unk
SRR061297	Female	unk
SRR061299	Female	unk
SRR061304	Female	unk
SRR061308	Female	unk
SRR061345	Female	unk
SRR061356	Female	unk
SRR061426	Female	unk
SRR061427	Female	unk
SRR061489	Female	unk
SRR061491	Female	unk
