 LEVEL TAXA abundance
771 genus Leptolyngbya 0.0
772 genus Leptonema 0.0
773 genus Leptospira 0.0
774 genus Leptospirillum 0.0
775 genus Leptotrichia 0.0
776 genus Leucobacter 0.0
777 genus Leuconostoc 0.0
778 genus Levyella 0.0001
779 genus Lewinella 0.0
780 genus Limnohabitans 0.0
781 genus Listeria 0.0
782 genus Lunatimonas 0.0
783 genus Luteibacter 0.0
784 genus Lysinibacillus 0.0
785 genus Lysobacter 0.0
786 genus Mageeibacillus 0.0
787 genus Mahella 0.0
788 genus Mangrovimonas 0.0
789 genus Mannheimia 0.0
790 genus Maribacter 0.0
791 genus Marinifilum 0.0
792 genus Marinilabilia 0.0
793 genus Mariniradius 0.0
794 genus Marinobacter 0.0
795 genus Marinobacterium 0.0
796 genus Marinococcus 0.0
797 genus Marinomonas 0.0
798 genus Marinospirillum 0.0
799 genus Marivirga 0.0
800 genus Marvinbryantia 0.0
801 genus Massilia 0.0
802 genus Megamonas 0.0
803 genus Megasphaera 0.0
804 genus Meiothermus 0.0
805 genus Melissococcus 0.0
806 genus Mesoflavibacter 0.0
807 genus Mesorhizobium 0.0
808 genus Methylibium 0.0
809 genus Methylobacillus 0.0
810 genus Methylobacterium 0.0001
811 genus Methylococcus 0.0
812 genus Methylomonas 0.0
813 genus Methylophaga 0.0
814 genus Methylosarcina 0.0
815 genus Methylotenera 0.0
816 genus Methyloversatilis 0.0
817 genus Microbacterium 0.0
818 genus Microbulbifer 0.0
819 genus Micrococcus 0.0002
820 genus Microcystis 0.0
821 genus Microlunatus 0.0
822 genus Micromonospora 0.0
823 genus Microvirga 0.0
824 genus Microvirgula 0.0
825 genus Mitsuokella 0.0
826 genus Mobilicoccus 0.0
827 genus Mobiluncus 0.0
828 genus Modestobacter 0.0
829 genus Moellerella 0.0
830 genus Mogibacterium 0.0
831 genus Moorella 0.0
832 genus Moraxella 0.0
833 genus Morganella 0.0
834 genus Moritella 0.0
835 genus Morococcus 0.0
836 genus Mucilaginibacter 0.0
837 genus Mucinivorans 0.0
838 genus Mucispirillum 0.0
839 genus Muricauda 0.0
840 genus Mycobacterium 0.0038
841 genus Mycoplasma 0.0
842 genus Myroides 0.0
843 genus Myxosarcina 0.0
844 genus Nafulsella 0.0
845 genus Nakamurella 0.0
846 genus Natranaerobius 0.0
847 genus Nautilia 0.0
848 genus Necropsobacter 0.0
849 genus Neisseria 0.0
850 genus Nesterenkonia 0.0
851 genus Niabella 0.0
852 genus Niastella 0.0
853 genus Nitratireductor 0.0
854 genus Nitratiruptor 0.0
855 genus Nitrincola 0.0
856 genus Nitrolancea 0.0
857 genus Nitrosomonas 0.0
858 genus Nitrospina 0.0
859 genus Nitrospira 0.0
860 genus Nocardia 0.0003
861 genus Nocardioides 0.0
862 genus Nocardiopsis 0.0
863 genus Nonlabens 0.0
864 genus Nonomuraea 0.0
865 genus Nosocomiicoccus 0.0
866 genus Novosphingobium 0.0
867 genus Oceanobacillus 0.0
868 genus Oceanospirillum 0.0
869 genus Odoribacter 0.0
870 genus Oenococcus 0.0
871 genus Oligella 0.0
872 genus Olivibacter 0.0
873 genus Olsenella 0.0
874 genus Opitutus 0.0
875 genus Orenia 0.0
876 genus Oribacterium 0.0
877 genus Orientia 0.0
878 genus Ornithinibacillus 0.0
879 genus Ornithobacterium 0.0
880 genus Oscillibacter 0.0
881 genus Ottowia 0.0
882 genus Owenweeksia 0.0
883 genus Oxalobacter 0.0
884 genus Oxobacter 0.0
885 genus Paenibacillus 0.0001
886 genus Paenisporosarcina 0.0
887 genus Paludibacter 0.0
888 genus Paludibacterium 0.0
889 genus Pandoraea 0.0
890 genus Pantoea 0.0
891 genus Parabacteroides 0.0001
892 genus Paraburkholderia 0.0
893 genus Parachlamydia 0.0
894 genus Paracoccus 0.0002
895 genus Paraglaciecola 0.0
896 genus Paraprevotella 0.0
897 genus Parascardovia 0.0
898 genus Parasutterella 0.0
899 genus Parvimonas 0.0
900 genus Pasteurella 0.0
901 genus Paucisalibacillus 0.0
902 genus Pectobacterium 0.0
903 genus Pediococcus 0.0
904 genus Pedobacter 0.0
905 genus Pedosphaera 0.0
906 genus Pelistega 0.0
907 genus Pelobacter 0.0
908 genus Pelodictyon 0.0
909 genus Pelosinus 0.0
910 genus Pelotomaculum 0.0
911 genus Peptoclostridium 0.0
912 genus Peptoniphilus 0.0024
913 genus Peptostreptococcus 0.0
914 genus Phaeodactylibacter 0.0
915 genus Phascolarctobacterium 0.0
916 genus Phocaeicola 0.0
917 genus Photobacterium 0.0
918 genus Photorhabdus 0.0
919 genus Piscirickettsia 0.0
920 genus Planctopirus 0.0
921 genus Planktothricoides 0.0
922 genus Planococcus 0.0
923 genus Planomicrobium 0.0
924 genus Pleomorphomonas 0.0
925 genus Pleurocapsa 0.0
926 genus Pluralibacter 0.0
927 genus Polaribacter 0.0
928 genus Polaromonas 0.0
929 genus Polynucleobacter 0.0
930 genus Pontibacillus 0.0
931 genus Pontibacter 0.0
932 genus Porphyrobacter 0.0
933 genus Porphyromonas 0.0013
934 genus Prevotella 0.0041
935 genus Prochlorococcus 0.0
936 genus Prolixibacter 0.0
937 genus Promicromonospora 0.0
938 genus Propionibacterium 0.0002
939 genus Propionicicella 0.0
940 genus Propionimicrobium 0.0
941 genus Propionispira 0.0
942 genus Propionispora 0.0
943 genus Prosthecochloris 0.0
944 genus Proteiniclasticum 0.0
945 genus Proteiniphilum 0.0
946 genus Proteocatella 0.0
947 genus Proteus 0.0
948 genus Providencia 0.0
949 genus Pseudacidovorax 0.0
950 genus Pseudanabaena 0.0
951 genus Pseudarthrobacter 0.0
952 genus Pseudoalteromonas 0.0
953 genus Pseudobacteroides 0.0
954 genus Pseudobutyrivibrio 0.0
955 genus Pseudoclavibacter 0.0
956 genus Pseudoflavonifractor 0.0
957 genus Pseudoglutamicibacter 0.0
958 genus Pseudomonas 0.0234
959 genus Pseudonocardia 0.0
960 genus Pseudopedobacter 0.0
961 genus Pseudoramibacter 0.0
962 genus Pseudorhodoferax 0.0
963 genus Pseudoxanthomonas 0.0
964 genus Psychrilyobacter 0.0
965 genus Psychrobacter 0.0
966 genus Psychroflexus 0.0
967 genus Psychromonas 0.0
968 genus Pyramidobacter 0.0
969 genus Ralstonia 0.0
970 genus Reinekea 0.0
971 genus Renibacterium 0.0
972 genus Rheinheimera 0.0
973 genus Rhizobacter 0.0
974 genus Rhizobium 0.0
975 genus Rhodobacter 0.0
976 genus Rhodococcus 0.0
977 genus Rhodoferax 0.0
978 genus Rhodonellum 0.0
979 genus Rhodopirellula 0.0
980 genus Rhodopseudomonas 0.0004
981 genus Rhodothermus 0.0
982 genus Rickettsiella 0.0
983 genus Riemerella 0.0
984 genus Rikenella 0.0
985 genus Risungbinella 0.0
986 genus Rivularia 0.0
987 genus Robiginitalea 0.0
988 genus Robinsoniella 0.0
989 genus Roseburia 0.0
990 genus Roseiflexus 0.0
991 genus Roseomonas 0.0
992 genus Rothia 0.0
993 genus Ruania 0.0
994 genus Rubidibacter 0.0
995 genus Rubritalea 0.0
996 genus Rubrivivax 0.0
997 genus Rubrobacter 0.0
998 genus Rudanella 0.0
999 genus Ruegeria 0.0
1000 genus Rufibacter 0.0
1001 genus Ruminiclostridium 0.0
1002 genus Ruminobacter 0.0
1003 genus Ruminococcus 0.0001
1004 genus Runella 0.0
1005 genus Saccharibacillus 0.0
1006 genus Saccharibacter 0.0
1007 genus Saccharicrinis 0.0
1008 genus Saccharopolyspora 0.0
1009 genus Saccharothrix 0.0
1010 genus Salegentibacter 0.0
1011 genus Salimicrobium 0.0
1012 genus Salinibacter 0.0
1013 genus Salinibacterium 0.0
1014 genus Salinicoccus 0.0
1015 genus Salinimicrobium 0.0
1016 genus Salinimonas 0.0
1017 genus Salinispira 0.0
1018 genus Salinispora 0.0
1019 genus Salinivibrio 0.0
1020 genus Salisaeta 0.0
1021 genus Salmonella 0.0
1022 genus Sanguibacter 0.0
1023 genus Sanguibacteroides 0.0
1024 genus Saprospira 0.0
1025 genus Scardovia 0.0
1026 genus Sciscionella 0.0
1027 genus Sebaldella 0.0
1028 genus Sedimentibacter 0.0
1029 genus Sediminibacter 0.0
1030 genus Sediminimonas 0.0
1031 genus Segetibacter 0.0
1032 genus Selenomonas 0.0
1033 genus Sellimonas 0.0
1034 genus Senegalimassilia 0.0
1035 genus Serinicoccus 0.0
1036 genus Serratia 0.0
1037 genus Sharpea 0.0
1038 genus Shewanella 0.0
1039 genus Shimazuella 0.0
1040 genus Shinella 0.0
1041 genus Shuttleworthia 0.0
1042 genus Siansivirga 0.0
1043 genus Silvibacterium 0.0
1044 genus Simiduia 0.0
1045 genus Simonsiella 0.0
1046 genus Singulisphaera 0.0
1047 genus Sinomonas 0.0
1048 genus Sinorhizobium 0.0
1049 genus Skermanella 0.0
1050 genus Slackia 0.0
1051 genus Sneathia 0.0
1052 genus Snodgrassella 0.0
1053 genus Solitalea 0.0
1054 genus Solobacterium 0.0
1055 genus Sorangium 0.0
1056 genus Sphaerochaeta 0.0
1057 genus Sphaerotilus 0.0
1058 genus Sphingobacterium 0.0
1059 genus Sphingobium 0.0006
1060 genus Sphingomonas 0.0002
1061 genus Sphingopyxis 0.0007
1062 genus Spirochaeta 0.0
1063 genus Spiroplasma 0.0
1064 genus Spirosoma 0.0
1065 genus Sporocytophaga 0.0
1066 genus Sporolactobacillus 0.0
1067 genus Sporomusa 0.0
1068 genus Sporosarcina 0.0
1069 genus Staphylococcus 0.0
1070 genus Stenotrophomonas 0.0002
1071 genus Stenoxybacter 0.0
1072 genus Stomatobaculum 0.0
1073 genus Streptacidiphilus 0.0
1074 genus Streptobacillus 0.0
1075 genus Streptococcus 0.0003
1076 genus Streptomyces 0.0
1077 genus Streptosporangium 0.0
1078 genus Subdoligranulum 0.0
1079 genus Succinatimonas 0.0
1080 genus Succinimonas 0.0
1081 genus Succinispira 0.0
1082 genus Succinivibrio 0.0
1083 genus Sulfitobacter 0.0
1084 genus Sulfuricurvum 0.0
1085 genus Sulfurimonas 0.0
1086 genus Sulfurospirillum 0.0
1087 genus Sulfurovum 0.0
1088 genus Sunxiuqinia 0.0
1089 genus Sutterella 0.0001
1090 genus Symbiobacterium 0.0
1091 genus Synechococcus 0.0
1092 genus Synechocystis 0.0
1093 genus Synergistes 0.0
1094 genus Syntrophaceticus 0.0
1095 genus Syntrophobacter 0.0
1096 genus Syntrophobotulus 0.0
1097 genus Syntrophomonas 0.0
1098 genus Syntrophorhabdus 0.0
1099 genus Syntrophothermus 0.0
1100 genus Syntrophus 0.0
1101 genus Tannerella 0.0
1102 genus Taylorella 0.0
1103 genus Tenacibaculum 0.0
1104 genus Tepidanaerobacter 0.0
1105 genus Tepidiphilus 0.0
1106 genus Terrabacter 0.0
