TAXA	Abiotrophia	Actinobaculum	Actinomyces	Aerococcus	Aggregatibacter	Alloprevotella	Capnocytophaga	Cardiobacterium	Comamonas	Corynebacterium	Cupriavidus	Dialister	Facklamia	Gardnerella	Gemella	Haemophilus	Herbaspirillum	Kingella	Lactobacillus	Lautropia	Lawsonella	Mycobacterium	Neisseria	Nocardia	Novosphingobium	Ottowia	Peptoniphilus	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Rothia	Sphingobium	Sphingopyxis	Stenotrophomonas	Streptococcus	Treponema	Ureaplasma	Veillonella
Cupriavidus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.999666043271478	0.0	0.0	0.9961164901835043	0.0	0.0	0.0	0.0	0.9965457582448798	0.0	0.0	0.0	0.0	0.9045340337332908	0.0	0.0	0.0	0.9987853426922668	0.0	0.0	1.0	0.9801960588196067	0.0	0.0	1.0	0.0
Dialister	0.0	0.9824763780757721	1.0000000000000002	0.9622504486493764	0.9622504486493764	0.0	0.9146591207600472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9622504486493764	0.953381986056039	0.9908807141567179	0.9622504486493764	0.0	0.9622504486493764	0.0	0.0	0.9622504486493764	0.0	0.0	0.9970909029271469	0.9797979797979801	0.0	0.0	0.0	0.0	0.0	0.9622504486493764	0.0	0.0	0.9622504486493764
Facklamia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999666043271478	0.0	0.999666043271478	0.0	0.0	0.0	0.0	0.0	0.9936253394174113	0.0	0.0	0.0	0.0	0.9942934696210449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9972438246589557	0.0	0.9946315012102275	0.999666043271478	0.9750138748797227	0.0	0.0	0.999666043271478	0.0
Gemella	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haemophilus	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Herbaspirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961164901835043	0.0	0.9961164901835043	0.0	0.0	0.9936253394174113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9978458487549933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9992448053146228	0.0	0.9767576910715873	0.9961164901835043	0.9938249838352886	0.0	0.0	0.9961164901835043	0.0
Kingella	0.0	0.9961164901835045	0.9622504486493764	1.0	1.0	0.0	0.0	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	0.9995172693649841	0.9901475429766742	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Lactobacillus	0.0	0.9929169689742567	0.953381986056039	0.9995172693649841	0.9995172693649841	0.0	0.9939933675098434	0.0	0.0	0.9976764502482091	0.0	0.953381986056039	0.0	0.0	0.0	0.0	0.0	0.9995172693649841	0.0	0.985345769339144	0.9995172693649841	0.0	0.9995172693649841	0.0	0.0	0.9995172693649841	0.0	0.0	0.973608112846215	0.9944679874139875	0.0	0.9944679874139873	0.0	0.0	0.0	0.9995172693649841	0.0	0.0	0.9995172693649841
Lautropia	0.0	0.9986310739646671	0.9908807141567179	0.0	0.0	0.0	0.9607843137254901	0.0	0.0	0.9785046062067444	0.0	0.9908807141567179	0.0	0.0	0.0	0.0	0.0	0.9901475429766742	0.985345769339144	0.0	0.9901475429766742	0.0	0.0	0.0	0.0	0.9901475429766742	0.0	0.0	0.9982683969692436	0.9978099499200515	0.0	0.9978099499200513	0.0	0.0	0.0	0.9901475429766742	0.0	0.0	0.9901475429766742
Lawsonella	0.0	0.9961164901835045	0.0	0.0	1.0	0.0	0.9901475429766743	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.9901475429766742	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.9045340337332909	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Mycobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9965457582448798	0.0	0.9965457582448798	0.0	0.0	0.9942934696210449	0.0	0.0	0.9978458487549933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.998228713217187	0.0	0.9809225959945936	0.9965457582448798	0.9884389178158018	0.0	0.0	0.9965457582448798	0.0
Neisseria	0.0	0.0	0.9622504486493764	1.0	1.0	0.0	0.0	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Nocardia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0
Novosphingobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0
Ottowia	0.0	0.9961164901835045	0.9622504486493764	1.0	1.0	0.0	0.9901475429766743	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.9901475429766742	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Peptoniphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9045340337332908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9034353348591233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Porphyromonas	0.0	0.9385638197228472	0.9864400504156212	0.0	0.0	0.0	0.0	0.0	0.0	0.8763704002132352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9045340337332909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9710607611177229	0.9336892455805613	0.0	0.9336892455805611	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.9938249838352886	0.9970909029271469	0.9801960588196069	0.9801960588196069	0.0	0.0	0.0	0.0	0.9651815315142537	0.0	0.9970909029271469	0.0	0.0	0.0	0.0	0.0	0.9801960588196069	0.973608112846215	0.9982683969692436	0.9801960588196069	0.0	0.9801960588196069	0.0	0.0	0.9801960588196069	0.0	0.9710607611177229	0.0	0.9921911933304532	0.0	0.992191193330453	0.0	0.0	0.0	0.9801960588196069	0.0	0.0	0.9801960588196069
Propionibacterium	0.0	0.999903896977338	0.9797979797979801	0.9972413740548083	0.9972413740548083	0.0	0.9770222426300504	0.0	0.0	0.9894379039743837	0.0	0.9797979797979801	0.0	0.0	0.0	0.0	0.0	0.9972413740548083	0.9944679874139875	0.9978099499200515	0.9972413740548083	0.0	0.9972413740548083	0.0	0.0	0.9972413740548083	0.0	0.9336892455805613	0.9921911933304532	0.0	0.0	1.0	0.0	0.0	0.0	0.9972413740548083	0.0	0.0	0.9972413740548083
Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9987853426922668	0.0	0.9987853426922668	0.0	0.0	0.9972438246589557	0.0	0.0	0.9992448053146228	0.0	0.0	0.0	0.0	0.998228713217187	0.0	0.0	0.0	0.0	0.9034353348591233	0.0	0.0	0.0	0.0	0.0	0.9843487792478267	0.9987853426922668	0.9887629859806646	0.0	0.0	0.9987853426922668	0.0
Rothia	0.0	0.9999038969773378	0.9797979797979799	0.9972413740548081	0.9972413740548081	0.0	0.9770222426300502	0.0	0.0	0.9894379039743836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9944679874139873	0.9978099499200513	0.9972413740548081	0.0	0.9972413740548081	0.0	0.0	0.9972413740548081	0.0	0.9336892455805611	0.992191193330453	1.0	0.0	0.0	0.0	0.0	0.0	0.9972413740548081	0.0	0.0	0.9972413740548081
Sphingobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9918365981341756	0.0	0.0	0.0	0.0	0.9946315012102275	0.0	0.0	0.9767576910715873	0.0	0.0	0.0	0.0	0.9809225959945936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9843487792478267	0.0	0.0	0.9918365981341756	0.9469425238482125	0.0	0.0	0.0	0.0
Sphingopyxis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.999666043271478	0.0	0.0	0.9961164901835043	0.0	0.0	0.0	0.0	0.9965457582448798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9987853426922668	0.0	0.9918365981341756	0.0	0.9801960588196067	0.0	0.0	1.0	0.0
Stenotrophomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9801960588196067	0.0	0.0	0.9750138748797227	0.0	0.0	0.9938249838352886	0.0	0.0	0.0	0.0	0.9884389178158018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9887629859806646	0.0	0.9469425238482125	0.9801960588196067	0.0	0.0	0.0	0.9801960588196067	0.0
Streptococcus	0.0	0.9961164901835045	0.9622504486493764	1.0	1.0	0.0	0.9901475429766743	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.9901475429766742	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Treponema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ureaplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.999666043271478	0.0	0.0	0.9961164901835043	0.0	0.0	0.0	0.0	0.9965457582448798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9987853426922668	0.0	0.0	1.0	0.9801960588196067	0.0	0.0	0.0	0.0
Veillonella	0.0	0.0	0.9622504486493764	0.0	1.0	0.0	0.9901475429766743	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.9901475429766742	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	1.0	0.0	0.0	0.0
