TAXA	Abiotrophia	Acidovorax	Actinobacillus	Actinobaculum	Afipia	Aggregatibacter	Alistipes	Alloprevotella	Anaerococcus	Anaeroglobus	Atopobium	Bacteroides	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Centipeda	Chryseobacterium	Corynebacterium	Cryptobacterium	Dialister	Eggerthia	Eikenella	Escherichia	Eubacterium	Faecalibacterium	Filifactor	Fusobacterium	Gallibacterium	Gemella	Gordonia	Granulicatella	Haemophilus	Hallella	Johnsonella	Kineosphaera	Kytococcus	Lactobacillus	Lautropia	Leptotrichia	Megasphaera	Mitsuokella	Mogibacterium	Morococcus	Mycoplasma	Neisseria	Olsenella	Oribacterium	Oscillibacter	Ottowia	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Pseudoramibacter	Riemerella	Roseburia	Rothia	Ruminococcus	Scardovia	Selenomonas	Shuttleworthia	Simonsiella	Slackia	Solobacterium	Staphylococcus	Stomatobaculum	Veillonella
Cryptobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9042263632504673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9115317067200792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9662230894115081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8560650618884486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8063431650026534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8759085836977211	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9562627790904532	0.0	0.0	0.0	0.9862217343015057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9399187683281401	0.0	0.9720303063980366	0.0	0.0	0.8003294321295482	0.0	0.8353760061432206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9784674335101512	0.0	0.9896005459295949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8409146134398511	0.0	0.0	0.9562627790904532	0.9833830451852658	0.8398232137200247	0.0	0.0	0.0	0.0	0.0	0.8612928184438937	0.0	0.0	0.0	0.0	0.9562627790904532	0.0	0.0	0.0	0.8398232137200247	0.9831395534635069	0.0	0.0	0.0
Eikenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8682259470256539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia	0.8288080117720563	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.818186612157875	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8844639885164515	0.0	0.0	0.0	0.0	0.8406055240472929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8844639885164515	0.0	0.9476231768689853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9218830216091234	0.0	0.0	0.0	0.964327788714138	0.0	0.0	0.9790288577969737	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eubacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9057663362111464	0.0	0.0	0.0	0.9273997179331417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9399187683281401	0.0	0.0	0.0	0.0	0.951505172124341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9196812311381993	0.0	0.9649535257880192	0.0	0.8434902312638413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9696091525268512	0.0	0.0	0.9057663362111464	0.8861525622588965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9057663362111464	0.0	0.0	0.0	0.0	0.9052797409724556	0.0	0.0	0.0
Faecalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.9548359788975397	0.0	0.0	0.0	0.0	0.9484187244267722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8392092825015941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9456902105969702	0.0	0.976612148981218	0.0	0.9803958047855883	0.0	0.976612148981218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.976612148981218	0.0	0.8189141822903084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Filifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8807930531367878	0.0	0.0	0.0	0.9331425189475606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9720303063980366	0.0	0.0	0.951505172124341	0.0	0.0	0.0	0.0	0.8961273032306203	0.0	0.8925588614937667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9216299886151527	0.0	0.9922929896902153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8637388715822095	0.0	0.0	0.8807930531367878	0.939003228986156	0.8926129438972369	0.0	0.0	0.0	0.0	0.0	0.9078786559641696	0.0	0.0	0.0	0.0	0.8807930531367878	0.0	0.0	0.0	0.8926129438972369	0.9747879546023713	0.0	0.0	0.0
Fusobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.828501556322506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8383038026262081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gallibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8392092825015941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8182006980173757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
