	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
339	Neisseria sicca	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
340	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
341	Neisseria sp. oral taxon 014	3	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
342	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
343	Neisseria subflava	3	Throat	#ff5029	4.0	0.0	#10c6e6	#8000ff
344	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
345	Pasteurella multocida	3	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
346	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
347	Prevotella saccharolytica	3	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
348	Prevotella sp. oral taxon 473	5	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
349	Neisseria subflava	3	Throat	#ff5029	4.0	0.0	#10c6e6	#8000ff
350	Prevotella sp. S7-1-8	3	Attached	#4e4dfc	0.0	3.0	#8000ff	#0ac0e8
351	Leptotrichia sp. oral taxon 879	2	Buccal_mucosa	#1996f3	0.0	3.0	#8000ff	#0ac0e8
352	Propionibacterium propionicum	2	Supragingival_plaque	#ff964f	10.0	1.0	#ecc86f	#5247fc
353	Abiotrophia defectiva	3	Buccal_mucosa	#1996f3	10.0	1.0	#ecc86f	#5247fc
354	Selenomonas flueggei	3	Saliva	#7effb5	13.0	4.0	#ff3b1e	#38e7d7
355	Prevotella maculosa	4	Subgingival_plaque	#e4cf74	13.0	4.0	#ff3b1e	#38e7d7
356	Selenomonas noxia	3	Supragingival_plaque	#ff964f	5.0	7.0	#37e6d8	#c4e88a
357	Leptotrichia goodfellowii	4	Supragingival_plaque	#ff964f	5.0	7.0	#37e6d8	#c4e88a
358	Selenomonas noxia	3	Supragingival_plaque	#ff964f	5.0	7.0	#37e6d8	#c4e88a
359	Neisseria lactamica	3	Attached	#4e4dfc	5.0	7.0	#37e6d8	#c4e88a
360	Selenomonas sp. CM52	2	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
361	Centipeda periodontii	3	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
362	Selenomonas sp. CM52	2	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
363	Prevotella sp. HJM029	5	Saliva	#7effb5	11.0	7.0	#ffa055	#c4e88a
364	Selenomonas sp. oral taxon 149	4	Saliva	#7effb5	13.0	4.0	#ff3b1e	#38e7d7
365	Prevotella pallens	5	Tongue_dorsum	#ff0000	13.0	4.0	#ff3b1e	#38e7d7
366	Selenomonas sp. oral taxon 149	4	Saliva	#7effb5	13.0	4.0	#ff3b1e	#38e7d7
367	Selenomonas flueggei	3	Saliva	#7effb5	13.0	4.0	#ff3b1e	#38e7d7
368	Selenomonas sp. oral taxon 478	4	Saliva	#7effb5	14.0	4.0	#ff0000	#38e7d7
369	Prevotella multiformis	3	Tongue_dorsum	#ff0000	14.0	6.0	#ff0000	#96fca7
370	Selenomonas sp. oral taxon 478	4	Saliva	#7effb5	14.0	4.0	#ff0000	#38e7d7
371	Prevotella pallens	5	Tongue_dorsum	#ff0000	13.0	4.0	#ff3b1e	#38e7d7
372	Selenomonas sp. oral taxon 478	4	Saliva	#7effb5	14.0	4.0	#ff0000	#38e7d7
373	Selenomonas flueggei	3	Saliva	#7effb5	13.0	4.0	#ff3b1e	#38e7d7
374	Selenomonas sp. oral taxon 892	2	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
375	Leptotrichia buccalis	3	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
376	Selenomonas sp. oral taxon 892	2	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
377	Leptotrichia hofstadii	3	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
378	Selenomonas sp. oral taxon 892	2	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
379	Leptotrichia shahii	3	Tongue_dorsum	#ff0000	2.0	8.0	#386df9	#f2c26b
380	Selenomonas sp. oral taxon 892	2	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
381	Leptotrichia trevisanii	3	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
382	Selenomonas sp. oral taxon 892	2	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
383	Leptotrichia wadei	5	Tongue_dorsum	#ff0000	2.0	8.0	#386df9	#f2c26b
384	Selenomonas sputigena	2	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
385	Centipeda periodontii	3	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
386	Selenomonas sputigena	2	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
387	Prevotella sp. HJM029	5	Saliva	#7effb5	11.0	7.0	#ffa055	#c4e88a
388	Streptococcus agalactiae	4	Buccal_mucosa	#1996f3	11.0	7.0	#ffa055	#c4e88a
389	Centipeda periodontii	3	Subgingival_plaque	#e4cf74	11.0	7.0	#ffa055	#c4e88a
390	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
391	Actinomyces naeslundii	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
392	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
393	Actinomyces sp. oral taxon 171	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
394	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
395	Actinomyces sp. oral taxon 175	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
396	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
397	Actinomyces sp. oral taxon 180	4	Saliva	#7effb5	4.0	0.0	#10c6e6	#8000ff
398	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
399	Actinomyces viscosus	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
400	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
401	Campylobacter rectus	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
402	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
403	candidate division SR1 bacterium RAAC1_SR1_1	2	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
404	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
405	Dialister invisus	4	Stool	#b2f396	4.0	0.0	#10c6e6	#8000ff
406	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
