	source	target	weight	edge_sample	edcolor
4130	Streptococcus sinensis	Cellulomonas flavigena	1.0	Intertype	#cccccc
4131	Cellulomonas flavigena	Streptococcus sinensis	1.0	Intertype	#cccccc
4132	Streptococcus sinensis	Pasteurella dagmatis	1.0	Buccal_mucosa	#1996f3
4133	Pasteurella dagmatis	Streptococcus sinensis	1.0	Buccal_mucosa	#1996f3
4134	Streptococcus sinensis	Peptostreptococcus sp. MV1	1.0	Intertype	#cccccc
4135	Peptostreptococcus sp. MV1	Streptococcus sinensis	1.0	Intertype	#cccccc
4136	Streptococcus sinensis	Prevotella marshii	1.0	Intertype	#cccccc
4137	Prevotella marshii	Streptococcus sinensis	1.0	Intertype	#cccccc
4138	Streptococcus sinensis	Prevotella micans	1.0	Intertype	#cccccc
4139	Prevotella micans	Streptococcus sinensis	1.0	Intertype	#cccccc
4140	Streptococcus sinensis	Pseudomonas sp. 313	1.0	Buccal_mucosa	#1996f3
4141	Pseudomonas sp. 313	Streptococcus sinensis	1.0	Buccal_mucosa	#1996f3
4142	Streptococcus sinensis	Sphingomonas sp. Ant H11	1.0	Buccal_mucosa	#1996f3
4143	Sphingomonas sp. Ant H11	Streptococcus sinensis	1.0	Buccal_mucosa	#1996f3
4144	Streptococcus sp. 1171_SSPC	Actinomyces sp. S6-Spd3	5.0	Tongue_dorsum	#ff0000
4145	Actinomyces sp. S6-Spd3	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4146	Streptococcus sp. 1171_SSPC	Campylobacter showae	5.0	Intertype	#cccccc
4147	Campylobacter showae	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4148	Streptococcus sp. 1171_SSPC	Candidatus Saccharibacteria oral taxon TM7x	7.0	Intertype	#cccccc
4149	Candidatus Saccharibacteria oral taxon TM7x	Streptococcus sp. 1171_SSPC	7.0	Intertype	#cccccc
4150	Streptococcus sp. 1171_SSPC	Capnocytophaga sp. CM59	5.0	Intertype	#cccccc
4151	Capnocytophaga sp. CM59	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4152	Streptococcus sp. 1171_SSPC	Carnobacterium maltaromaticum	5.0	Tongue_dorsum	#ff0000
4153	Carnobacterium maltaromaticum	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4154	Streptococcus sp. 1171_SSPC	Catonella morbi	5.0	Intertype	#cccccc
4155	Catonella morbi	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4156	Streptococcus sp. 1171_SSPC	Haemophilus sputorum	5.0	Intertype	#cccccc
4157	Haemophilus sputorum	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
