	source	target	weight	edge_sample	edcolor
1319	Pseudoramibacter alactolyticus	Treponema pedis	1.0	Intertype	#cccccc
1320	Treponema pedis	Sanguibacter keddieii	1.0	Intertype	#cccccc
1321	Sanguibacter keddieii	Treponema pedis	1.0	Intertype	#cccccc
1322	Treponema pedis	Streptococcus massiliensis	1.0	Intertype	#cccccc
1323	Streptococcus massiliensis	Treponema pedis	1.0	Intertype	#cccccc
1324	Treponema putidum	Actinomyces slackii	1.0	Intertype	#cccccc
1325	Actinomyces slackii	Treponema putidum	1.0	Intertype	#cccccc
1326	Treponema putidum	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
1327	Actinomyces sp. ICM47	Treponema putidum	1.0	Intertype	#cccccc
1328	Treponema putidum	Bulleidia extructa	1.0	Intertype	#cccccc
1329	Bulleidia extructa	Treponema putidum	1.0	Intertype	#cccccc
1330	Treponema putidum	Eubacterium saphenum	1.0	Intertype	#cccccc
1331	Eubacterium saphenum	Treponema putidum	1.0	Intertype	#cccccc
1332	Treponema putidum	Fusobacterium necrophorum	1.0	Intertype	#cccccc
1333	Fusobacterium necrophorum	Treponema putidum	1.0	Intertype	#cccccc
1334	Treponema putidum	Fusobacterium sp. CM21	1.0	Intertype	#cccccc
1335	Fusobacterium sp. CM21	Treponema putidum	1.0	Intertype	#cccccc
1336	Treponema putidum	Olsenella uli	1.0	Intertype	#cccccc
1337	Olsenella uli	Treponema putidum	1.0	Intertype	#cccccc
1338	Treponema putidum	Peptostreptococcaceae bacterium ACC19a	1.0	Intertype	#cccccc
1339	Peptostreptococcaceae bacterium ACC19a	Treponema putidum	1.0	Intertype	#cccccc
1340	Treponema putidum	Peptostreptococcaceae bacterium OBRC8	1.0	Intertype	#cccccc
1341	Peptostreptococcaceae bacterium OBRC8	Treponema putidum	1.0	Intertype	#cccccc
1342	Treponema putidum	Prevotella baroniae	1.0	Intertype	#cccccc
1343	Prevotella baroniae	Treponema putidum	1.0	Intertype	#cccccc
1344	Treponema putidum	Prevotella sp. C561	1.0	Intertype	#cccccc
1345	Prevotella sp. C561	Treponema putidum	1.0	Intertype	#cccccc
1346	Treponema putidum	Prevotella sp. ICM33	1.0	Intertype	#cccccc
1347	Prevotella sp. ICM33	Treponema putidum	1.0	Intertype	#cccccc
1348	Treponema putidum	Pseudoramibacter alactolyticus	1.0	Intertype	#cccccc
1349	Pseudoramibacter alactolyticus	Treponema putidum	1.0	Intertype	#cccccc
1350	Treponema putidum	Sanguibacter keddieii	1.0	Intertype	#cccccc
1351	Sanguibacter keddieii	Treponema putidum	1.0	Intertype	#cccccc
1352	Treponema putidum	Streptococcus massiliensis	1.0	Intertype	#cccccc
1353	Streptococcus massiliensis	Treponema putidum	1.0	Intertype	#cccccc
1354	Treponema putidum	Treponema pedis	1.0	Subgingival_plaque	#e4cf74
1355	Treponema pedis	Treponema putidum	1.0	Subgingival_plaque	#e4cf74
1356	Treponema socranskii	Alloprevotella tannerae	3.0	Subgingival_plaque	#e4cf74
1357	Alloprevotella tannerae	Treponema socranskii	3.0	Subgingival_plaque	#e4cf74
1358	Treponema socranskii	Campylobacter curvus	3.0	Intertype	#cccccc
1359	Campylobacter curvus	Treponema socranskii	3.0	Intertype	#cccccc
1360	Treponema socranskii	Streptococcus constellatus	3.0	Subgingival_plaque	#e4cf74
1361	Streptococcus constellatus	Treponema socranskii	3.0	Subgingival_plaque	#e4cf74
1362	Treponema socranskii	Treponema denticola	3.0	Subgingival_plaque	#e4cf74
1363	Treponema denticola	Treponema socranskii	3.0	Subgingival_plaque	#e4cf74
1364	Treponema sp. OMZ 838	[Eubacterium] infirmum	3.0	Subgingival_plaque	#e4cf74
1365	[Eubacterium] infirmum	Treponema sp. OMZ 838	3.0	Subgingival_plaque	#e4cf74
1366	Treponema sp. OMZ 838	Lachnoanaerobaculum saburreum	3.0	Intertype	#cccccc
1367	Lachnoanaerobaculum saburreum	Treponema sp. OMZ 838	3.0	Intertype	#cccccc
