source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Clostridiales Family XIII. Incertae Sedis	94	Clostridiales Family XIII. Incertae Sedis	Bacillaceae	1.0	Tongue_dorsum	Anterior_nares	Intertype	#ff0000	#8000ff	#cccccc	1.0	1.0	#1996f3	#01b3ec
Bacillaceae	95	Bacillaceae	Clostridiales Family XIII. Incertae Sedis	1.0	Anterior_nares	Tongue_dorsum	Intertype	#8000ff	#ff0000	#cccccc	4.0	2.0	#ff964f	#7effb5
Clostridiales Family XIII. Incertae Sedis	96	Clostridiales Family XIII. Incertae Sedis	Campylobacteraceae	2.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Campylobacteraceae	97	Campylobacteraceae	Clostridiales Family XIII. Incertae Sedis	2.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#1996f3	#01b3ec
Clostridiales Family XIII. Incertae Sedis	98	Clostridiales Family XIII. Incertae Sedis	Cellulomonadaceae	1.0	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellulomonadaceae	99	Cellulomonadaceae	Clostridiales Family XIII. Incertae Sedis	1.0	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Clostridiales Family XIII. Incertae Sedis	100	Clostridiales Family XIII. Incertae Sedis	Chlamydiaceae	1.0	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Chlamydiaceae	101	Chlamydiaceae	Clostridiales Family XIII. Incertae Sedis	1.0	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Comamonadaceae	102	Comamonadaceae	Actinomycetaceae	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	4.0	2.0	#ff964f	#7effb5
Actinomycetaceae	103	Actinomycetaceae	Comamonadaceae	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Comamonadaceae	104	Comamonadaceae	Aerococcaceae	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	4.0	2.0	#ff964f	#7effb5
Aerococcaceae	105	Aerococcaceae	Comamonadaceae	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Comamonadaceae	106	Comamonadaceae	Alcaligenaceae	1.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	4.0	2.0	#ff964f	#7effb5
Alcaligenaceae	107	Alcaligenaceae	Comamonadaceae	1.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	4.0	2.0	#ff964f	#7effb5
