source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Bacillales	47	Bacillales	Chlamydiales	3.0	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Chlamydiales	48	Chlamydiales	Bacteroidales	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Bacteroidales	49	Bacteroidales	Chlamydiales	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Chlamydiales	50	Chlamydiales	Bifidobacteriales	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	0.0	#7effb5	#8000ff
Bifidobacteriales	51	Bifidobacteriales	Chlamydiales	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	0.0	#7effb5	#8000ff
Chlamydiales	52	Chlamydiales	Campylobacterales	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Campylobacterales	53	Campylobacterales	Chlamydiales	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	1.0	#7effb5	#01b3ec
Clostridiales	54	Clostridiales	Actinomycetales	4.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Actinomycetales	55	Actinomycetales	Clostridiales	4.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Clostridiales	56	Clostridiales	Bacillales	5.0	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	3.0	0.0	#7effb5	#8000ff
Bacillales	57	Bacillales	Clostridiales	5.0	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Clostridiales	58	Clostridiales	Bacteroidales	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Bacteroidales	59	Bacteroidales	Clostridiales	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Clostridiales	60	Clostridiales	Burkholderiales	3.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Burkholderiales	61	Burkholderiales	Clostridiales	3.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	2.0	1.0	#2adddd	#01b3ec
Clostridiales	62	Clostridiales	Campylobacterales	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Campylobacterales	63	Campylobacterales	Clostridiales	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Coriobacteriales	64	Coriobacteriales	Actinomycetales	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Actinomycetales	65	Actinomycetales	Coriobacteriales	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	1.0	#7effb5	#01b3ec
Coriobacteriales	66	Coriobacteriales	Bacillales	3.0	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	3.0	0.0	#7effb5	#8000ff
Bacillales	67	Bacillales	Coriobacteriales	3.0	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Coriobacteriales	68	Coriobacteriales	Bacteroidales	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Bacteroidales	69	Bacteroidales	Coriobacteriales	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Coriobacteriales	70	Coriobacteriales	Bifidobacteriales	2.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	0.0	#7effb5	#8000ff
Bifidobacteriales	71	Bifidobacteriales	Coriobacteriales	2.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	0.0	#7effb5	#8000ff
Coriobacteriales	72	Coriobacteriales	Campylobacterales	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Campylobacterales	73	Campylobacterales	Coriobacteriales	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	1.0	#7effb5	#01b3ec
Coriobacteriales	74	Coriobacteriales	Chlamydiales	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	0.0	#7effb5	#8000ff
Chlamydiales	75	Chlamydiales	Coriobacteriales	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	0.0	#7effb5	#8000ff
Coriobacteriales	76	Coriobacteriales	Clostridiales	5.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Clostridiales	77	Clostridiales	Coriobacteriales	5.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Corynebacteriales	78	Corynebacteriales	Actinomycetales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Actinomycetales	79	Actinomycetales	Corynebacteriales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Corynebacteriales	80	Corynebacteriales	Bacillales	4.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacillales	81	Bacillales	Corynebacteriales	4.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Corynebacteriales	82	Corynebacteriales	Bacteroidales	4.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacteroidales	83	Bacteroidales	Corynebacteriales	4.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Corynebacteriales	84	Corynebacteriales	Burkholderiales	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Burkholderiales	85	Burkholderiales	Corynebacteriales	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2.0	1.0	#2adddd	#01b3ec
Corynebacteriales	86	Corynebacteriales	Campylobacterales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Campylobacterales	87	Campylobacterales	Corynebacteriales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Corynebacteriales	88	Corynebacteriales	Cardiobacteriales	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Cardiobacteriales	89	Cardiobacteriales	Corynebacteriales	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Corynebacteriales	90	Corynebacteriales	Clostridiales	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Clostridiales	91	Clostridiales	Corynebacteriales	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Cytophagales	92	Cytophagales	Bacteroidales	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	6.0	0.0	#ff0000	#8000ff
Bacteroidales	93	Bacteroidales	Cytophagales	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	0.0	#7effb5	#8000ff
Cytophagales	94	Cytophagales	Campylobacterales	2.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	6.0	0.0	#ff0000	#8000ff
Campylobacterales	95	Campylobacterales	Cytophagales	2.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	3.0	1.0	#7effb5	#01b3ec
Cytophagales	96	Cytophagales	Chromatiales	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	6.0	0.0	#ff0000	#8000ff
Chromatiales	97	Chromatiales	Cytophagales	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	6.0	3.0	#ff0000	#feb562
Cytophagales	98	Cytophagales	Clostridiales	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	6.0	0.0	#ff0000	#8000ff
Clostridiales	99	Clostridiales	Cytophagales	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	0.0	#7effb5	#8000ff
Cytophagales	100	Cytophagales	Coriobacteriales	1.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	6.0	0.0	#ff0000	#8000ff
Coriobacteriales	101	Coriobacteriales	Cytophagales	1.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	3.0	0.0	#7effb5	#8000ff
Cytophagales	102	Cytophagales	Corynebacteriales	2.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	6.0	0.0	#ff0000	#8000ff
Corynebacteriales	103	Corynebacteriales	Cytophagales	2.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	3.0	1.0	#7effb5	#01b3ec
Desulfovibrionales	104	Desulfovibrionales	Acidaminococcales	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Acidaminococcales	105	Acidaminococcales	Desulfovibrionales	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Desulfovibrionales	106	Desulfovibrionales	Bacteroidales	3.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Bacteroidales	107	Bacteroidales	Desulfovibrionales	3.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Desulfovibrionales	108	Desulfovibrionales	Chlamydiales	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Chlamydiales	109	Chlamydiales	Desulfovibrionales	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Desulfovibrionales	110	Desulfovibrionales	Clostridiales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Clostridiales	111	Clostridiales	Desulfovibrionales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Desulfovibrionales	112	Desulfovibrionales	Cytophagales	1.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	0.0	#7effb5	#8000ff
Cytophagales	113	Cytophagales	Desulfovibrionales	1.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	6.0	0.0	#ff0000	#8000ff
Eggerthellales	114	Eggerthellales	Acidaminococcales	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Acidaminococcales	115	Acidaminococcales	Eggerthellales	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Eggerthellales	116	Eggerthellales	Actinomycetales	3.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Actinomycetales	117	Actinomycetales	Eggerthellales	3.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Eggerthellales	118	Eggerthellales	Bacillales	3.0	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	3.0	0.0	#7effb5	#8000ff
