source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Chlamydiia	49	Chlamydiia	Coriobacteriia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	0.0	#ff3219	#8000ff
Coriobacteriia	50	Coriobacteriia	Clostridia	6.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	4.0	1.0	#01b3ec	#ff0000
Clostridia	51	Clostridia	Coriobacteriia	6.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	2.0	1.0	#425ffa	#ff0000
Cytophagia	52	Cytophagia	Actinobacteria	4.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	14.0	0.0	#ff6232	#8000ff
Actinobacteria	53	Actinobacteria	Cytophagia	4.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	11.0	0.0	#ded579	#8000ff
Cytophagia	54	Cytophagia	Alphaproteobacteria	2.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	0.0	#ff6232	#8000ff
Alphaproteobacteria	55	Alphaproteobacteria	Cytophagia	2.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	8.0	0.0	#7effb5	#8000ff
Cytophagia	56	Cytophagia	Bacilli	2.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	14.0	0.0	#ff6232	#8000ff
Bacilli	57	Bacilli	Cytophagia	2.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	2.0	1.0	#425ffa	#ff0000
Cytophagia	58	Cytophagia	Bacteroidia	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	14.0	0.0	#ff6232	#8000ff
Bacteroidia	59	Bacteroidia	Cytophagia	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	9.0	0.0	#9efaa2	#8000ff
Cytophagia	60	Cytophagia	Betaproteobacteria	3.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	14.0	0.0	#ff6232	#8000ff
Betaproteobacteria	61	Betaproteobacteria	Cytophagia	3.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	3.0	0.0	#218cf4	#8000ff
Cytophagia	62	Cytophagia	Clostridia	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	14.0	0.0	#ff6232	#8000ff
Clostridia	63	Clostridia	Cytophagia	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	2.0	1.0	#425ffa	#ff0000
Cytophagia	64	Cytophagia	Coriobacteriia	1.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	14.0	0.0	#ff6232	#8000ff
Coriobacteriia	65	Coriobacteriia	Cytophagia	1.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	4.0	1.0	#01b3ec	#ff0000
Deltaproteobacteria	66	Deltaproteobacteria	Alphaproteobacteria	1.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	0.0	1.0	#8000ff	#ff0000
Alphaproteobacteria	67	Alphaproteobacteria	Deltaproteobacteria	1.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	8.0	0.0	#7effb5	#8000ff
Deltaproteobacteria	68	Deltaproteobacteria	Bacteroidia	3.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#ff0000
Bacteroidia	69	Bacteroidia	Deltaproteobacteria	3.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	0.0	#9efaa2	#8000ff
Deltaproteobacteria	70	Deltaproteobacteria	Chlamydiia	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	0.0	1.0	#8000ff	#ff0000
Chlamydiia	71	Chlamydiia	Deltaproteobacteria	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	15.0	0.0	#ff3219	#8000ff
Deltaproteobacteria	72	Deltaproteobacteria	Clostridia	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#ff0000
Clostridia	73	Clostridia	Deltaproteobacteria	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#425ffa	#ff0000
Deltaproteobacteria	74	Deltaproteobacteria	Cytophagia	1.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	0.0	1.0	#8000ff	#ff0000
Cytophagia	75	Cytophagia	Deltaproteobacteria	1.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	14.0	0.0	#ff6232	#8000ff
Epsilonproteobacteria	76	Epsilonproteobacteria	Actinobacteria	13.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	0.0	#622ffe	#8000ff
Actinobacteria	77	Actinobacteria	Epsilonproteobacteria	13.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	11.0	0.0	#ded579	#8000ff
Epsilonproteobacteria	78	Epsilonproteobacteria	Alphaproteobacteria	3.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	1.0	0.0	#622ffe	#8000ff
Alphaproteobacteria	79	Alphaproteobacteria	Epsilonproteobacteria	3.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	8.0	0.0	#7effb5	#8000ff
Epsilonproteobacteria	80	Epsilonproteobacteria	Bacilli	6.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	0.0	#622ffe	#8000ff
Bacilli	81	Bacilli	Epsilonproteobacteria	6.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Epsilonproteobacteria	82	Epsilonproteobacteria	Bacteroidia	10.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	0.0	#622ffe	#8000ff
Bacteroidia	83	Bacteroidia	Epsilonproteobacteria	10.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	9.0	0.0	#9efaa2	#8000ff
Epsilonproteobacteria	84	Epsilonproteobacteria	Betaproteobacteria	8.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	0.0	#622ffe	#8000ff
Betaproteobacteria	85	Betaproteobacteria	Epsilonproteobacteria	8.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	0.0	#218cf4	#8000ff
Epsilonproteobacteria	86	Epsilonproteobacteria	Chlamydiia	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	0.0	#622ffe	#8000ff
Chlamydiia	87	Chlamydiia	Epsilonproteobacteria	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	15.0	0.0	#ff3219	#8000ff
Epsilonproteobacteria	88	Epsilonproteobacteria	Clostridia	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	0.0	#622ffe	#8000ff
Clostridia	89	Clostridia	Epsilonproteobacteria	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Epsilonproteobacteria	90	Epsilonproteobacteria	Coriobacteriia	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	0.0	#622ffe	#8000ff
Coriobacteriia	91	Coriobacteriia	Epsilonproteobacteria	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	4.0	1.0	#01b3ec	#ff0000
Epsilonproteobacteria	92	Epsilonproteobacteria	Cytophagia	2.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	1.0	0.0	#622ffe	#8000ff
Cytophagia	93	Cytophagia	Epsilonproteobacteria	2.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	14.0	0.0	#ff6232	#8000ff
Erysipelotrichia	94	Erysipelotrichia	Actinobacteria	4.0	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	6.0	1.0	#3febd5	#ff0000
Actinobacteria	95	Actinobacteria	Erysipelotrichia	4.0	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	11.0	0.0	#ded579	#8000ff
Erysipelotrichia	96	Erysipelotrichia	Alphaproteobacteria	1.0	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	6.0	1.0	#3febd5	#ff0000
Alphaproteobacteria	97	Alphaproteobacteria	Erysipelotrichia	1.0	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	8.0	0.0	#7effb5	#8000ff
Erysipelotrichia	98	Erysipelotrichia	Bacilli	6.0	Throat	Posterior_fornix	Intertype	#ff5029	#4df3ce	#cccccc	6.0	1.0	#3febd5	#ff0000
Bacilli	99	Bacilli	Erysipelotrichia	6.0	Posterior_fornix	Throat	Intertype	#4df3ce	#ff5029	#cccccc	2.0	1.0	#425ffa	#ff0000
Erysipelotrichia	100	Erysipelotrichia	Bacteroidia	5.0	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	6.0	1.0	#3febd5	#ff0000
Bacteroidia	101	Bacteroidia	Erysipelotrichia	5.0	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	9.0	0.0	#9efaa2	#8000ff
Erysipelotrichia	102	Erysipelotrichia	Clostridia	6.0	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	6.0	1.0	#3febd5	#ff0000
Clostridia	103	Clostridia	Erysipelotrichia	6.0	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	2.0	1.0	#425ffa	#ff0000
Erysipelotrichia	104	Erysipelotrichia	Coriobacteriia	5.0	Throat	Posterior_fornix	Intertype	#ff5029	#4df3ce	#cccccc	6.0	1.0	#3febd5	#ff0000
Coriobacteriia	105	Coriobacteriia	Erysipelotrichia	5.0	Posterior_fornix	Throat	Intertype	#4df3ce	#ff5029	#cccccc	4.0	1.0	#01b3ec	#ff0000
Erysipelotrichia	106	Erysipelotrichia	Deltaproteobacteria	1.0	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	6.0	1.0	#3febd5	#ff0000
Deltaproteobacteria	107	Deltaproteobacteria	Erysipelotrichia	1.0	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	0.0	1.0	#8000ff	#ff0000
Erysipelotrichia	108	Erysipelotrichia	Epsilonproteobacteria	2.0	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	6.0	1.0	#3febd5	#ff0000
Epsilonproteobacteria	109	Epsilonproteobacteria	Erysipelotrichia	2.0	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	1.0	0.0	#622ffe	#8000ff
Flavobacteriia	110	Flavobacteriia	Actinobacteria	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5.0	0.0	#1fd3e1	#8000ff
Actinobacteria	111	Actinobacteria	Flavobacteriia	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	11.0	0.0	#ded579	#8000ff
Flavobacteriia	112	Flavobacteriia	Alphaproteobacteria	1.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	5.0	0.0	#1fd3e1	#8000ff
