source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Barnesiella	30	Barnesiella	Bacteroides	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#e0d377	#4856fb
Bacteroides	31	Bacteroides	Barnesiella	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Basfia	32	Basfia	Actinobacillus	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Actinobacillus	33	Actinobacillus	Basfia	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Basfia	34	Basfia	Avibacterium	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Avibacterium	35	Avibacterium	Basfia	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Bibersteinia	36	Bibersteinia	Avibacterium	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Avibacterium	37	Avibacterium	Bibersteinia	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Bibersteinia	38	Bibersteinia	Basfia	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Basfia	39	Basfia	Bibersteinia	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	4.0	#0ca7ef	#62fbc4
Bilophila	40	Bilophila	Acholeplasma	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	7.0	1.0	#92fda9	#4856fb
Acholeplasma	41	Acholeplasma	Bilophila	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	2.0	#3176f8	#10a2f0
Blautia	42	Blautia	Acetivibrio	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Acetivibrio	43	Acetivibrio	Blautia	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Blautia	44	Blautia	Akkermansia	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Akkermansia	45	Akkermansia	Blautia	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#e0d377	#4856fb
Blautia	46	Blautia	Anaerostipes	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Anaerostipes	47	Anaerostipes	Blautia	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Bradyrhizobium	48	Bradyrhizobium	Afipia	1.0	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	1.0	6.0	#5a3bfd	#d4dd80
Afipia	49	Afipia	Bradyrhizobium	1.0	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	1.0	6.0	#5a3bfd	#d4dd80
Butyricicoccus	50	Butyricicoccus	Alistipes	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Alistipes	51	Alistipes	Butyricicoccus	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
Butyricicoccus	52	Butyricicoccus	Bacteroides	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#6afdc0	#4856fb
