TAXA	Abiotrophia	Achromobacter	Acidovorax	Acinetobacter	Actinobaculum	Actinomyces	Aerococcus	Akkermansia	Alcaligenes	Alistipes	Alloiococcus	Arcanobacterium	Bacillus	Bacteroides	Barnesiella	Bergeyella	Bilophila	Blautia	Bosea	Brochothrix	Bulleidia	Butyricicoccus	Butyricimonas	Butyrivibrio	Capnocytophaga	Carnobacterium	Catenibacterium	Caulobacter	Chryseobacterium	Collinsella	Comamonas	Corynebacterium	Cupriavidus	Curvibacter	Deinococcus	Dialister	Dolosigranulum	Dorea	Elizabethkingia	Empedobacter	Enhydrobacter	Enterobacter	Enterococcus	Erysipelatoclostridium	Eubacterium	Exiguobacterium	Facklamia	Faecalibacterium	Gemella	Granulicatella	Haemophilus	Herbaspirillum	Hippea	Holdemania	Hungatella	Intestinimonas	Klebsiella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lactococcus	Lawsonella	Leptotrichia	Leuconostoc	Listeria	Mageeibacillus	Marvinbryantia	Megamonas	Megasphaera	Methylobacterium	Micrococcus	Mobiluncus	Moraxella	Mycobacterium	Mycoplasma	Neisseria	Nocardia	Nosocomiicoccus	Odoribacter	Oscillibacter	Ottowia	Oxalobacter	Paenibacillus	Pantoea	Parabacteroides	Paraburkholderia	Paracoccus	Paraprevotella	Parasutterella	Parvimonas	Pediococcus	Pedobacter	Peptoclostridium	Peptostreptococcus	Phascolarctobacterium	Planomicrobium	Porphyromonas	Propionibacterium	Pseudobutyrivibrio	Pseudochrobactrum	Pseudoflavonifractor	Pseudomonas	Rheinheimera	Rhodobacter	Rhodopseudomonas	Rickettsiella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Selenomonas	Sinorhizobium	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Staphylococcus	Subdoligranulum	Sutterella	Tannerella	Tepidiphilus	Tyzzerella	Ureaplasma	Veillonella	Xanthomonas
Alloiococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8929319002869855	0.0	0.0	0.9073792108331458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8066705348734362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9479312699513083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9479312699513083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8465183828097961	0.9479312699513083	0.0	0.0	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.9383329094547997	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.9581051182725218	0.0	0.9331801612970505	0.0	0.0	0.0	0.9479312699513083	0.0	0.0	0.0	0.0
Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.9706033136935001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95339867210102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.8026276473397428	0.0	0.9999999999999988	0.0	0.9575129136748608	0.0	0.0	0.0	0.9999475385225168	0.9999999999999988	0.0	0.9474501500517495	0.0	0.0	0.0	0.0	0.0	0.9994193779083606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9879321099916233	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8054509360028431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8698045332560871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Barnesiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9666025378891508	0.0	0.0	0.0	0.8698045332560871	0.0	0.0	0.0	0.8550212360532223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8607323582359675	0.0	0.0	0.8799153747494107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8370275725958415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9302749347455515	0.0	0.0	0.0	0.0	0.0	0.9359644494000591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bergeyella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999993	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bilophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9906718182540161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.870246986540729	0.0	0.0	0.9931522700576048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8440165800364596	0.0	0.0	0.0	0.0	0.8550212360532223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8419559677053955	0.0	0.0	0.9514492218987455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8733806510259023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9646313369827426	0.0	0.0	0.0	0.0	0.0	0.9021226791074751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bosea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9848100788301754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8930108366813836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999998	0.0	0.0	0.0	0.0	0.0	0.9116689613359266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8522789688037313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.882301585532261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brochothrix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8929319002869854	0.0	0.0	0.9651051248424116	0.0	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8066705348734362	0.0	0.0	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9479312699513083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9479312699513083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8465183828097961	0.9479312699513083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.9168910434527976	0.0	0.0	0.0	0.0	0.8937251533817518	0.0	0.0	0.8937251533817518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.934835515486764	0.0	0.9549264742816251	0.0	0.0	0.0	0.9479312699513083	0.0	0.0	0.0	0.0
Bulleidia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9706033136935001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95339867210102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.8026276473397428	0.0	0.9999999999999988	0.0	0.9575129136748608	0.0	0.0	0.0	0.9999475385225168	0.9999999999999988	0.0	0.9474501500517495	0.0	0.0	0.0	0.0	0.0	0.9994193779083606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9879321099916233	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyricicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8307070050055831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
