TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobaculum	Alistipes	Alloscardovia	Anaerostipes	Basfia	Bergeyella	Burkholderia	Butyrivibrio	Capnocytophaga	Cardiobacterium	Centipeda	Chryseobacterium	Corynebacterium	Dialister	Eggerthella	Eubacterium	Gordonibacter	Gulbenkiania	Helcobacillus	Helicobacter	Holdemanella	Kingella	Lautropia	Leucobacter	Methylibium	Microbacterium	Moraxella	Nitrospira	Odoribacter	Olsenella	Ottowia	Paracoccus	Paraprevotella	Propionibacterium	Propionimicrobium	Psychrobacter	Riemerella	Ruminiclostridium	Sebaldella	Selenomonas	Simonsiella	Staphylococcus	Tannerella	Tepidiphilus	Varibaculum
Gulbenkiania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9483409984550106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helcobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9979619122558541	0.0
Holdemanella	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kingella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8164993638460106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lautropia	0.0	0.8097706269567583	0.0	0.8937790394393793	0.0	0.0	0.0	0.8874799096796598	0.9360618830934363	0.0	0.0	0.0	0.9531353491459778	0.8444217920449565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9402209205482532	0.0	0.0	0.0	0.9368723742238833	0.9360618830934363	0.0	0.9487156307886596	0.0	0.9360618830934363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leucobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8913272791454432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methylibium	0.0	0.0	0.8818202423590874	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8941059192003682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Microbacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8913272791454432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Moraxella	0.0	0.8451765727923006	0.0	0.8545450157770383	0.0	0.0	0.0	0.8415215176787854	0.9929008502330285	0.0	0.0	0.0	0.9831338632721782	0.91328117830314	0.0	0.8056928128235047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9402209205482532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9918591214308442	0.9929008502330285	0.0	0.9661000395317605	0.0	0.9929008502330285	0.0	0.0	0.0	0.814565273200954	0.0	0.0	0.0	0.0	0.0
Nitrospira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8941059192003682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9483409984550106	0.0	0.0	0.0	0.0	0.0	0.0	0.8941059192003682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Odoribacter	0.0	0.0	0.0	0.0	0.8215232863778703	0.0	0.0	0.0	0.0	0.0	0.8045174869388694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8276973791456331	0.0	0.0
Ottowia	0.0	0.8515686039026802	0.0	0.8587569663416137	0.0	0.0	0.0	0.814701615419561	0.9997593713075067	0.0	0.0	0.0	0.9876193788536782	0.9209336199452204	0.0	0.801686643258585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9368723742238833	0.0	0.0	0.0	0.9918591214308442	0.0	0.0	0.0	0.0	0.9997593713075067	0.0	0.9720592215631878	0.0	0.9997593713075067	0.0	0.0	0.0	0.823828812289564	0.0	0.0	0.0	0.0	0.0
Paracoccus	0.0	0.8519679171021295	0.0	0.8571590297737304	0.0	0.0	0.0	0.8150214278151393	0.9999999999999863	0.0	0.0	0.0	0.9870481548705288	0.9216804791961587	0.0	0.8020740914313214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9360618830934363	0.0	0.0	0.0	0.9929008502330285	0.0	0.0	0.0	0.9997593713075067	0.0	0.0	0.9715453057526343	0.0	0.9999999999999863	0.0	0.0	0.0	0.8245855104963463	0.0	0.0	0.0	0.0	0.0
Paraprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8739305971705008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacterium	0.8335441270371731	0.857916273156266	0.0	0.8890319970442001	0.0	0.0	0.0	0.8127468514239472	0.9715453057526343	0.0	0.0	0.0	0.9853157767148549	0.890533873571376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9487156307886596	0.0	0.0	0.0	0.9661000395317605	0.0	0.0	0.0	0.9720592215631878	0.9715453057526343	0.0	0.0	0.0	0.9715453057526343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8863001008213006
Psychrobacter	0.0	0.8519679171021295	0.0	0.8571590297737304	0.0	0.0	0.0	0.8150214278151393	0.9999999999999863	0.0	0.0	0.0	0.9870481548705288	0.9216804791961587	0.0	0.8020740914313214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9360618830934363	0.0	0.0	0.0	0.9929008502330285	0.0	0.0	0.0	0.9997593713075067	0.9999999999999863	0.0	0.9715453057526343	0.0	0.0	0.0	0.0	0.0	0.8245855104963463	0.0	0.0	0.0	0.0	0.0
Riemerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8231505790533128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sebaldella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8595213127724671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8245855104963463	0.0	0.0	0.0	0.8036620924216087	0.9560246194075053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.814565273200954	0.0	0.0	0.0	0.823828812289564	0.8245855104963463	0.0	0.0	0.0	0.8245855104963463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Simonsiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8984993790388176	0.0	0.0	0.0
Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8984993790388176	0.0	0.0	0.0	0.0
Tannerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8276973791456331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tepidiphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9979619122558541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8863001008213006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
