	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
46	Alistipes	Afipia	1.0	1	1	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
47	Afipia	Alistipes	1.0	1	1	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
48	Alistipes	Aggregatibacter	1.0	1	2	Stool	Mixed	Intertype	#b2f396	#cccccc	#cccccc	1.0	0.0	#01b3ec	#8000ff
49	Aggregatibacter	Alistipes	1.0	2	1	Mixed	Stool	Intertype	#cccccc	#b2f396	#cccccc	0.0	0.0	#8000ff	#8000ff
50	Anaeroglobus	Alloprevotella	1.0	1	2	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	3.0	1.0	#feb562	#ff0000
51	Alloprevotella	Anaeroglobus	1.0	2	1	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	3.0	1.0	#feb562	#ff0000
52	Atopobium	Abiotrophia	1.0	2	1	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
53	Abiotrophia	Atopobium	1.0	1	2	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
54	Atopobium	Acidovorax	1.0	2	1	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
55	Acidovorax	Atopobium	1.0	1	2	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
56	Atopobium	Acinetobacter	1.0	2	1	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
57	Acinetobacter	Atopobium	1.0	1	2	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
58	Atopobium	Afipia	1.0	2	1	Saliva	Throat	Intertype	#7effb5	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
59	Afipia	Atopobium	1.0	1	2	Throat	Saliva	Intertype	#ff5029	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
60	Atopobium	Alistipes	1.0	2	1	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
61	Alistipes	Atopobium	1.0	1	2	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
62	Bacillus	Abiotrophia	1.0	1	1	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
63	Abiotrophia	Bacillus	1.0	1	1	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
64	Bacillus	Acidovorax	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	0.0	#01b3ec	#8000ff
65	Acidovorax	Bacillus	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	0.0	#01b3ec	#8000ff
66	Bacillus	Acinetobacter	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	0.0	#01b3ec	#8000ff
67	Acinetobacter	Bacillus	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	0.0	#01b3ec	#8000ff
68	Bacillus	Actinobaculum	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
69	Actinobaculum	Bacillus	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	2.0	0.0	#7effb5	#8000ff
70	Bacillus	Actinomyces	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
71	Actinomyces	Bacillus	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	0.0	0.0	#8000ff	#8000ff
72	Bacillus	Afipia	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
73	Afipia	Bacillus	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
74	Bacillus	Aggregatibacter	1.0	1	2	Anterior_nares	Mixed	Intertype	#8000ff	#cccccc	#cccccc	1.0	0.0	#01b3ec	#8000ff
75	Aggregatibacter	Bacillus	1.0	2	1	Mixed	Anterior_nares	Intertype	#cccccc	#8000ff	#cccccc	0.0	0.0	#8000ff	#8000ff
76	Bacillus	Alistipes	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
77	Alistipes	Bacillus	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
78	Bacillus	Atopobium	1.0	1	2	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
79	Atopobium	Bacillus	1.0	2	1	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
80	Bacteroides	Alloprevotella	1.0	2	2	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	1.0	#feb562	#ff0000
81	Alloprevotella	Bacteroides	1.0	2	2	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	1.0	#feb562	#ff0000
82	Bacteroides	Anaeroglobus	1.0	2	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	3.0	1.0	#feb562	#ff0000
83	Anaeroglobus	Bacteroides	1.0	1	2	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	3.0	1.0	#feb562	#ff0000
84	Bradyrhizobium	Abiotrophia	1.0	1	1	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
85	Abiotrophia	Bradyrhizobium	1.0	1	1	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
86	Bradyrhizobium	Acidovorax	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
87	Acidovorax	Bradyrhizobium	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
88	Bradyrhizobium	Acinetobacter	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
89	Acinetobacter	Bradyrhizobium	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
90	Bradyrhizobium	Actinobaculum	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
91	Actinobaculum	Bradyrhizobium	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	2.0	0.0	#7effb5	#8000ff
92	Bradyrhizobium	Actinomyces	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
93	Actinomyces	Bradyrhizobium	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	0.0	0.0	#8000ff	#8000ff
94	Bradyrhizobium	Afipia	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	1.0	0.0	#01b3ec	#8000ff
95	Afipia	Bradyrhizobium	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	1.0	0.0	#01b3ec	#8000ff
96	Bradyrhizobium	Aggregatibacter	1.0	1	2	Throat	Mixed	Intertype	#ff5029	#cccccc	#cccccc	1.0	0.0	#01b3ec	#8000ff
97	Aggregatibacter	Bradyrhizobium	1.0	2	1	Mixed	Throat	Intertype	#cccccc	#ff5029	#cccccc	0.0	0.0	#8000ff	#8000ff
98	Bradyrhizobium	Alistipes	1.0	1	1	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
99	Alistipes	Bradyrhizobium	1.0	1	1	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
100	Bradyrhizobium	Atopobium	1.0	1	2	Throat	Saliva	Intertype	#ff5029	#7effb5	#cccccc	1.0	0.0	#01b3ec	#8000ff
101	Atopobium	Bradyrhizobium	1.0	2	1	Saliva	Throat	Intertype	#7effb5	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
102	Bradyrhizobium	Bacillus	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
103	Bacillus	Bradyrhizobium	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
104	Brochothrix	Alloprevotella	1.0	1	2	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	3.0	1.0	#feb562	#ff0000
105	Alloprevotella	Brochothrix	1.0	2	1	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	3.0	1.0	#feb562	#ff0000
106	Brochothrix	Anaeroglobus	1.0	1	1	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	3.0	1.0	#feb562	#ff0000
107	Anaeroglobus	Brochothrix	1.0	1	1	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	3.0	1.0	#feb562	#ff0000
108	Brochothrix	Bacteroides	1.0	1	2	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	3.0	1.0	#feb562	#ff0000
109	Bacteroides	Brochothrix	1.0	2	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	3.0	1.0	#feb562	#ff0000
110	Campylobacter	Alloprevotella	1.0	2	2	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	3.0	1.0	#feb562	#ff0000
111	Alloprevotella	Campylobacter	1.0	2	2	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	3.0	1.0	#feb562	#ff0000
112	Campylobacter	Anaeroglobus	1.0	2	1	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	3.0	1.0	#feb562	#ff0000
113	Anaeroglobus	Campylobacter	1.0	1	2	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	3.0	1.0	#feb562	#ff0000
114	Campylobacter	Bacteroides	1.0	2	2	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	3.0	1.0	#feb562	#ff0000
115	Bacteroides	Campylobacter	1.0	2	2	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	3.0	1.0	#feb562	#ff0000
116	Campylobacter	Brochothrix	1.0	2	1	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	3.0	1.0	#feb562	#ff0000
117	Brochothrix	Campylobacter	1.0	1	2	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	3.0	1.0	#feb562	#ff0000
118	Capnocytophaga	Abiotrophia	1.0	2	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	2.0	0.0	#7effb5	#8000ff
119	Abiotrophia	Capnocytophaga	1.0	1	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
120	Capnocytophaga	Acidovorax	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	2.0	0.0	#7effb5	#8000ff
121	Acidovorax	Capnocytophaga	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
