TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Prevotella bergensis	Stool	#e8cb72	2	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Prevotella bivia	Saliva	#cbe486	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella brevis	Keratinized_gingiva	#17cbe4	2	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Prevotella bryantii	Stool	#e8cb72	1	11.0	6.0	#ff0000	#ff703a	Mixed	#cccccc
Prevotella buccae	Saliva	#cbe486	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella buccalis	L_Retroauricular_crease	#34e4d9	3	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Prevotella conceptionensis	Subgingival_plaque	#ffac5c	12	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Prevotella copri	Stool	#e8cb72	2	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Prevotella dentasini	Saliva	#cbe486	8	11.0	7.0	#ff0000	#ff0000	Mixed	#cccccc
Prevotella denticola	Posterior_fornix	#8efeac	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella disiens	Palatine_Tonsils	#70febc	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella enoeca	Subgingival_plaque	#ffac5c	9	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella falsenii	Palatine_Tonsils	#70febc	10	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Prevotella fusca	Palatine_Tonsils	#70febc	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella histicola	Palatine_Tonsils	#70febc	12	6.0	1.0	#96fca7	#386df9	Mixed	#cccccc
Prevotella intermedia	Palatine_Tonsils	#70febc	12	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Prevotella loescheii	Subgingival_plaque	#ffac5c	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Prevotella maculosa	Subgingival_plaque	#ffac5c	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Prevotella marshii	Subgingival_plaque	#ffac5c	9	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Prevotella melaninogenica	Palatine_Tonsils	#70febc	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella micans	Subgingival_plaque	#ffac5c	11	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Prevotella multiformis	Subgingival_plaque	#ffac5c	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella nanceiensis	Hard_palate	#08acee	12	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
