	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
69	Alloprevotella	2	Attached	#4e4dfc	13.0	6.0	#ff8e4a	#4df3ce
70	Escherichia	4	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
71	Capnocytophaga	1	Supragingival_plaque	#ff964f	13.0	6.0	#ff8e4a	#4df3ce
72	Escherichia	4	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
73	Cellulomonas	2	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
74	Escherichia	4	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
75	Enterorhabdus	1	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
76	Eubacterium	16	Subgingival_plaque	#e4cf74	16.0	4.0	#ff0000	#08bee9
77	Acetivibrio	13	Stool	#b2f396	2.0	0.0	#425ffa	#8000ff
78	Eubacterium	16	Subgingival_plaque	#e4cf74	16.0	4.0	#ff0000	#08bee9
79	Adlercreutzia	6	Stool	#b2f396	16.0	4.0	#ff0000	#08bee9
80	Eubacterium	16	Subgingival_plaque	#e4cf74	16.0	4.0	#ff0000	#08bee9
81	Collinsella	11	Stool	#b2f396	16.0	4.0	#ff0000	#08bee9
82	Eubacterium	16	Subgingival_plaque	#e4cf74	16.0	4.0	#ff0000	#08bee9
83	Coprobacter	5	Stool	#b2f396	16.0	4.0	#ff0000	#08bee9
84	Faecalicoccus	1	Stool	#b2f396	15.0	7.0	#ff3219	#6efebe
85	Anaerococcus	1	Anterior_nares	#8000ff	15.0	7.0	#ff3219	#6efebe
86	Faecalicoccus	1	Stool	#b2f396	15.0	7.0	#ff3219	#6efebe
87	Catabacter	1	Stool	#b2f396	15.0	7.0	#ff3219	#6efebe
88	Gemella	2	Buccal_mucosa	#1996f3	9.0	4.0	#9efaa2	#08bee9
89	Anaerofustis	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
90	Gemella	2	Buccal_mucosa	#1996f3	9.0	4.0	#9efaa2	#08bee9
91	Campylobacter	1	Saliva	#7effb5	9.0	4.0	#9efaa2	#08bee9
92	Gemella	2	Buccal_mucosa	#1996f3	9.0	4.0	#9efaa2	#08bee9
93	Desulfotomaculum	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
94	Gemella	2	Buccal_mucosa	#1996f3	9.0	4.0	#9efaa2	#08bee9
95	Desulfovibrio	4	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
96	Gemella	2	Buccal_mucosa	#1996f3	9.0	4.0	#9efaa2	#08bee9
97	Enterobacter	1	Anterior_nares	#8000ff	9.0	4.0	#9efaa2	#08bee9
98	Gordonibacter	6	Stool	#b2f396	16.0	4.0	#ff0000	#08bee9
99	Eubacterium	16	Subgingival_plaque	#e4cf74	16.0	4.0	#ff0000	#08bee9
100	Haemophilus	5	Buccal_mucosa	#1996f3	1.0	8.0	#622ffe	#90feab
