TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Veillonella sp. 6_1_27	Buccal_mucosa	#445cfb	10	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Veillonella sp. ACP1	Saliva	#cbe486	13	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Veillonella sp. AS16	Tongue_dorsum	#ff2f18	13	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Veillonella sp. HPA0037	Tongue_dorsum	#ff2f18	14	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Veillonella sp. ICM51a	Saliva	#cbe486	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Veillonella sp. oral taxon 158	Palatine_Tonsils	#70febc	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Veillonella sp. oral taxon 780	Keratinized_gingiva	#17cbe4	13	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Veillonella tobetsuensis	Tongue_dorsum	#ff2f18	13	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Xylanimonas cellulosilytica	Throat	#ff5c2f	11	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Abiotrophia defectiva	Buccal_mucosa	#445cfb	13	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Actinobaculum suis	Throat	#ff5c2f	4	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Actinomyces dentalis	Subgingival_plaque	#ffac5c	4	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	11	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	8	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces odontolyticus	Throat	#ff5c2f	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8646	3	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	5	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Actinomyces cardiffensis	Subgingival_plaque	#ffac5c	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
