TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Haemophilus sputorum	Saliva	#cbe486	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Hallella seregens	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Helcococcus kunzii	Attached	#622ffe	2	1.0	3.0	#5247fc	#18cde4	Mixed	#cccccc
Histophilus somni	Buccal_mucosa	#445cfb	2	1.0	3.0	#5247fc	#18cde4	Mixed	#cccccc
Isoptericola variabilis	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Kingella denitrificans	Supragingival_plaque	#ff8646	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Kingella kingae	Keratinized_gingiva	#17cbe4	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Kingella oralis	Supragingival_plaque	#ff8646	4	6.0	4.0	#96fca7	#4df3ce	Mixed	#cccccc
Kingella sp. Sch538	Keratinized_gingiva	#17cbe4	6	7.0	4.0	#c4e88a	#4df3ce	Mixed	#cccccc
Kytococcus sedentarius	Throat	#ff5c2f	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Lachnoanaerobaculum saburreum	Attached	#622ffe	6	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Lachnoanaerobaculum sp. OBRC5-5	Tongue_dorsum	#ff2f18	2	3.0	5.0	#0ac0e8	#7effb5	Mixed	#cccccc
Lachnospiraceae bacterium 28-4	Attached	#622ffe	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Lachnospiraceae bacterium oral taxon 082	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8646	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Lactobacillus floricola	Attached	#622ffe	2	1.0	3.0	#5247fc	#18cde4	Mixed	#cccccc
Lactobacillus kunkeei	Attached	#622ffe	2	1.0	3.0	#5247fc	#18cde4	Mixed	#cccccc
Lactococcus lactis	Anterior_nares	#8000ff	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Lautropia mirabilis	Supragingival_plaque	#ff8646	4	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Leptotrichia buccalis	Supragingival_plaque	#ff8646	3	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Leptotrichia goodfellowii	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Leptotrichia hofstadii	Supragingival_plaque	#ff8646	4	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Leptotrichia sp. oral taxon 212	Supragingival_plaque	#ff8646	6	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Leptotrichia sp. oral taxon 215	Throat	#ff5c2f	8	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Leptotrichia sp. oral taxon 225	Supragingival_plaque	#ff8646	2	9.0	8.0	#ff8c49	#ff964f	Mixed	#cccccc
Leptotrichia sp. oral taxon 879	Subgingival_plaque	#ffac5c	4	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Leptotrichia trevisanii	Palatine_Tonsils	#70febc	4	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Leptotrichia wadei	Tongue_dorsum	#ff2f18	8	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Megasphaera micronuciformis	Saliva	#cbe486	4	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Megasphaera sp. UPII 135-E	L_Retroauricular_crease	#34e4d9	2	10.0	4.0	#ff4a26	#4df3ce	Mixed	#cccccc
Mogibacterium sp. CM50	Subgingival_plaque	#ffac5c	2	11.0	7.0	#ff0000	#e4cf74	Mixed	#cccccc
Morococcus cerebrosus	Palatine_Tonsils	#70febc	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Mycoplasma hyosynoviae	Attached	#622ffe	2	1.0	3.0	#5247fc	#18cde4	Mixed	#cccccc
Mycoplasma salivarium	Subgingival_plaque	#ffac5c	2	3.0	5.0	#0ac0e8	#7effb5	Mixed	#cccccc
Neisseria cinerea	Keratinized_gingiva	#17cbe4	8	7.0	4.0	#c4e88a	#4df3ce	Mixed	#cccccc
Neisseria elongata	Supragingival_plaque	#ff8646	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Neisseria macacae	Saliva	#cbe486	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Neisseria meningitidis	Throat	#ff5c2f	10	7.0	4.0	#c4e88a	#4df3ce	Mixed	#cccccc
Neisseria mucosa	Throat	#ff5c2f	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Neisseria sicca	Buccal_mucosa	#445cfb	7	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Neisseria sp. GT4A_CT1	Supragingival_plaque	#ff8646	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Neisseria sp. HMSC06F02	Saliva	#cbe486	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Neisseria sp. oral taxon 014	Supragingival_plaque	#ff8646	6	2.0	4.0	#2489f5	#4df3ce	Mixed	#cccccc
Oribacterium asaccharolyticum	Saliva	#cbe486	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Oribacterium parvum	Throat	#ff5c2f	3	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Oribacterium sinus	Throat	#ff5c2f	3	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
