	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
148	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
149	Echinicola	13	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
150	Gordonibacter	2	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
151	Adlercreutzia	23	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
152	Gordonibacter	2	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
153	Anaerofustis	27	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
154	Gordonibacter	2	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
155	Desulfotomaculum	24	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
156	Gordonibacter	2	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
157	Desulfovibrio	6	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
158	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
159	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
160	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
161	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
162	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
163	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
164	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
165	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
166	Hallella	1	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
167	Cellulomonas	6	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
168	Hallella	1	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
169	Enterorhabdus	10	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
